Term,TF,IDF,TF_IDF
Mayntz,12,0,Infinity
,8433,0,Infinity
analyzing,7,0,Infinity
provisionally,2,0,Infinity
institutional,80,0,Infinity
encompasses,2,0,Infinity
plagues,2,0,Infinity
b[WZi?je?X[jj[h?[dZi,3,0,Infinity
hedo,6,0,Infinity
advances,2,0,Infinity
blue-print,2,0,Infinity
prioritization,3,0,Infinity
invisibly,3,0,Infinity
j^[?[cfem[hc[dj?e\?Y_j_p[di,3,0,Infinity
unaccountable,2,0,Infinity
compete,2,0,Infinity
computer-driven,2,0,Infinity
materials,5,0,Infinity
schooled,2,0,Infinity
event,7,0,Infinity
adaptable,3,0,Infinity
attributing,2,0,Infinity
generation,5,0,Infinity
Cambridge,33,0,Infinity
dkcX[h,3,0,Infinity
alternate,3,0,Infinity
solidarities,4,0,Infinity
Ministry,6,0,Infinity
Francis,2,0,Infinity
asset,4,0,Infinity
&,42,0,Infinity
+,2,0,Infinity
regard,3,0,Infinity
,,4,0,Infinity
evolution,16,0,Infinity
-,15,0,Infinity
3,51,0,Infinity
2,55,0,Infinity
1,74,0,Infinity
separability,3,0,Infinity
authorities,2,0,Infinity
7,16,0,Infinity
imperfectly,3,0,Infinity
6,20,0,Infinity
5,34,0,Infinity
4,40,0,Infinity
salient,3,0,Infinity
quality,11,0,Infinity
Acknowledgments,3,0,Infinity
constructive,2,0,Infinity
