fulcrum_id,FacilityType,latitude,longitude
1,DisrespectToCulturalSites,35.944,39.01146389
2,InternetCafe,35.9534,39.0061
3,,35.94711111,39.01263889
4,,35.94759444,39.00127222
5,,35.95461389,39.00938333
6,BusinessTakeover WasteIssues,35.956125,39.01223611
7,,35.96446111,39.01069167
8,Propaganda,35.95053056,39.00944722
9,,35.95002778,39.0125
10,,35.95461389,39.00938333
11,CoalitionAirstrike,35.945475,39.01275278
12,Propaganda ISILMilitia ForeignFighter,35.95919444,38.98905556
13,BusinessImpact,35.94913889,39.01325
14,,35.95616667,39.01211111
15,InternetCafe,35.95535833,39.00436111
16,Propaganda,35.95461389,39.00938333
17,BusinessTakeover,35.94913889,39.01325
18,BusinessImpact,35.94913889,39.01325
19,,35.95535833,39.00436111
20,,35.95025,39.01527778
21,Propaganda,35.95461389,39.00938333
22,,35.94980556,39.00963889
23,ISILRuleNegative,35.95580556,38.99947222
24,,35.93656389,38.9858
25,,35.94555556,39.04777778
26,,35.95919444,38.98905556
27,,35.93125,38.99152778
28,,35.93125,38.99152778
29,,35.93436111,38.99055556
30,,35.961,39.00188889
31,,35.961,39.00188889
32,,35.94759444,39.00127222
33,,35.95008333,39.00233333
34,,35.94252778,39.02975
35,,35.95691667,39.00588889
36,,35.94561111,39.03233333
37,,35.91452778,38.90775
38,,35.95691667,39.00588889
39,,35.95691667,39.00588889
40,,35.95691667,39.00588889
41,,35.95038889,39.01777778
42,,35.75163889,39.61419444
43,,35.94291667,39.02305556
44,,35.96,38.97619444
45,,35.919,38.99519444
46,,35.919,38.99519444
47,,35.94713889,39.00713889
48,,35.97661111,38.95936111
49,,35.94747222,39.01697222
50,RoadIssues,35.96,38.97619444
51,Propaganda,35.95008333,39.01927778
52,Propaganda,35.947,39.01263889
53,,35.95008333,39.01927778
54,,35.95535833,39.00436111
55,ISILMilitia,35.95461389,39.00938333
56,,35.95055556,39.00655556
57,ISILRuleNegative,35.94686111,39.01686111
58,ISILRuleNegative,35.95027778,39.00511111
59,,35.94666667,39.01269444
60,,35.94613889,39.01416667
61,ISILRuleNegative,35.95944444,38.99841667
62,ISILMilitia,35.95688889,39.01052778
63,,35.94786111,39.01258333
64,Propaganda,35.94861111,39.01325
65,CoalitionAirstrike,35.94355556,39.01116667
66,BusinessTakeover,35.95525,39.00872222
67,ISILRuleNegative,35.94913889,39.00522222
68,InternetCafe,35.94925,39.011
69,ForeignFighter,35.95688889,39.01052778
70,ForeignFighter,35.94841667,39.00961111
71,,35.96463889,38.98069444
72,,35.93333333,39
73,,35.94666667,39.01269444
74,,35.94936111,39.01216667
75,,35.94666667,39.01269444
76,InternetCafe,35.94875,39.01102778
77,ISILRuleNegative,35.95345,39.01125
78,ForeignFighter,35.96147222,39.00530556
79,ForeignFighter,35.95975,39.01486111
80,BusinessTakeover ForeignFighter,35.85169444,38.55480556
81,,35.75119444,39.61522222
82,,35.85169444,38.55480556
83,,35.85169444,38.55480556
84,ISILMilitia,35.85169444,38.55480556
85,,35.96791667,38.97666667
86,,35.85169444,38.55480556
87,,35.94744444,39.01697222
88,HeritageSite,35.94277778,39.02694444
89,,35.95025,39.01922222
90,Propaganda,35.94861111,39.01261111
91,,35.94861111,39.01261111
92,,35.94861111,39.01261111
93,BusinessTakeover,35.95205556,39.0105
94,,35.94572222,39.00719444
95,ForeignFighter InternetCafe,35.93819444,39.01308333
96,,35.95344444,39.00597222
97,InternetCafe,35.94855556,39.01372222
98,ForeignFighter ISILMilitia,35.85897222,38.55975
99,,35.85897222,38.55975
100,,35.94630556,39.01330556
101,ForeignFighter ISILMilitia,35.85169444,38.55480556
102,ISILRuleNegative,35.95255556,39.01002778
103,,35.95372222,38.98455556
104,,35.85169444,38.55480556
105,,35.96425,38.99333333
106,,35.75233333,39.61716667
107,,35.95847222,39.01777778
108,,35.94861111,39.01261111
109,HeritageSite DisrespectToCulturalSites,35.95027778,39.02694444
110,ISILRuleNegative,35.94844444,39.01722222
111,ISILRuleNegative,35.94583333,39.01176389
112,,35.96255,39.01391111
113,ISILMilitia,35.95091667,39.01072222
114,,35.94861111,39.01261111
115,,35.94583333,39.01176389
116,ISILRuleNegative,35.94913889,39.01325
117,,35.95535833,39.00436111
118,,35.94761111,39.01322222
119,RussianAirstrike,35.95013889,39.01413889
120,ISILMilitia,35.95461389,39.00938333
121,BusinessTakeover,35.94711111,39.00772222
122,ISILRuleNegative,35.94711111,39.00772222
123,ISILRuleNegative,35.94647222,39.01302778
124,,35.95025,39.01922222
125,,35.95919444,38.98905556
126,ISILMilitia,35.95008333,39.00233333
127,ISILRuleNegative,35.95535833,39.00436111
128,,35.95691667,39.00355556
129,ChildLabor ISILRuleNegative,35.93477778,38.99077778
130,,35.929,39.13283333
131,ChildLabor,35.942,39.03213889
132,HeritageSite,35.94277778,39.02694444
133,RussianAirstrike,35.9335,39.01083333
134,,35.95461389,39.00938333
135,HeritageSite DisrespectToCulturalSites,35.956,39.02166667
136,,35.95025,39.01922222
137,BusinessTakeover,35.947,39.01263889
138,WasteIssues,35.96691667,39.02477778
139,CoalitionAirstrike,35.95888889,38.9975
140,,35.95535833,39.00436111
141,RussianAirstrike,35.95461389,39.00938333
142,ForeignFighter ISILMilitia,35.95336111,39.01116667
143,,35.94747222,39.01697222
144,,35.947,39.01263889
145,BusinessImpact,35.94913889,39.01325
146,ISILMilitia,35.947,39.01263889
147,ISILRuleNegative,35.94711111,39.01263889
148,BusinessTakeover,35.95535833,39.00436111
149,ISILRuleNegative,35.956,38.99972222
150,CoalitionAirstrike,35.94975,39.01136111
151,,35.95461389,39.00938333
152,BusinessTakeover ISILRuleNegative,35.94847222,39.00477778
153,,35.94813889,39.01125
154,,35.94994444,39.01122222
155,,35.94961111,39.01038889
156,ISILMilitia,35.956125,39.01223611
157,,35.94711111,39.01263889
158,CoalitionAirstrike,35.95063889,39.00605556
159,,35.95025,39.01233333
160,BusinessTakeover ISILRuleNegative WasteIssues,35.95535833,39.00436111
161,ForeignFighter BusinessImpact ISILRuleNegative,35.95461389,39.00938333
162,,35.95336111,39.01116667
163,ISILMilitia,35.95616667,39.00408333
164,ISILRuleNegative,35.95025,39.01233333
165,,35.95025,39.01233333
166,ISILMilitia,35.95336111,39.01116667
167,ForeignFighter,35.947,39.01263889
168,RussianAirstrike,35.94602778,39.01475
169,CoalitionAirstrike ISILMilitia,35.95461389,39.00938333
170,ChildLabor ISILRuleNegative,35.95038889,39.01777778
171,,35.95535833,39.00436111
172,ISILRuleNegative,35.94747222,39.01697222
173,ISILRuleNegative,35.94252778,39.02975
174,ISILMilitia,35.95336111,39.01116667
175,,35.95038889,39.01777778
