Term,TF,IDF,TF_IDF
technologies,17,1,0.004739550379089331
Vietnam,16,1,0.004460753297966429
China,40,4,0.0044377805151914525
refugees,21,2,0.004092286737028225
UK,14,1,0.003903159135720625
Syrian,13,1,0.0036243620545977234
online,11,1,0.00306676789235192
peshmerga,11,1,0.00306676789235192
Africa,13,2,0.0025333203610174724
trading,9,1,0.002509173730106116
Britain,9,1,0.002509173730106116
Christians,9,1,0.002509173730106116
Vietnamese,9,1,0.002509173730106116
Kurdistan,9,1,0.002509173730106116
Beijing,16,3,0.002332433087445814
U.S,37,6,0.0022884790022208086
community,8,1,0.0022303766489832145
she,8,1,0.0022303766489832145
diplomacy,8,1,0.0022303766489832145
Asia,11,2,0.0021435787670147843
military,14,3,0.0020408789515150875
Suu,7,1,0.0019515795678603125
genocide,7,1,0.0019515795678603125
partner,7,1,0.0019515795678603125
Hanoi,7,1,0.0019515795678603125
Denoon,7,1,0.0019515795678603125
Sea,10,2,0.0019487079700134403
her,10,2,0.0019487079700134403
new,23,5,0.001930304534795828
such,16,4,0.001775112206076581
international,16,4,0.001775112206076581
energy,9,2,0.0017538371730120962
technology,9,2,0.0017538371730120962
China???s,12,3,0.0017493248155843605
take,12,3,0.0017493248155843605
but,12,3,0.0017493248155843605
European,12,3,0.0017493248155843605
will,28,6,0.0017318219476265579
She,6,1,0.0016727824867374108
regime,6,1,0.0016727824867374108
power,19,5,0.0015945993983095968
South,8,2,0.0015589663760107522
Xi,8,2,0.0015589663760107522
Central,8,2,0.0015589663760107522
challenges,8,2,0.0015589663760107522
UK???s,8,2,0.0015589663760107522
Chinese,14,4,0.0015532231803170083
platforms,5,1,0.001393985405614509
America,5,1,0.001393985405614509
missile,5,1,0.001393985405614509
