Term,TF,IDF,TF_IDF
Answer,36,2,0.0018983930149426345
Question,36,2,0.0018983930149426345
Khapirai,11,1,0.001571691400097439
Raz,10,1,0.0014288103637249445
het,8,1,0.0011430482909799556
officials,8,1,0.0011430482909799556
land,8,1,0.0011430482909799556
state,20,2,0.0010546627860792415
TDR,19,2,0.0010019296467752793
Kahee,7,1,0.0010001672546074611
Spinsary,7,1,0.0010001672546074611
justice,17,2,8.964633681673551E-4
van,17,2,8.964633681673551E-4
de,17,2,8.964633681673551E-4
role,6,1,8.572862182349667E-4
decisions,6,1,8.572862182349667E-4
Machalgha,6,1,8.572862182349667E-4
cook,6,1,8.572862182349667E-4
cow,6,1,8.572862182349667E-4
learned,6,1,8.572862182349667E-4
spinsary,6,1,8.572862182349667E-4
formal,6,1,8.572862182349667E-4
street,6,1,8.572862182349667E-4
rights,6,1,8.572862182349667E-4
workshops,6,1,8.572862182349667E-4
Network,5,1,7.144051818624722E-4
Sharia,5,1,7.144051818624722E-4
norms,5,1,7.144051818624722E-4
wordt,5,1,7.144051818624722E-4
Sardara,5,1,7.144051818624722E-4
Meeting,5,1,7.144051818624722E-4
RLS-I,5,1,7.144051818624722E-4
place,5,1,7.144051818624722E-4
marry,5,1,7.144051818624722E-4
bring,5,1,7.144051818624722E-4
Meeting_District,5,1,7.144051818624722E-4
money,5,1,7.144051818624722E-4
fighting,5,1,7.144051818624722E-4
Shazia,5,1,7.144051818624722E-4
die,5,1,7.144051818624722E-4
Mohammad,13,2,6.85530810951507E-4
me,13,2,6.85530810951507E-4
province,11,2,5.800645323435828E-4
why,11,2,5.800645323435828E-4
informed,4,1,5.715241454899778E-4
session,4,1,5.715241454899778E-4
IS,4,1,5.715241454899778E-4
Kandahar,4,1,5.715241454899778E-4
coordination,4,1,5.715241454899778E-4
must,4,1,5.715241454899778E-4
