x,y
273112.67,141619.59
329690.17,152188.39
384312.08,153666.21
396555.58,149107.98
385189.64,153671.54
416021.85,144939.52
463654.04,151658.12
512130.86,163406.69
546891.89,165276.94
562595.54,169643.36
562337.41,184384.09
567742.16,183510.05
522353.18,188870.67
475163.88,180983.39
517504.01,204153.12
7965.60,2322.08
8319.00,2563.06
8246.70,2683.01
7259.00,2988.17
7717.10,3217.27
7752.94,3293.39
7888.09,3592.48
7743.92,3396.48
7872.58,3606.08
8000.83,3676.43
8218.82,4137.32
8325.28,4411.46
8431.75,4677.20
8471.12,4852.20
8510.50,5294.56
8697.25,5355.12
4245.20,3759.23
4312.95,4052.92
4312.95,4180.14
4224.85,4268.81
4226.98,4626.11
4229.10,5008.75
4277.90,5132.64
4277.90,5273.44
4536.85,5382.57
1213.10,670.19
1277.14,713.20
1363.92,716.10
1377.82,690.05
1335.12,700.60
1361.64,702.80
1388.15,726.60
1418.09,735.40
1448.04,734.10
1478.61,741.50
1572.60,741.80
1615.35,715.00
1624.30,721.80
1699.10,718.70
1703.00,717.00
1718.00,731.20
11521.04,3042.94
13214.61,3239.44
16789.90,3926.96
17464.38,4247.06
18625.74,5391.01
19787.10,4586.64
,5732.03
24122.51,4595.97
27121.35,4406.69
27232.16,4793.55
28553.05,4606.50
30882.80,5064.30
33236.69,5217.61
33236.69,5178.41
34492.78,5237.42
1134069.52,703490.21
1545102.97,941123.13
1650713.00,794074.79
1439049.00,980150.91
1598397.00,1212480.02
1997948.00,1258129.79
2089829.00,1428621.63
2491271.09,1607081.34
2208664.73,1392087.35
2117476.87,1395706.69
2159204.75,1422672.42
2068609.68,1310079.48
2201643.05,1313862.57
2428729.17,1453131.80
2078629.65,1283716.09
1830692.44,1193527.98
145632.87,19063.89
172685.84,19507.01
140730.85,21225.05
135773.00,24664.22
178148.07,25636.54
191140.29,26766.56
237008.96,34673.49
255200.48,42521.19
232985.65,48003.72
256070.65,51438.00
270791.46,57948.30
264421.95,55752.60
261625.52,55246.29
258076.24,54885.69
242327.58,54962.24
240775.11,57056.60
185759.58,56183.85
158379.95,63047.60
214405.04,61856.26
248764.56,69711.37
248764.56,77983.38
285766.31,85382.35
285766.31,92262.13
336340.81,96356.81
371000.00,103373.56
376331.70,106426.76
338316.78,98581.34
367015.77,109658.29
388870.15,119508.36
316056.28,100101.70
299536.58,100480.67
21762.62,9355.90
27391.11,10624.39
28786.79,9218.05
29634.13,9655.70
29823.07,10206.52
33293.21,11542.21
36763.36,12567.46
38678.22,14220.11
40593.07,14793.04
41283.15,16310.99
44546.84,18797.12
46950.49,21448.85
49354.14,21955.28
45745.57,22355.59
49195.91,22529.82
52679.63,25218.27
35955.34,2987.18
41302.30,2822.13
45717.60,5327.99
45167.29,5492.27
46711.60,6288.35
51657.60,6813.08
52985.22,6314.80
55666.00,7641.71
56683.99,7614.48
58954.60,9025.03
60230.80,11373.60
60230.80,12294.60
62325.80,12983.77
64053.40,13565.57
65013.80,17155.89
46802.04,7240.39
51007.78,7190.13
61762.64,7870.90
62519.69,4014.50
67634.15,4628.40
69555.37,5820.30
77768.96,5519.80
79779.82,5649.20
86898.94,7251.76
87623.40,8911.60
92578.26,9540.59
94472.70,11087.79
101094.16,14987.88
101094.16,17435.06
100047.71,18725.19
18550.70,0.00
20104.90,0.00
21431.00,4646.10
20661.00,4851.50
20661.00,5628.50
21427.90,5539.70
21418.30,5674.10
23054.10,6460.30
23095.10,6054.00
24394.00,6144.70
23813.60,7122.50
24259.10,6861.20
24259.10,6868.80
25337.90,6928.50
30231.20,3763.03
34024.60,4124.81
38983.20,4323.18
37742.66,4362.62
36831.67,4634.14
41325.14,4990.39
41349.90,5547.74
42714.31,6238.27
46992.20,6396.59
50255.88,7382.92
50252.50,7295.18
54692.52,8342.84
53696.80,8030.37
56758.50,9003.86
59775.35,9289.60
64119.52,9803.04
1923.00,572.33
1976.57,633.68
2030.14,654.26
2144.69,686.62
2259.24,699.98
2417.91,731.38
2576.57,718.86
2712.67,662.41
2848.76,463.18
2957.07,476.24
3065.37,484.81
3075.37,428.44
3085.37,385.33
3210.69,372.73
5245.43,
5533.96,
6293.45,
6088.25,
6343.73,
6697.61,
6620.56,
6547.95,
7265.37,
7091.82,
7732.38,
7513.58,
8313.50,1072.50
8046.10,1121.40
8317.20,1168.70
7537.02,1006.30
10917.60,934.01
10917.60,954.01
13888.00,1373.11
14408.50,1528.04
14175.60,1883.20
15400.20,2244.29
15400.20,2674.71
17203.51,2943.70
17669.40,3211.56
18379.20,3219.30
18379.20,3409.45
9257.55,11861.65
9389.00,11364.93
12888.42,11238.00
12757.00,11056.90
12178.12,11864.34
12936.06,12439.35
13694.00,12826.22
13315.03,13298.70
13504.52,13634.86
13288.40,13979.57
14122.24,13860.45
13811.50,13143.46
13500.75,13201.22
13417.50,12580.40
13334.25,12906.71
990481.40,190023.20
1098627.90,209938.80
903957.30,210698.10
879109.50,230145.20
970531.50,242009.80
1019783.90,266893.20
1115926.20,273298.00
1184151.10,299712.00
1113725.60,269232.60
1114941.00,291909.30
1244652.80,319399.80
1206101.10,335570.60
1282541.80,358104.50
1301597.20,388765.30
1217011.00,361842.50
1151065.70,359805.90
6786.00,1430.01
7447.00,1144.10
8254.00,1073.00
8069.15,997.30
8155.00,1095.70
8329.10,1087.70
8586.70,1094.30
9347.11,1112.30
9636.20,1081.42
10508.20,1087.50
10645.50,1033.50
11173.90,968.00
10850.70,905.90
11805.60,831.40
11805.60,878.70
12159.00,846.70
17096.27,9031.10
19793.27,9015.22
22989.89,8882.20
24701.85,9143.99
24062.06,9107.08
26789.66,9116.52
26700.00,9478.67
30544.15,10369.13
31315.80,10394.00
36253.00,11139.47
36252.50,11510.60
38619.75,12464.33
40987.00,12452.90
48986.30,13772.10
46212.00,14409.30
49829.00,15530.87
10662.00,299.63
13837.50,351.79
18504.80,782.83
15950.50,699.14
15950.50,711.48
20028.40,737.70
20028.40,738.78
25594.30,669.12
25594.30,615.92
25159.10,644.20
25547.00,1420.70
32936.00,2017.57
28845.61,2048.25
30062.49,2231.61
30758.60,3132.87
30037.92,3287.99
92439.00,16056.34
107504.00,18720.91
127796.00,17047.19
122948.00,18691.32
126810.63,20466.07
141798.00,20644.45
153919.00,23569.79
164266.15,23935.67
176761.32,24498.07
187884.08,25309.71
192932.54,26599.52
195636.62,26198.22
195636.62,26463.92
209227.47,27080.75
202984.22,27730.62
192405.06,27859.11
2196.37,235.20
2592.20,209.66
3488.51,230.36
3488.51,236.18
3826.77,329.48
3826.77,416.88
4313.60,466.78
4313.60,443.66
4256.49,405.92
4937.16,454.57
4938.07,491.42
5219.77,605.01
5054.37,770.90
5132.58,453.29
5132.58,590.72
5132.58,731.44
20924.67,6427.24
21151.14,4652.36
21377.61,6603.71
20802.22,9753.18
20226.84,7129.20
21501.39,7223.22
22272.95,7514.99
23929.51,9108.93
23822.89,9704.23
25295.44,9201.30
25138.60,10012.30
20773.87,9528.52
28269.26,11766.61
19193.65,9794.52
23013.33,11471.00
31199.00,11320.56
31337.00,11371.12
30537.98,12862.08
36714.00,12509.15
38825.79,13260.80
42672.16,15652.00
46468.01,16319.11
48297.01,16414.93
52353.04,18452.38
52463.77,18331.27
57476.17,19360.52
57140.19,20693.99
57510.93,20234.14
56375.45,20318.03
183221.51,40149.05
230042.57,40729.77
315159.83,40440.90
294305.00,46537.80
328959.33,55696.36
360024.81,59876.70
391090.29,66755.42
353098.63,63136.52
315106.96,73305.72
334102.80,87593.36
381472.84,96810.83
363561.92,97530.24
