fulcrum_id,FacilityType,latitude,longitude
1,,18.41667,57.45
2,,14.266667,56.533333
3,,13.666667,49.933333
4,,13.666667,49.933333
5,,10.26,58.383
6,,12.1,59.47
7,,9,55.95
8,,17.5833,57.9333
9,,18.75,59.5
10,,9.9,60.9
11,,8.533333,67.883333
12,,19.216667,60.316667
13,,14.216667,58.316667
14,,14.15,55.416667
15,,24.183333,61.183333
16,,7.283333,53.433333
17,,6.85,51.366667
18,,-9,40.93333
19,,-9.4,40.7333
20,,13.25,43.16667
21,,-13.25,43.16667
22,,15.73333,61.45
23,,14.5,42.216667
24,,6.15,50.55
25,,7.15,53.333
26,,7.95,55.2667
27,,14.7333,42.1
28,,9.5333,58.1167
29,,11,61.2333
30,,11.6833,62.4667
31,,12.2833,62.7167
32,,13.5333,42.6833
33,,13.5333,42.6833
34,,2.3167,50
35,,10.9167,57.8
36,,10.7667,56.95
37,,10.2833,54
38,,9.4667,51.65
39,,14.1667,52.3
40,,7.8167,50.6667
41,,13.55,50.45
42,,7.8167,50.6667
43,,-5.9167,41.5667
44,,13.4833,42.6167
45,,12.3167,61.5
46,,9.3,51.25
47,,21.75,60.5167
48,,12.4833,44.7333
49,,14.95,41.85
50,,12.7333,43.3
51,,13.8,51.4167
52,,13.45,42.65
53,,13.4833,42.6
54,,12.9333,48.5
55,,13.4533,42.95
56,,13.0333,43.167
57,,13.1333,48.2333
58,,15.13,41.93
59,,15.15,41.92
60,,14.57,42.38
61,,16.9,54.05
62,,16.15,53.6
63,,13.13,49.18
64,,15.45,52.2333
65,,14.1,42.75
66,,14.1,42.75
67,,-4.78,44.58
68,,-3.83,44.63
69,,12.37,43.9
70,,14.23,42.83
71,,14.05,42.8
72,,11.67,63.08
73,,13.3,48.85
74,,3.92,56.34
75,,16.2,62.78
76,,4.98,58
77,,-6.016667,42.333333
78,,12.52,61.8
79,,-11.87,42.57
80,,12.65,61.95
81,,13.05,48.86
82,,21.7,64.02
83,,24.48,63.78
84,,-5.16,40.05
85,,-6.45,40.133333
86,,13.783333,49.016667
87,,-1.2,58.32
88,,-4.33,43.68
89,,12,45.55
90,,-2.38,49.48
91,,-8.17,46.1
92,,16.93,56.82
93,,-1.35,52.35
94,,16.93,56.82
95,,-6.2,51.2
96,,15.7,55.18
97,,-3.93,47.23
98,,15.85,55.11
99,,-11.733333,42.6666667
100,,12.55,43.55
101,,12.48,43.53
102,,22.6,59.85
103,,22.6,59.85
104,,-4.6,43.3
105,,12.62,43.43
106,,-2.87,48.62
107,,-1.33,49.58
108,,15.01,56.6
109,,11.98,45.11
110,,12.3,44.05
111,,20.65,60
112,,20.47,64.78
113,,16.16,55.27
114,,2.68,48.58
115,,5.86,49.61
116,,5.1,49.21
117,,12.6,46.52
118,,11.36,63.55
119,,24.96,60.33
120,,18.3,57.6
121,,12.52,43.48
122,,12.12,44.18
123,,13.16,49.2
124,,12.28,44.16
125,,22.45,60.98
126,,12.43,43.8
127,,10.97,53.38
128,,1.62,46
129,,14.85,56.05
130,,15.03,58.23
131,,13.53,55.73
132,,12.5,43.58
133,,10.85,52.9
134,,24.85,57.47
135,,4.92,58.23
136,,7.88,76.3
137,,-5.05,66.28
138,,-4.3,59.98
139,,16.05,62.43
140,,20.01,60.65
141,,18.17,57.35
142,,-5.48,59.98
143,,13.51,50.36
144,,16.05,58.96
145,,12.56,43.5
146,,15.02,54.93
147,,17.15,58.28
148,,21.45,62.62
149,,13.05,60.38
150,,16.57,59.8
151,,14.33,52.75
152,,13.67,50.67
153,,14.33,52.65
154,,13.21,57.83
155,,13.15,48.75
156,,5.78,53.83
157,,5.65,53.33
158,,16.97,62.8
159,,14.28,56.85
160,,-5.35,49.3
161,,7,69.82
162,,-3,55
163,,12,51.37
164,,8.5,53
165,,21.63,59.98
166,,25.48,57.53
167,,12.23,61.75
168,,-11.3,41
169,,14.28,52.83
170,,16.9,65.98
171,,-9.8,40.52
172,,15.33,52.2
173,,4.55,54.63
174,,13.43,42.65
175,,8.13,56.3
176,,10.93,60.08
177,,15.97,61.05
178,,14.3,58.45
179,,19.78,60.82
180,,12.8,43.18
181,,14.47,50.75
182,,20.83,59.5
183,,20.48,59.05
184,,14.36,54.63
185,,12.35,43.98
186,,17,54
187,,1.27,58.12
188,,15.75,55.43
189,,13.3,57.58
190,,0.43,50.65
191,,8.31,50.46
192,,2.17,52.68
193,,6.67,59.08
194,,24.15,59.07
195,,24.58,57.57
196,,11.3,49.15
197,,11.3,49.15
198,,11.3,49.15
199,,26.28,56.72
200,,3,51.866667
201,,7.14,52.17
202,,7.14,52.17
203,,11.9,51.3
204,,11.9,51.3
205,,0.866667,44.016667
