x,y
0.60,0.35
0.53,0.31
0.46,0.27
0.43,0.25
0.46,0.27
0.40,0.26
0.38,0.24
0.37,0.24
0.35,0.23
0.35,0.23
0.37,0.26
0.37,0.25
0.41,0.28
0.44,0.29
0.45,0.32
0.30,0.26
0.32,0.28
0.34,0.29
0.42,0.37
0.43,0.34
0.44,0.35
0.47,0.38
0.46,0.36
0.48,0.38
0.49,0.38
0.54,0.41
0.56,0.44
0.59,0.45
0.61,0.43
0.66,0.47
0.65,0.47
0.96,0.68
1.03,0.74
1.06,0.78
1.10,0.82
1.18,0.91
1.28,0.96
1.29,0.97
1.33,1.00
1.28,0.98
0.86,0.11
0.84,0.13
0.79,0.12
0.78,0.11
0.82,0.11
0.81,0.11
0.81,0.13
0.81,0.13
0.79,0.13
0.78,0.13
0.74,0.12
0.72,0.12
0.76,0.12
0.73,0.11
0.75,0.11
0.77,0.12
0.49,0.26
0.38,0.25
0.35,0.23
0.36,0.24
0.40,0.29
0.35,0.23
,
0.30,0.19
0.27,0.16
0.29,0.16
0.28,0.14
0.28,0.13
0.27,0.13
0.28,0.13
0.28,0.12
0.63,0.56
0.62,0.57
0.49,0.44
0.69,0.63
0.77,0.72
0.64,0.60
0.69,0.66
0.65,0.63
0.63,0.61
0.66,0.64
0.66,0.64
0.63,0.61
0.63,0.61
0.63,0.61
0.63,0.61
0.63,0.61
0.14,0.11
0.12,0.10
0.16,0.14
0.19,0.17
0.15,0.14
0.15,0.13
0.15,0.13
0.17,0.15
0.21,0.19
0.20,0.19
0.22,0.19
0.21,0.19
0.21,0.19
0.22,0.20
0.23,0.20
0.24,0.21
0.35,0.23
0.46,0.31
0.34,0.23
0.33,0.22
0.36,0.23
0.34,0.24
0.37,0.26
0.33,0.23
0.32,0.23
0.32,0.23
0.34,0.24
0.34,0.24
0.34,0.25
0.37,0.25
0.38,0.25
0.46,0.35
0.41,0.32
0.34,0.27
0.34,0.28
0.36,0.30
0.36,0.31
0.37,0.31
0.39,0.34
0.39,0.34
0.42,0.38
0.44,0.38
0.48,0.40
0.47,0.39
0.51,0.42
0.48,0.39
0.50,0.40
0.21,0.03
0.18,0.02
0.24,0.08
0.24,0.09
0.28,0.10
0.28,0.09
0.27,0.08
0.30,0.09
0.31,0.09
0.32,0.11
0.36,0.13
0.38,0.14
0.38,0.12
0.37,0.12
0.36,0.12
0.26,0.07
0.25,0.06
0.22,0.06
0.16,0.05
0.17,0.05
0.19,0.07
0.17,0.06
0.18,0.06
0.19,0.07
0.21,0.09
0.23,0.09
0.24,0.11
0.26,0.11
0.30,0.12
0.32,0.12
0.40,
0.39,
0.35,0.07
0.38,0.08
0.43,0.08
0.40,0.07
0.43,0.08
0.43,0.08
0.42,0.09
0.40,0.09
0.46,0.10
0.44,0.08
0.44,0.08
0.42,0.08
0.22,0.09
0.22,0.09
0.20,0.09
0.21,0.09
0.23,0.10
0.23,0.10
0.25,0.11
0.25,0.12
0.24,0.12
0.24,0.12
0.24,0.12
0.24,0.12
0.25,0.12
0.25,0.13
0.24,0.13
0.24,0.13
0.73,0.30
0.75,0.31
0.78,0.32
0.77,0.32
0.77,0.31
0.75,0.30
0.74,0.28
0.72,0.24
0.64,0.16
0.58,0.16
0.56,0.16
0.54,0.14
0.52,0.12
0.49,0.11
0.40,0.13
0.43,0.14
0.44,0.14
0.33,0.13
0.36,0.15
0.31,0.15
0.23,0.18
0.24,0.16
0.25,0.14
0.28,0.14
0.29,0.14
0.33,0.15
0.32,0.13
0.36,0.14
0.37,0.14
0.39,0.13
0.36,0.08
0.27,0.09
0.25,0.09
0.27,0.10
0.29,0.13
0.29,0.14
0.34,0.17
0.33,0.17
0.35,0.18
0.34,0.17
0.37,0.18
1.49,0.00
1.39,0.00
1.01,0.59
1.02,0.60
1.14,0.69
1.20,0.70
1.20,0.68
1.28,0.73
1.29,0.76
1.34,0.80
1.24,0.76
1.22,0.72
1.26,0.73
1.21,0.69
1.24,0.68
0.20,0.16
0.20,0.16
0.24,0.20
0.27,0.23
0.26,0.21
0.28,0.23
0.26,0.21
0.27,0.22
0.26,0.21
0.28,0.22
0.27,0.22
0.30,0.24
0.30,0.24
0.32,0.26
0.32,0.25
0.34,0.26
0.57,0.18
0.34,0.15
0.31,0.13
0.32,0.12
0.35,0.13
0.45,0.13
