x,y
273112.67,162801.00
329690.17,173585.64
384312.08,174959.09
396555.58,170442.38
385189.64,176927.43
416021.85,167909.00
463654.04,175548.00
512130.86,187767.51
546891.89,190139.86
562595.54,194223.12
562337.41,208945.64
567742.16,207846.93
522353.18,214288.16
475163.88,210616.23
517504.01,233193.55
7965.60,2386.30
8319.00,2635.50
8246.70,2766.60
7259.00,3084.77
7717.10,3320.40
7752.94,3400.91
7888.09,3720.40
7743.92,3552.94
7872.58,3805.60
8000.83,3905.69
8218.82,4399.92
8325.28,4689.27
8431.75,4984.02
8471.12,5158.42
8510.50,5602.28
8697.25,5654.49
4245.20,4083.58
4312.95,4440.41
4312.95,4550.79
4224.85,4638.60
4226.98,4980.90
4229.10,5406.26
4277.90,5523.03
4277.90,5690.74
4536.85,5787.19
1213.10,1049.30
1277.14,1072.80
1363.92,1077.50
1377.82,1074.70
1335.12,1094.80
1361.64,1100.60
1388.15,1124.40
1418.09,1145.50
1448.04,1142.50
1478.61,1154.50
1572.60,1157.50
1615.35,1169.60
1624.30,1228.70
1699.10,1235.20
1703.00,1274.60
1718.00,1324.90
11521.04,5658.96
13214.61,5046.29
16789.90,5873.93
17464.38,6324.06
18625.74,7489.49
19787.10,6831.71
,7981.33
24122.51,7279.96
27121.35,7202.08
27232.16,7891.32
28553.05,7869.02
30882.80,8689.35
33236.69,8940.04
33236.69,9187.34
34492.78,9500.39
1134069.52,717810.02
1545102.97,955657.16
1650713.00,809433.65
1439049.00,991109.74
1598397.00,1226283.56
1997948.00,1272295.27
2089829.00,1438746.67
2491271.09,1613656.71
2208664.73,1395772.70
2117476.87,1399277.49
2159204.75,1426284.31
2068609.68,1311264.16
2201643.05,1315165.59
2428729.17,1454451.98
2078629.65,1285045.70
1830692.44,1194838.38
145632.87,20181.05
172685.84,20646.19
140730.85,22230.87
135773.00,25661.89
178148.07,26678.39
191140.29,27757.38
237008.96,35699.35
255200.48,43495.92
232985.65,48962.98
256070.65,52363.00
270791.46,58861.75
264421.95,56626.10
261625.52,56098.71
258076.24,55723.47
242327.58,55793.82
240775.11,57826.91
185759.58,65666.01
158379.95,72820.09
214405.04,72788.15
248764.56,81052.61
248764.56,90662.09
285766.31,98459.75
285766.31,105978.27
336340.81,110512.99
371000.00,117299.70
376331.70,121174.51
338316.78,113402.02
367015.77,124198.91
388870.15,133418.69
316056.28,115746.15
299536.58,114978.69
21762.62,10010.81
27391.11,11230.36
28786.79,9787.51
29634.13,10187.38
29823.07,10686.03
33293.21,12063.14
36763.36,13595.00
38678.22,15226.28
40593.07,15842.77
41283.15,17332.53
44546.84,19802.76
46950.49,22438.62
49354.14,22997.76
45745.57,23419.65
49195.91,23686.44
52679.63,26392.00
35955.34,7406.80
41302.30,7558.32
45717.60,10857.53
45167.29,11000.03
46711.60,12992.77
51657.60,14627.48
52985.22,14459.14
55666.00,16444.58
56683.99,17312.20
58954.60,19121.86
60230.80,21647.29
60230.80,23093.24
62325.80,23544.64
64053.40,23725.70
65013.80,23499.86
46802.04,12385.20
51007.78,12851.00
61762.64,13734.00
62519.69,10234.70
67634.15,11328.10
69555.37,13336.80
77768.96,13096.90
79779.82,14561.80
86898.94,16131.21
87623.40,18652.29
92578.26,20951.21
94472.70,22846.66
101094.16,26458.95
101094.16,30140.24
100047.71,32341.27
18550.70,7474.90
20104.90,7895.10
21431.00,7514.00
20661.00,7845.30
20661.00,8831.90
21427.90,8596.10
21418.30,9144.40
23054.10,9846.80
23095.10,9674.70
24394.00,9806.80
23813.60,10863.40
24259.10,10555.40
24259.10,10597.80
25337.90,10642.80
30231.20,6536.44
34024.60,7319.98
38983.20,7653.48
37742.66,8083.02
36831.67,8606.77
41325.14,9455.17
41349.90,10154.74
42714.31,10814.12
46992.20,11371.49
50255.88,12291.29
50252.50,12269.87
54692.52,13286.52
53696.80,13370.60
56758.50,14302.94
59775.35,14598.88
64119.52,15558.86
1923.00,1402.72
1976.57,1474.25
2030.14,1578.44
2144.69,1648.84
2259.24,1733.32
2417.91,1823.00
2576.57,1917.94
2712.67,1953.91
2848.76,1815.57
2957.07,1718.82
3065.37,1725.60
3075.37,1649.31
3085.37,1596.96
3210.69,1587.22
5245.43,2122.35
5533.96,2379.66
6293.45,2782.04
6088.25,2027.40
6343.73,2255.11
6697.61,2049.97
6620.56,1525.69
6547.95,1579.55
7265.37,1785.88
7091.82,1978.43
7732.38,2232.97
7513.58,2468.75
8313.50,2634.88
8046.10,2875.80
8317.20,3042.50
7537.02,2963.60
10917.60,3936.00
10917.60,2960.00
13888.00,3407.35
14408.50,3868.27
14175.60,4073.30
15400.20,4407.72
15400.20,5225.84
17203.51,5615.34
17669.40,6153.00
18379.20,6340.54
18379.20,6790.10
9257.55,13804.53
9389.00,13083.00
12888.42,13008.90
12757.00,13022.20
12178.12,13861.14
12936.06,15508.93
13694.00,16418.48
13315.03,16992.55
13504.52,17427.32
13288.40,17740.65
14122.24,17539.79
13811.50,16875.77
13500.75,16950.24
13417.50,16250.20
13334.25,16531.30
990481.40,195670.50
1098627.90,216761.20
903957.30,219106.50
879109.50,238744.30
970531.50,255679.40
1019783.90,281459.50
1115926.20,290921.20
1184151.10,318340.30
1113725.60,289915.60
1114941.00,312809.60
1244652.80,342271.50
1206101.10,358672.20
1282541.80,382904.60
1301597.20,413597.80
1217011.00,387489.00
1151065.70,385680.90
6786.00,3839.90
7447.00,2532.10
8254.00,2564.20
8069.15,2589.70
8155.00,2832.70
8329.10,3738.70
8586.70,3030.70
9347.11,3165.20
9636.20,3220.44
10508.20,3284.20
10645.50,3394.30
11173.90,3369.60
10850.70,3518.90
11805.60,3525.80
11805.60,3727.00
12159.00,3764.10
17096.27,10452.66
19793.27,10470.64
22989.89,10437.41
24701.85,10802.12
24062.06,10972.30
26789.66,10983.76
26700.00,11629.49
30544.15,12523.10
31315.80,12814.25
36253.00,13931.13
36252.50,14265.20
38619.75,15410.32
40987.00,15683.60
48986.30,17639.50
46212.00,18231.00
49829.00,19294.07
10662.00,2104.60
13837.50,2166.20
18504.80,2360.60
15950.50,2223.80
15950.50,2343.40
20028.40,2238.80
20028.40,2378.80
25594.30,2742.41
25594.30,2316.70
25159.10,2288.40
25547.00,3124.35
32936.00,3650.78
28845.61,3751.69
30062.49,3895.01
30758.60,4829.86
30037.92,4946.13
92439.00,28732.22
107504.00,29596.39
127796.00,28139.96
122948.00,29474.84
126810.63,30862.51
141798.00,30808.38
153919.00,32499.31
164266.15,32930.75
176761.32,33641.57
187884.08,35464.90
192932.54,36556.92
195636.62,33943.90
195636.62,34057.99
209227.47,34654.69
202984.22,34943.42
192405.06,35165.66
2196.37,554.52
2592.20,600.17
3488.51,549.64
3488.51,582.29
3826.77,598.57
3826.77,716.06
4313.60,801.06
4313.60,806.78
4256.49,868.82
4937.16,924.67
4938.07,1060.69
5219.77,1193.30
5054.37,1509.50
5132.58,1205.00
5132.58,1368.90
5132.58,1531.80
20924.67,6905.14
21151.14,5116.06
21377.61,7054.61
20802.22,10195.38
20226.84,7686.20
21501.39,7740.50
22272.95,8240.99
23929.51,9811.10
23822.89,10423.33
25295.44,9915.60
25138.60,10759.30
20773.87,10259.22
28269.26,12537.21
19193.65,12092.00
23013.33,13808.00
31199.00,13976.00
31337.00,14962.00
30537.98,16376.00
36714.00,15916.12
38825.79,16459.00
42672.16,18819.00
46468.01,19199.00
48297.01,19181.97
52353.04,21190.66
52463.77,20522.12
57476.17,21523.44
57140.19,22893.48
57510.93,22347.59
56375.45,22379.90
183221.51,44100.00
230042.57,44056.00
315159.83,44062.03
294305.00,50335.26
328959.33,59880.37
360024.81,64114.33
391090.29,71761.16
353098.63,68652.00
315106.96,79282.24
334102.80,93581.60
381472.84,104780.19
363561.92,105508.00
