x,y
273112.67,0.60
329690.17,0.53
384312.08,0.46
396555.58,0.43
385189.64,0.46
416021.85,0.40
463654.04,0.38
512130.86,0.37
546891.89,0.35
562595.54,0.35
562337.41,0.37
567742.16,0.37
522353.18,0.41
475163.88,0.44
517504.01,0.45
7965.60,0.30
8319.00,0.32
8246.70,0.34
7259.00,0.42
7717.10,0.43
7752.94,0.44
7888.09,0.47
7743.92,0.46
7872.58,0.48
8000.83,0.49
8218.82,0.54
8325.28,0.56
8431.75,0.59
8471.12,0.61
8510.50,0.66
8697.25,0.65
4245.20,0.96
4312.95,1.03
4312.95,1.06
4224.85,1.10
4226.98,1.18
4229.10,1.28
4277.90,1.29
4277.90,1.33
4536.85,1.28
1213.10,0.86
1277.14,0.84
1363.92,0.79
1377.82,0.78
1335.12,0.82
1361.64,0.81
1388.15,0.81
1418.09,0.81
1448.04,0.79
1478.61,0.78
1572.60,0.74
1615.35,0.72
1624.30,0.76
1699.10,0.73
1703.00,0.75
1718.00,0.77
11521.04,0.49
13214.61,0.38
16789.90,0.35
17464.38,0.36
18625.74,0.40
19787.10,0.35
,
24122.51,0.30
27121.35,0.27
27232.16,0.29
28553.05,0.28
30882.80,0.28
33236.69,0.27
33236.69,0.28
34492.78,0.28
1134069.52,0.63
1545102.97,0.62
1650713.00,0.49
1439049.00,0.69
1598397.00,0.77
1997948.00,0.64
2089829.00,0.69
2491271.09,0.65
2208664.73,0.63
2117476.87,0.66
2159204.75,0.66
2068609.68,0.63
2201643.05,0.63
2428729.17,0.63
2078629.65,0.63
1830692.44,0.63
145632.87,0.14
172685.84,0.12
140730.85,0.16
135773.00,0.19
178148.07,0.15
191140.29,0.15
237008.96,0.15
255200.48,0.17
232985.65,0.21
256070.65,0.20
270791.46,0.22
264421.95,0.21
261625.52,0.21
258076.24,0.22
242327.58,0.23
240775.11,0.24
185759.58,0.35
158379.95,0.46
214405.04,0.34
248764.56,0.33
248764.56,0.36
285766.31,0.34
285766.31,0.37
336340.81,0.33
371000.00,0.32
376331.70,0.32
338316.78,0.34
367015.77,0.34
388870.15,0.34
316056.28,0.37
299536.58,0.38
21762.62,0.46
27391.11,0.41
28786.79,0.34
29634.13,0.34
29823.07,0.36
33293.21,0.36
36763.36,0.37
38678.22,0.39
40593.07,0.39
41283.15,0.42
44546.84,0.44
46950.49,0.48
49354.14,0.47
45745.57,0.51
49195.91,0.48
52679.63,0.50
35955.34,0.21
41302.30,0.18
45717.60,0.24
45167.29,0.24
46711.60,0.28
51657.60,0.28
52985.22,0.27
55666.00,0.30
56683.99,0.31
58954.60,0.32
60230.80,0.36
60230.80,0.38
62325.80,0.38
64053.40,0.37
65013.80,0.36
46802.04,0.26
51007.78,0.25
61762.64,0.22
62519.69,0.16
67634.15,0.17
69555.37,0.19
77768.96,0.17
79779.82,0.18
86898.94,0.19
87623.40,0.21
92578.26,0.23
94472.70,0.24
101094.16,0.26
101094.16,0.30
100047.71,0.32
18550.70,0.40
20104.90,0.39
21431.00,0.35
20661.00,0.38
20661.00,0.43
21427.90,0.40
21418.30,0.43
23054.10,0.43
23095.10,0.42
24394.00,0.40
23813.60,0.46
24259.10,0.44
24259.10,0.44
25337.90,0.42
30231.20,0.22
34024.60,0.22
38983.20,0.20
37742.66,0.21
36831.67,0.23
41325.14,0.23
41349.90,0.25
42714.31,0.25
46992.20,0.24
50255.88,0.24
50252.50,0.24
54692.52,0.24
53696.80,0.25
56758.50,0.25
59775.35,0.24
64119.52,0.24
1923.00,0.73
1976.57,0.75
2030.14,0.78
2144.69,0.77
2259.24,0.77
2417.91,0.75
2576.57,0.74
2712.67,0.72
2848.76,0.64
2957.07,0.58
3065.37,0.56
3075.37,0.54
3085.37,0.52
3210.69,0.49
5245.43,0.40
5533.96,0.43
6293.45,0.44
6088.25,0.33
6343.73,0.36
6697.61,0.31
6620.56,0.23
6547.95,0.24
7265.37,0.25
7091.82,0.28
7732.38,0.29
7513.58,0.33
