Term,TF,IDF,TF_IDF
0.027?GB?Mo,1,1,0.0
77?Notifications,1,1,0.0
64?Hrs,1,1,0.0
transfer?from?EU?(Ireland,1,1,0.0
AWS?Data?Transfer?USW2?CloudFront?Out?Bytes,1,1,0.0
2/7,1,1,0.0
running?MySQL?under?monthly?free?tier,1,1,0.0
0.018?per?RDS?T2?Micro?Instance?hour?(or?partial,1,1,0.0
5.443?GB,1,1,0.0
Date?Printed:?2016?01?03,1,1,0.0
AWS?Data?Transfer?USW2?EU?AWS?In?Bytes,1,1,0.0
4/7,1,1,0.0
transfer?from?US?West?(Northern?California,1,1,0.0
7.473?GB?Mo,1,1,0.0
under?monthly?free?tier,5,1,0.0
69?Hrs,1,1,0.0
CT?for?New?Purchases?and?Adjustments,1,1,0.0
AWS?Service?Charges,1,1,0.0
0.000168?GB,1,1,0.0
Simple?Queue?Service,1,1,0.0
3.366?GB,1,1,0.0
AWS?Data?Transfer?USW2?USE1?AWS?Out?Bytes,1,1,0.0
0.000000080?GB,1,1,0.0
686?Hrs,1,1,0.0
monthly?global?free?tier,2,1,0.0
0.093?GB,1,1,0.0
6/7,1,1,0.0
262?Hrs,1,1,0.0
under?the?monthly?global?free?tier,1,1,0.0
Amazon?Simple?Storage?Service?USW2?TimedStorage?ByteHrs,1,1,0.0
from?South?America?(Sao?Paulo,1,1,0.0
Details,1,1,0.0
12.42,2,1,0.0
0.002?GB,1,1,0.0
0.00,125,1,0.0
0.01,4,1,0.0
Amazon?Simple?Notification?Service?Requests?Tier1,1,1,0.0
27.95,1,1,0.0
Usage,12,1,0.0
1.837?Alarms,1,1,0.0
US?Sales?Tax?to?be?collected,1,1,0.0
0.00?per?GB?Data?Processed?by?the?LoadBalancer,2,1,0.0
GST?to?be?collected,1,1,0.0
155?Requests,1,1,0.0
681?Hrs,1,1,0.0
0.025?per?LoadBalancer?hour?(or?partial?hour,1,1,0.0
0.025?per?RDS?Micro?Instance?hour?(or?partial,1,1,0.0
hour,1,1,0.0
27.85,1,1,0.0
Name:?Will?Milner,1,1,0.0
