LocationA,LocationB,Distance,Tags,StartLat,StartLon,EndLat,EndLon
1,137,0.004317630000002737,,38.55042047,-121.3914158,38.54929974,-121.3882189
1,179,0.00488089000000258,,38.55042047,-121.3914158,38.54818818,-121.3940644
1,489,0.0035542300000059868,,38.55042047,-121.3914158,38.54988284,-121.3883992
1,746,0.003593439999995951,,38.55042047,-121.3914158,38.54865343,-121.3932422
1,1098,0.002239820000006887,,38.55042047,-121.3914158,38.55013285,-121.3894636
1,1695,0.00488089000000258,,38.55042047,-121.3914158,38.54818818,-121.3940644
1,1943,0.00488089000000258,,38.55042047,-121.3914158,38.54818818,-121.3940644
1,2210,0.00488089000000258,,38.55042047,-121.3914158,38.54818818,-121.3940644
2,1593,0.0019863300000082518,,38.47350069,-121.4901858,38.47334706,-121.4883531
2,1951,0.004562529999994069,,38.47350069,-121.4901858,38.47732902,-121.49092
2,2264,0.002445559999991076,,38.47350069,-121.4901858,38.47215453,-121.4912852
3,46,0.004815719999996304,,38.65784584,-121.4621009,38.65737252,-121.4577585
3,153,0.0042596500000016135,,38.65784584,-121.4621009,38.65394829,-121.462463
3,365,0.003231639999988545,,38.65784584,-121.4621009,38.65899218,-121.4600156
3,406,0.003664580000013018,,38.65784584,-121.4621009,38.65467106,-121.4625907
3,499,0.003231639999988545,,38.65784584,-121.4621009,38.65899218,-121.4600156
4,1220,0.001957029999999804,,38.50677377,-121.4269508,38.50569574,-121.4260718
4,1466,0.004066559999998276,,38.50677377,-121.4269508,38.50643521,-121.4306788
4,1778,0.0013299700000004577,,38.50677377,-121.4269508,38.50741014,-121.4262572
4,1872,0.004935129999999788,,38.50677377,-121.4269508,38.50643674,-121.4315489
4,2309,0.004245539999999437,,38.50677377,-121.4269508,38.51052171,-121.4274484
5,9,0.0,,38.6374478,-121.3846125,38.6374478,-121.3846125
5,150,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,162,0.0,,38.6374478,-121.3846125,38.6374478,-121.3846125
5,353,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,355,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,536,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,603,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,754,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,793,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,825,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,848,0.0019654600000009737,,38.6374478,-121.3846125,38.63715334,-121.3829415
5,1147,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,1164,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,1435,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,1557,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,1584,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,1766,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,2113,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,2213,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
5,2228,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
6,414,0.004397150000009731,,38.52697863,-121.4513383,38.52512948,-121.4487903
6,2039,0.003985330000013221,,38.52697863,-121.4513383,38.524921,-121.4494106
6,2255,0.002988649999998927,,38.52697863,-121.4513383,38.52491808,-121.4522664
7,432,0.003680950000003236,,38.537173,-121.4875774,38.53432365,-121.488409
7,2329,0.00448801999998949,,38.537173,-121.4875774,38.53849952,-121.4907389
8,944,0.003580510000006143,,38.56433456,-121.4618826,38.56286705,-121.4639956
8,1942,0.0031511100000045644,,38.56433456,-121.4618826,38.56588957,-121.4602865
8,2157,0.004276070000010179,,38.56433456,-121.4618826,38.56587673,-121.4646165
9,5,0.0,,38.6374478,-121.3846125,38.6374478,-121.3846125
9,150,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,162,0.0,,38.6374478,-121.3846125,38.6374478,-121.3846125
9,353,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,355,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,536,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,603,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,754,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,793,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,825,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,848,0.0019654600000009737,,38.6374478,-121.3846125,38.63715334,-121.3829415
9,1147,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,1164,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,1435,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,1557,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,1584,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,1766,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,2113,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,2213,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
9,2228,0.004233679999998685,,38.6374478,-121.3846125,38.63862878,-121.3815598
10,183,0.003631639999994718,,38.60960217,-121.4918375,38.60972461,-121.4953467
10,306,0.0024271699999971474,,38.60960217,-121.4918375,38.6089261,-121.4935886
10,830,0.002184250000006216,,38.60960217,-121.4918375,38.61157282,-121.4916239
10,1183,0.004438299999989681,,38.60960217,-121.4918375,38.61228167,-121.4935963
10,1472,0.0049738099999956376,,38.60960217,-121.4918375,38.61035378,-121.4960597
10,1524,0.004156250000008299,,38.60960217,-121.4918375,38.61314172,-121.4912208
10,1924,0.003418050000007611,,38.60960217,-121.4918375,38.60874842,-121.4944018
10,2295,0.001448369999991428,,38.60960217,-121.4918375,38.61009514,-121.4927929
10,2307,0.004717929999998205,,38.60960217,-121.4918375,38.6140791,-121.4920785
11,599,0.003118950000001064,,38.55426406,-121.4546045,38.55441531,-121.4575722
11,677,0.0028368899999975383,,38.55426406,-121.4546045,38.55347187,-121.4566492
11,1107,0.0026398100000051272,,38.55426406,-121.4546045,38.55642737,-121.455081
11,1561,0.0028103900000004955,,38.55426406,-121.4546045,38.55193597,-121.4541222
11,1881,0.0,,38.55426406,-121.4546045,38.55426406,-121.4546045
11,2076,0.004574789999999496,,38.55426406,-121.4546045,38.55462435,-121.458819
11,2327,0.0025128300000005765,,38.55426406,-121.4546045,38.55619719,-121.4551842
12,47,0.0035093199999920444,,38.52816497,-121.4314528,38.52799185,-121.434789
12,713,0.0038193000000035227,,38.52816497,-121.4314528,38.52864267,-121.4347944
12,1710,0.003069079999988844,,38.52816497,-121.4314528,38.52545649,-121.4318134
13,254,0.004479459999991775,,38.51092155,-121.5488201,38.50751789,-121.5477443
14,420,0.004116680000009865,,38.55611545,-121.4142729,38.55463027,-121.4116414
14,597,0.0019380700000084516,,38.55611545,-121.4142729,38.55424238,-121.4142079
14,891,0.0012626200000056542,,38.55611545,-121.4142729,38.55553953,-121.4149596
14,1118,0.004474970000003964,,38.55611545,-121.4142729,38.55529508,-121.4106183
14,1246,0.0017914499999989175,,38.55611545,-121.4142729,38.5576326,-121.4145472
14,1383,0.00285803000000584,,38.55611545,-121.4142729,38.55575132,-121.411779
14,1627,0.0047812299999989705,,38.55611545,-121.4142729,38.55669548,-121.4100717
14,2047,0.00285803000000584,,38.55611545,-121.4142729,38.55575132,-121.411779
14,2353,0.004936409999999114,,38.55611545,-121.4142729,38.55721356,-121.4104346
