x,y
273112.67,90913.94
329690.17,97252.94
384312.08,95904.59
396555.58,98398.95
385189.64,87659.72
416021.85,93117.69
463654.04,95251.72
512130.86,99313.28
546891.89,97632.82
562595.54,97415.35
562337.41,96397.75
567742.16,93571.93
522353.18,100517.81
475163.88,97733.89
517504.01,146042.93
7965.60,2247.38
8319.00,2462.16
8246.70,2602.16
7259.00,2698.23
7717.10,3113.23
7752.94,3190.25
7888.09,3405.25
7743.92,3322.25
7872.58,3495.25
8000.83,3538.50
8218.82,3821.42
8325.28,4055.56
8431.75,4135.76
8471.12,4374.76
8510.50,4504.76
8697.25,4564.75
4245.20,3325.71
4312.95,3552.92
4312.95,3673.37
4224.85,3900.61
4226.98,4353.96
4229.10,4461.53
4277.90,4514.04
4277.90,4638.94
4536.85,4767.22
1213.10,109.76
1277.14,76.92
1363.92,702.70
1377.82,60.29
1335.12,632.20
1361.64,702.80
1388.15,702.70
1418.09,702.70
1448.04,702.70
1478.61,702.70
1572.60,702.60
1615.35,682.30
1624.30,684.70
1699.10,684.30
1703.00,684.00
1718.00,704.00
11521.04,2271.77
13214.61,2421.42
16789.90,2674.18
17464.38,2932.46
18625.74,3102.33
19787.10,3224.74
,3224.74
24122.51,3175.56
27121.35,2998.96
27232.16,3385.79
28553.05,3211.43
30882.80,5064.30
33236.69,5217.61
33236.69,5178.41
34492.78,5237.42
1134069.52,700086.14
1545102.97,938234.28
1650713.00,791136.04
1439049.00,978201.11
1598397.00,1209847.52
1997948.00,1255664.43
2089829.00,1426321.39
2491271.09,1604620.71
2208664.73,1389604.62
2117476.87,1393411.73
2159204.75,1419883.00
2068609.68,1307625.16
2201643.05,1311200.40
2428729.17,1450374.36
2078629.65,1281380.14
1830692.44,1191542.72
145632.87,18898.54
172685.84,19326.33
140730.85,21086.06
135773.00,24489.78
178148.07,25483.55
191140.29,26620.05
237008.96,34534.36
255200.48,42375.26
232985.65,47890.26
256070.65,51320.00
270791.46,57838.24
264421.95,55647.75
261625.52,55157.39
258076.24,54798.56
242327.58,54892.61
240775.11,56989.05
185759.58,56045.95
158379.95,62967.50
214405.04,61436.68
248764.56,69356.68
248764.56,77813.10
285766.31,85232.95
285766.31,92262.13
336340.81,96356.81
371000.00,103373.56
376331.70,106404.45
338316.78,98558.01
367015.77,109628.87
388870.15,119481.33
316056.28,99982.52
299536.58,100364.04
21762.62,9355.90
27391.11,10624.39
28786.79,9218.05
29634.13,9655.70
29823.07,10206.52
33293.21,11542.21
36763.36,12567.46
38678.22,14220.11
40593.07,14793.04
41283.15,16310.99
44546.84,18797.12
46950.49,21448.85
49354.14,21955.28
45745.57,22355.59
49195.91,22529.82
52679.63,25218.27
35955.34,1785.46
41302.30,1723.94
45717.60,3989.99
45167.29,4302.12
46711.60,4623.13
51657.60,5658.29
52985.22,5365.31
55666.00,6596.91
56683.99,6615.38
58954.60,7201.90
60230.80,9688.86
60230.80,10051.23
62325.80,11011.89
64053.40,11859.77
65013.80,15749.58
46802.04,6924.57
51007.78,6907.41
61762.64,7591.70
62519.69,3736.50
67634.15,4369.60
69555.37,4717.40
77768.96,4541.10
79779.82,4692.30
86898.94,6313.60
87623.40,7998.55
92578.26,8654.69
94472.70,10179.25
101094.16,13562.94
101094.16,14839.76
100047.71,16094.94
18550.70,
20104.90,
21431.00,3866.40
20661.00,4077.40
20661.00,4853.80
21427.90,4784.20
21418.30,4918.10
23054.10,5692.90
23095.10,5288.30
24394.00,5386.00
23813.60,6365.00
24259.10,6110.30
24259.10,6118.60
25337.90,6221.80
30231.20,3763.03
34024.60,4124.81
38983.20,4323.18
37742.66,4362.62
36831.67,4634.14
41325.14,4990.39
41349.90,5547.74
42714.31,6238.27
46992.20,6396.59
50255.88,7382.92
50252.50,7295.18
54692.52,8342.84
53696.80,8030.37
56758.50,9003.86
59775.35,9289.60
64119.52,9803.04
1923.00,302.31
1976.57,348.81
2030.14,366.13
2144.69,428.80
2259.24,457.37
2417.91,475.65
2576.57,483.89
2712.67,433.05
2848.76,430.95
2957.07,449.39
3065.37,458.13
3075.37,401.88
3085.37,359.06
3210.69,346.70
5245.43,
5533.96,
6293.45,
6088.25,
6343.73,
6697.61,
6620.56,
6547.95,
7265.37,
7091.82,
7732.38,
7513.58,
8313.50,0.00
8046.10,0.00
8317.20,0.00
7537.02,0.00
10917.60,913.15
10917.60,935.06
13888.00,467.54
14408.50,560.57
14175.60,586.30
15400.20,696.66
15400.20,1110.32
17203.51,2843.45
17669.40,1375.07
18379.20,1360.79
18379.20,1319.40
9257.55,11345.34
9389.00,11123.31
12888.42,10954.88
12757.00,10730.49
12178.12,11552.97
12936.06,11838.42
13694.00,12213.75
13315.03,12697.28
13504.52,12951.64
13288.40,13730.84
14122.24,12753.42
13811.50,11783.34
13500.75,12947.56
13417.50,12232.68
13334.25,12688.24
990481.40,180570.40
1098627.90,200696.60
903957.30,182621.20
879109.50,205538.90
970531.50,217242.40
1019783.90,241168.90
1115926.20,246240.60
1184151.10,270128.00
1113725.60,246724.10
1114941.00,269275.00
1244652.80,294991.60
1206101.10,311330.30
1282541.80,332937.20
1301597.20,364633.60
1217011.00,339873.60
1151065.70,339386.70
6786.00,969.40
7447.00,918.60
8254.00,1073.00
8069.15,997.30
8155.00,1095.70
8329.10,1087.70
8586.70,1094.30
9347.11,1112.30
9636.20,1081.42
10508.20,1087.50
10645.50,1033.50
11173.90,968.00
10850.70,905.90
11805.60,831.40
11805.60,878.70
12159.00,846.70
17096.27,8247.15
19793.27,8345.10
22989.89,7379.25
24701.85,7615.49
24062.06,8547.49
26789.66,8545.37
26700.00,8935.97
30544.15,9667.84
31315.80,9671.20
36253.00,10023.67
36252.50,10637.80
38619.75,11185.01
40987.00,11243.40
48986.30,11667.70
46212.00,12968.10
49829.00,14181.28
10662.00,299.63
13837.50,351.79
18504.80,782.83
15950.50,699.14
15950.50,711.48
20028.40,737.70
20028.40,738.78
25594.30,669.12
25594.30,615.92
25159.10,644.20
25547.00,504.43
32936.00,1139.53
28845.61,1192.79
30062.49,1336.56
30758.60,2284.42
30037.92,2530.34
92439.00,15283.76
107504.00,18687.39
127796.00,16952.93
122948.00,18529.66
126810.63,20232.79
141798.00,20340.68
153919.00,23145.44
164266.15,23388.18
176761.32,23873.24
187884.08,24736.08
192932.54,25889.80
195636.62,25597.10
195636.62,25676.61
209227.47,26239.72
202984.22,26748.10
192405.06,26596.70
2196.37,0.00
2592.20,0.00
3488.51,0.00
3488.51,0.00
3826.77,0.00
3826.77,0.00
4313.60,0.00
4313.60,0.00
4256.49,0.00
4937.16,0.00
4938.07,0.00
5219.77,0.00
5054.37,0.00
5132.58,0.00
5132.58,0.00
5132.58,0.00
20924.67,5417.94
21151.14,3625.56
21377.61,5547.41
20802.22,8646.68
20226.84,6000.20
21501.39,6064.72
22272.95,6350.49
23929.51,7951.93
23822.89,8560.93
25295.44,8070.00
25138.60,8590.30
20773.87,7988.52
28269.26,10253.71
19193.65,9794.52
23013.33,11471.00
31199.00,11320.56
31337.00,11371.12
30537.98,12862.08
36714.00,12509.15
38825.79,13260.80
42672.16,15652.00
46468.01,16319.11
48297.01,16414.93
52353.04,18452.38
52463.77,18331.27
57476.17,19360.52
57140.19,20693.99
57510.93,20234.14
56375.45,20318.03
183221.51,38137.68
230042.57,38905.85
315159.83,38811.17
294305.00,44112.74
328959.33,53119.86
360024.81,56193.48
391090.29,63410.11
353098.63,59844.12
315106.96,70538.01
334102.80,84697.69
381472.84,94824.05
363561.92,95266.62
