x,y
273112.67,21181.41
329690.17,21397.25
384312.08,21292.88
396555.58,21334.40
385189.64,23255.89
416021.85,22969.07
463654.04,23890.28
512130.86,24360.82
546891.89,24862.92
562595.54,24579.46
562337.41,24561.55
567742.16,24336.87
522353.18,25417.49
475163.88,29632.84
517504.01,29040.43
7965.60,64.19
8319.00,72.97
8246.70,83.59
7259.00,96.60
7717.10,103.07
7752.94,107.53
7888.09,127.88
7743.92,156.50
7872.58,199.50
8000.83,229.27
8218.82,262.60
8325.28,277.81
8431.75,306.82
8471.12,306.22
8510.50,307.72
8697.25,299.37
4245.20,324.35
4312.95,387.49
4312.95,370.66
4224.85,369.75
4226.98,354.79
4229.10,397.51
4277.90,390.40
4277.90,417.30
4536.85,404.62
1213.10,379.53
1277.14,359.60
1363.92,361.39
1377.82,384.85
1335.12,394.20
1361.64,398.20
1388.15,397.80
1418.09,410.10
1448.04,408.40
1478.61,413.10
1572.60,415.70
1615.35,454.60
1624.30,509.20
1699.10,518.80
1703.00,560.00
1718.00,593.70
11521.04,2616.02
13214.61,1806.85
16789.90,1946.97
17464.38,2077.00
18625.74,2098.47
19787.10,2245.06
,2249.30
24122.51,2683.99
27121.35,2795.40
27232.16,3097.77
28553.05,3262.52
30882.80,3625.05
33236.69,3722.43
33236.69,4008.93
34492.78,4262.98
1134069.52,14319.81
1545102.97,14534.03
1650713.00,15358.86
1439049.00,10958.83
1598397.00,13803.54
1997948.00,14165.47
2089829.00,10125.03
2491271.09,6575.38
2208664.73,3685.35
2117476.87,3570.79
2159204.75,3611.89
2068609.68,1184.68
2201643.05,1303.03
2428729.17,1320.18
2078629.65,1329.61
1830692.44,1310.39
145632.87,1117.16
172685.84,1139.18
140730.85,1005.77
135773.00,997.68
178148.07,1041.85
191140.29,990.24
237008.96,1025.87
255200.48,974.73
232985.65,959.26
256070.65,925.00
270791.46,913.45
264421.95,873.50
261625.52,852.42
258076.24,837.78
242327.58,831.60
240775.11,770.31
185759.58,9482.17
158379.95,9772.46
214405.04,10931.89
248764.56,11341.24
248764.56,12678.71
285766.31,13077.41
285766.31,13716.13
336340.81,14156.18
371000.00,13926.14
376331.70,14747.75
338316.78,14820.69
367015.77,14540.62
388870.15,13910.33
316056.28,15644.44
299536.58,14498.02
21762.62,654.91
27391.11,605.96
28786.79,569.46
29634.13,531.68
29823.07,479.51
33293.21,520.93
36763.36,1027.53
38678.22,1006.16
40593.07,1049.72
41283.15,1021.54
