fulcrum_id,FacilityType,latitude,longitude
1,,131857,0244942
2,,131905,0245404
3,,131613,0244822
4,,131740,0245013
5,,131813,0245206
6,,132032,0244800
7,,131945,0244913
8,,131916,0245138
9,,131938,0245112
10,,132116,0245110
11,,131953,0245321
12,,132015,0245307
13,,131959,0245400
14,,124124,0223127
15,,122103,0224151
16,,105113,0243847
17,,104557,0244237
18,,104748,0244143
19,,143530,0242845
20,,143740,0242417
21,,143426,0242253
22,,143657,0242227
23,,143652,0242259
24,,143455,0242448
25,,122810,0222504
26,,122823,0222615
27,,122723,0222350
28,,124211,0222920
29,,134409,0222233
30,,133608,0223012
31,,122042,0224437
32,,143124,0223459
33,,143118,0223411
34,,143222,0223357
35,,143759,0223336
36,,143851,0223532
37,,143924,0223557
38,,143734,0223650
39,,143749,0223715
40,,143748,0223729
41,,143726,0223732
42,,143749,0223750
43,,143817,0223812
44,,143707,0223758
45,,135632,0223601
46,,135517,0223720
47,,135052,0223812
48,,134532,0222937
49,,134438,0223029
50,,135329,0222813
51,,134625,0222949
52,,134829,0223014
53,,142422,0222614
54,,142643,0222912
55,,142722,0223018
56,,142623,0223222
57,,142639,0222711
58,,142619,0222657
59,,142626,0222801
60,,134139,0224904
61,,134159,0224818
62,,134034,0224753
63,,133527,0225113
64,,133954,0224755
65,,133754,0224533
66,,133841,0224549
67,,134552,0224941
68,,134555,0224905
69,,134543,0224834
70,,134647,0224740
71,,115639,0254156
72,,115006,0260155
73,,114748,0260334
74,,114814,0260240
75,,114921,0260332
76,,114703,0255911
77,,114747,0255819
78,,114827,0260607
79,,114920,0260622
80,,114906,0260536
81,,114828,0260445
82,,115100,0260812
83,,114634,0260556
84,,114204,0254811
85,,114340,0254510
86,,114414,0254453
87,,114118,0254710
88,,114315,0254751
89,,113107,0261229
90,,113244,0261419
91,,113317,0261316
92,,113236,0261128
93,,111237,0250559
94,,111114,0251015
95,,111235,0250915
96,,111420,0251102
97,,111709,0250645
98,,124713,0222046
99,,124748,0221905
100,,124648,0221714
101,,124524,0222046
102,,125755,0222233
103,,125652,0222103
104,,125659,0222131
105,,125558,0222038
106,,125254,0222056
107,,125210,0222127
108,,122309,0222634
109,,121813,0222749
110,,121734,0222654
111,,121754,0222956
112,,121524,0222827
113,,121605,0222934
114,,122038,0222836
115,,122016,0222904
116,,122558,0222626
117,,122637,0222707
118,,122632,0222821
119,,122747,0222739
120,,122946,0222628
121,,121258,0222900
122,,120942,0223019
123,,124824,0223013
124,,124633,0223100
125,,124451,0223102
126,,124506,0223146
127,,124336,0223215
128,,124253,0223108
129,,124139,0223106
130,,124141,0223209
131,,124110,0223224
132,,124021,0223317
133,,124101,0223344
134,,125642,0222951
135,,125714,0223255
136,,124431,0222924
137,,125329,0223421
138,,125639,0222643
139,,125421,0222301
140,,125300,0222339
141,,125255,0222648
142,,124616,0222222
143,,124748,0222423
144,,125208,0222631
145,,125238,0222612
146,,125308,0222735
147,,123938,0223353
148,,123918,0223325
149,,123856,0223254
150,,124013,0223325
151,,110652,0251748
152,,110752,0251657
153,,110718,0251613
154,,110656,0251247
155,,111144,0251355
156,,110906,0251700
157,,110851,0251507
158,,110813,0251344
159,,111059,0251553
160,,110955,0251738
161,,111014,0251858
162,,111002,0251930
163,,111140,0251854
164,,111224,0251909
165,,111100,0251735
166,,111302,0251616
167,,111048,0251245
168,,110504,0251850
169,,110520,0251806
170,,110453,0251808
171,,110442,0251626
172,,110452,0251633
173,,110425,0251508
174,,110741,0251515
175,,110647,0251423
176,,110735,0251253
177,,111156,0251344
178,,110901,0251644
179,,110859,0251549
180,,110826,0251641
181,,110918,0251544
182,,110917,0251507
183,,110917,0251425
184,,110737,0251428
185,,110709,0251449
186,,110650,0251544
187,,110557,0251537
188,,110556,0251513
189,,110544,0251449
190,,110538,0251454
191,,111207,0251839
192,,111204,0251824
193,,111139,0251728
194,,111312,0251742
195,,111308,0251939
196,,111236,0251705
197,,111210,0251625
198,,111147,0251547
199,,111145,0251601
200,,111218,0251519
201,,111234,0251504
202,,111249,0251454
203,,110622,0251855
204,,110621,0251923
205,,110757,0251800
206,,110659,0242153
207,,110750,0242148
208,,110653,0242242
209,,110737,0242306
210,,110724,0242332
211,,110752,0242417
212,,110802,0242442
213,,110730,0242455
214,,110720,0242652
215,,110737,0242709
216,,111024,0242748
217,,111045,0242733
218,,111138,0242856
219,,111043,0243135
220,,110902,0242057
221,,111124,0242100
222,,111144,0242353
223,,110705,0244829
224,,110644,0244249
225,,111304,0244238
226,,111802,0243959
227,,141653,0222711
228,,141605,0222739
229,,142150,0222636
230,,142301,0222752
231,,141956,0222841
232,,140312,0223557
233,,140444,0223607
234,,140408,0223509
235,,140445,0223720
236,,140551,0223504
237,,140801,0223431
238,,140902,0223519
239,,140944,0223506
240,,141235,0223755
241,,141515,0223706
242,,141550,0223723
243,,141659,0223523
244,,141821,0223537
245,,141735,0223414
246,,142008,0223559
247,,142037,0223520
248,,141933,0223431
249,,141922,0223334
250,,142212,0223426
251,,142246,0223601
252,,142345,0223516
253,,142314,0223345
254,,142346,0223311
