x,y
0.60,95709.20
0.53,101985.33
0.46,103444.41
0.43,98056.27
0.46,102278.07
0.40,109476.94
0.38,111673.81
0.37,120968.49
0.35,125723.77
0.35,130055.99
0.37,144009.78
0.37,143026.30
0.41,147439.66
0.44,140152.21
0.45,165635.53
0.30,2097.08
0.32,2363.06
0.34,2383.01
0.42,2663.17
0.43,2617.27
0.44,2693.39
0.47,2992.48
0.46,2796.48
0.48,3006.08
0.49,3076.43
0.54,3357.32
0.56,3631.46
0.59,3795.66
0.61,3670.66
0.66,4009.66
0.65,4044.66
0.96,2880.60
1.03,3193.41
1.06,3347.93
1.10,3448.63
1.18,3826.50
1.28,4072.01
1.29,4138.08
1.33,4268.26
1.28,4437.62
0.86,139.45
0.84,160.92
0.79,166.40
0.78,152.91
0.82,153.30
0.81,156.00
0.81,179.80
0.81,188.60
0.79,187.30
0.78,194.70
0.74,195.00
0.72,188.50
0.76,195.30
0.73,192.20
0.75,190.50
0.77,204.70
0.49,3042.94
0.38,3239.44
0.35,3926.96
0.36,4247.06
0.40,5391.01
0.35,4586.64
,5732.03
0.30,4595.97
0.27,4406.69
0.29,4293.55
0.28,4106.50
0.28,4064.30
0.27,4217.61
0.28,4178.41
0.28,4237.42
0.63,634562.25
0.62,877587.72
0.49,732673.37
0.69,913230.48
0.77,1145228.74
0.64,1196620.56
0.69,1384673.51
0.65,1564990.60
0.63,1351368.91
0.66,1355221.87
0.66,1381617.95
0.63,1270229.48
0.63,1274747.80
0.63,1412809.12
0.63,1242772.11
0.63,1155749.99
0.14,16009.89
0.12,16990.03
0.16,19295.87
0.19,23175.95
0.15,24148.28
0.15,25278.30
0.15,31603.85
0.17,39454.96
0.21,43682.52
0.20,47750.00
0.22,52727.20
0.21,51412.65
0.21,50939.09
0.22,50618.91
0.23,49249.52
0.24,49906.57
0.35,42196.99
0.46,49284.61
0.34,48455.25
0.33,54841.02
0.36,58383.67
0.34,68531.50
0.37,74992.58
0.33,77579.29
0.32,84309.30
0.32,87514.19
0.34,80230.92
0.34,88534.56
0.34,96269.25
0.37,78225.25
0.38,75575.22
0.46,7605.90
0.41,8874.39
0.34,7668.05
0.34,8405.70
0.36,8949.79
0.36,10292.21
0.37,11317.46
0.39,13220.11
0.39,13793.04
0.42,15560.99
0.44,17047.12
0.48,18948.85
0.47,19455.27
0.51,19105.59
0.48,19279.82
0.50,20968.27
0.21,1111.33
0.18,1002.63
0.24,3645.00
0.24,3909.38
0.28,4784.09
0.28,4686.54
0.27,4161.32
0.30,4825.12
0.31,4824.56
0.32,6256.28
0.36,7655.14
0.38,8179.85
0.38,7722.12
0.37,7657.24
0.36,7876.09
0.26,3277.12
0.25,3239.74
0.22,3645.10
0.16,2842.20
0.17,3467.10
0.19,4665.10
0.17,4371.30
0.18,4506.50
0.19,6115.64
0.21,7780.51
0.23,8418.71
0.24,9926.55
0.26,11295.04
0.30,12558.33
0.32,12303.68
0.40,
0.39,
0.35,1406.10
0.38,1611.50
0.43,1588.50
0.40,1499.70
0.43,1634.10
0.43,1766.80
0.42,2014.00
0.40,2104.70
0.46,2282.50
0.44,2021.20
0.44,2028.80
0.42,2088.50
0.22,2657.72
0.22,3169.55
0.20,3368.18
0.21,3407.62
0.23,3679.14
0.23,4035.39
0.25,4592.74
0.25,5283.27
0.24,5766.59
0.24,6052.92
0.24,5965.18
0.24,6312.84
0.25,6300.37
0.25,7273.86
0.24,7559.60
0.24,8073.04
0.73,568.40
0.75,612.84
0.78,646.88
0.77,683.15
0.77,693.07
0.75,724.61
0.74,712.35
0.72,656.10
0.64,457.01
0.58,470.46
0.56,479.09
0.54,422.74
0.52,379.83
0.49,367.21
0.40,669.75
0.43,752.22
0.44,862.19
0.33,813.25
0.36,922.54
0.31,1016.61
0.23,1171.79
0.24,1031.14
0.25,1041.44
0.28,1019.68
0.29,1060.02
0.33,1094.62
0.32,1072.48
0.36,1121.40
0.37,1168.70
0.39,1006.30
0.36,913.15
0.27,935.06
0.25,1271.08
0.27,1455.94
0.29,1810.20
0.29,2143.15
0.34,2574.02
0.33,2843.45
0.35,3112.87
0.34,3114.69
0.37,3293.10
1.49,
1.39,
1.01,7566.90
1.02,7597.90
1.14,8397.24
1.20,9020.51
1.20,9331.41
1.28,9769.09
1.29,10200.70
1.34,10602.02
1.24,10703.99
1.22,9991.73
1.26,9909.72
1.21,9197.00
1.24,9130.01
0.20,153734.20
0.20,174510.00
0.24,177373.00
0.27,198562.70
0.26,206971.60
0.28,231814.50
0.26,233734.20
0.27,259700.50
0.26,228564.10
0.28,247450.40
0.27,274811.00
0.30,290872.60
0.30,310724.20
0.32,336683.00
0.32,308915.60
0.34,302911.50
0.57,1202.61
0.34,1109.60
0.31,1073.00
0.32,997.30
0.35,1095.70
0.45,1087.70
0.35,1094.30
0.34,1112.30
0.33,1081.42
0.31,1087.50
0.32,1033.50
0.30,968.00
0.32,905.90
0.30,831.40
0.32,878.70
0.31,846.70
0.61,2665.43
0.53,2198.83
0.45,1962.19
0.44,1890.37
0.46,822.92
0.41,834.79
0.44,1190.90
0.41,1903.52
0.41,1903.90
0.38,2926.21
0.39,3482.70
0.40,3357.88
0.38,3452.50
0.36,4403.30
0.39,3878.80
0.39,4222.55
0.20,299.63
0.16,351.79
0.13,473.15
0.14,402.37
0.15,440.52
0.11,466.80
0.12,480.72
0.11,423.96
0.09,383.62
0.09,424.85
0.12,1227.15
0.11,1349.83
0.13,1393.42
0.13,1589.67
0.16,1516.74
0.16,1391.86
0.31,7590.81
0.28,10398.81
0.22,10108.01
0.24,10743.12
0.24,11503.47
0.22,12320.94
0.21,14217.66
0.20,14549.41
0.19,15165.77
0.19,15787.93
0.19,17062.09
0.17,16669.11
0.17,16918.44
0.17,17537.35
0.17,18585.01
0.18,18791.92
0.25,235.20
0.23,209.66
0.16,230.36
0.17,236.18
0.16,329.48
0.19,416.88
0.19,466.78
0.19,443.66
0.20,405.92
0.19,454.57
0.21,491.42
0.23,605.01
0.30,770.90
0.23,435.60
0.27,558.90
0.30,647.20
0.33,5417.94
0.24,3625.56
0.33,5547.41
0.49,8646.68
0.38,6000.20
0.36,6064.72
0.37,6350.49
0.41,7951.93
0.44,8560.93
0.39,8070.00
0.43,8590.30
0.49,7988.52
0.44,10253.71
0.63,2789.16
0.60,2884.60
0.45,2243.46
0.48,2244.30
0.54,2606.02
0.43,2469.00
0.42,2875.40
0.44,4536.00
0.41,4814.03
0.40,5261.25
0.40,6343.97
0.39,6490.76
0.37,6276.20
0.40,6643.54
0.39,6446.97
0.40,5837.48
0.24,16842.20
0.19,16542.48
0.14,14198.89
0.17,20441.64
0.18,24735.59
0.18,29243.48
0.18,34734.36
0.19,32214.51
0.25,35839.43
0.28,50238.88
0.27,59362.87
0.29,60104.75
