x,y
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
ViolenceAgainstCivilians,ViolenceAgainstCivilians
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
ViolenceAgainstCivilians,ViolenceAgainstCivilians
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
StrategicDevelopment,StrategicDevelopment
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RemoteViolence,RemoteViolence
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RemoteViolence,RemoteViolence
Battle-NoTerritoryChange,Battle-NoTerritoryChange
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RemoteViolence,RemoteViolence
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RemoteViolence,RemoteViolence
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
StrategicDevelopment,StrategicDevelopment
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
StrategicDevelopment,StrategicDevelopment
StrategicDevelopment,StrategicDevelopment
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
StrategicDevelopment,StrategicDevelopment
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
StrategicDevelopment,StrategicDevelopment
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
NonViolentTerritoryTransfer,NonViolentTerritoryTransfer
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RemoteViolence,RemoteViolence
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RemoteViolence,RemoteViolence
ViolenceAgainstCivilians,ViolenceAgainstCivilians
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RemoteViolence,RemoteViolence
RemoteViolence,RemoteViolence
RemoteViolence,RemoteViolence
RemoteViolence,RemoteViolence
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
RiotsOrProtests,RiotsOrProtests
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RemoteViolence,RemoteViolence
Battle-GovernmentRegainsTerritory,Battle-GovernmentRegainsTerritory
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NonStateActorTakesTerritory,Battle-NonStateActorTakesTerritory
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
Battle-NoTerritoryChange,Battle-NoTerritoryChange
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
RiotsOrProtests,RiotsOrProtests
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RiotsOrProtests,RiotsOrProtests
StrategicDevelopment,StrategicDevelopment
RemoteViolence,RemoteViolence
Battle-GovernmentRegainsTerritory,Battle-GovernmentRegainsTerritory
Battle-GovernmentRegainsTerritory,Battle-GovernmentRegainsTerritory
Battle-GovernmentRegainsTerritory,Battle-GovernmentRegainsTerritory
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RemoteViolence,RemoteViolence
RemoteViolence,RemoteViolence
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
RiotsOrProtests,RiotsOrProtests
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
Battle-NoTerritoryChange,Battle-NoTerritoryChange
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
RiotsOrProtests,RiotsOrProtests
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
ViolenceAgainstCivilians,ViolenceAgainstCivilians
StrategicDevelopment,StrategicDevelopment
ViolenceAgainstCivilians,ViolenceAgainstCivilians
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
Battle-NoTerritoryChange,Battle-NoTerritoryChange
