fulcrum_id,FacilityType,latitude,longitude
1,,34.53003559,69.12031174
2,,34.52388361,69.11151409
3,,34.52932849,69.11224365
4,,34.53152048,69.11327362
5,,34.50567244,69.11754377
6,,34.51214408,69.12074089
7,,34.50252493,69.1258049
8,,34.47608863,69.12691534
9,,34.51301046,69.13228512
10,,34.51884501,69.13286448
11,,34.5145929,69.13353503
12,,34.51150756,69.13537502
13,,34.56361598,69.13674831
14,,34.5012694,69.13930178
15,,34.47032185,69.1460824
16,,34.4719626,69.14686561
17,,34.51804941,69.17238951
18,,34.51859749,69.17584419
19,,34.51928701,69.17835474
20,,34.53657599,69.19232368
21,,34.53646994,69.19249535
22,,34.56273246,69.1945982
23,,34.53289929,69.20060635
24,,34.53371242,69.20082092
25,,34.53443716,69.20165777
26,,34.55011476,69.20279503
27,,34.52699501,69.20339584
28,,34.55209413,69.20459747
29,,34.53470231,69.20528412
30,,34.50558408,69.22124863
31,,34.50942113,69.22498226
32,,34.50970404,69.22687054
33,,34.50814803,69.23034668
34,,34.56177825,69.01195049
35,,34.5263586,69.0729332
36,,34.51347459,69.11772609
