LocationA,LocationB,Distance,Tags,StartLat,StartLon,EndLat,EndLon
1,7,0.0027410000000003265,,42.326988,-71.110632,42.329521,-71.11084
2,11,0.0037400000000147315,,41.283665,-72.960451,41.284505,-72.957551
7,1,0.0027410000000003265,,42.329521,-71.11084,42.326988,-71.110632
11,2,0.0037400000000147315,,41.284505,-72.957551,41.283665,-72.960451
51,78,0.00403299999998552,,42.109866,-72.600073,42.107384,-72.598522
78,51,0.00403299999998552,,42.107384,-72.598522,42.109866,-72.600073
81,87,0.0014159999999918682,,42.951843,-78.812706,42.951263,-78.813542
87,81,0.0014159999999918682,,42.951263,-78.813542,42.951843,-78.812706
127,133,0.0,,41.238024,-73.931274,41.238024,-73.931274
128,132,0.0029680000000027462,,40.752661,-74.236115,40.753644,-74.23413
129,136,7.670000000032928E-4,,40.736317,-73.977115,40.73618,-73.976485
132,128,0.0029680000000027462,,40.753644,-74.23413,40.752661,-74.236115
133,127,0.0,,41.238024,-73.931274,41.238024,-73.931274
136,129,7.670000000032928E-4,,40.73618,-73.976485,40.736317,-73.977115
141,169,0.0011390000000019995,,40.69734,-73.985422,40.697399,-73.986502
169,141,0.0011390000000019995,,40.697399,-73.986502,40.69734,-73.985422
180,188,0.0,,40.446498,-79.960084,40.446498,-79.960084
188,180,0.0,,40.446498,-79.960084,40.446498,-79.960084
240,597,0.0,,39.281946,-81.550228,39.281946,-81.550228
259,260,7.969999999986044E-4,,39.289405,-76.623864,39.289785,-76.624281
260,259,7.969999999986044E-4,,39.289785,-76.624281,39.289405,-76.623864
262,279,0.0,,39.336506,-76.597778,39.336506,-76.597778
279,262,0.0,,39.336506,-76.597778,39.336506,-76.597778
305,306,0.0,,35.90217,-78.781025,35.90217,-78.781025
306,305,0.0,,35.90217,-78.781025,35.90217,-78.781025
316,323,1.9999999949504854E-6,,36.030819,-78.935121,36.030819,-78.935119
323,316,1.9999999949504854E-6,,36.030819,-78.935119,36.030819,-78.935121
426,518,9.249999999951797E-4,,27.813716,-82.777236,27.813609,-82.778054
446,486,0.0,,27.310449,-80.401812,27.310449,-80.401812
461,462,0.0,,25.773224,-80.219426,25.773224,-80.219426
462,461,0.0,,25.773224,-80.219426,25.773224,-80.219426
465,507,0.0,,25.16373,-80.380697,25.16373,-80.380697
472,511,0.0022709999999932506,,26.161953,-81.774249,26.16184,-81.772091
486,446,0.0,,27.310449,-80.401812,27.310449,-80.401812
494,495,1.9999998812636477E-7,,31.231823,-82.341851,31.231823,-82.3418512
495,494,1.9999998812636477E-7,,31.231823,-82.3418512,31.231823,-82.341851
497,515,6.390000000067175E-4,,28.258295,-82.182713,28.258441,-82.18222
507,465,0.0,,25.16373,-80.380697,25.16373,-80.380697
511,472,0.0022709999999932506,,26.16184,-81.772091,26.161953,-81.774249
515,497,6.390000000067175E-4,,28.258441,-82.18222,28.258295,-82.182713
518,426,9.249999999951797E-4,,27.813609,-82.778054,27.813716,-82.777236
527,530,0.0,,38.029411,-84.506248,38.029411,-84.506248
528,536,7.4700000000405E-4,,36.141841,-86.804872,36.142337,-86.804621
530,527,0.0,,38.029411,-84.506248,38.029411,-84.506248
536,528,7.4700000000405E-4,,36.142337,-86.804621,36.141841,-86.804872
538,545,0.0,,36.156888,-86.802979,36.156888,-86.802979
539,588,0.0032730000000000814,,35.009908,-85.211812,35.01079,-85.214203
545,538,0.0,,36.156888,-86.802979,36.156888,-86.802979
588,539,0.0032730000000000814,,35.01079,-85.214203,35.009908,-85.211812
597,240,0.0,,39.281946,-81.550228,39.281946,-81.550228
622,640,2.4300000000465616E-4,,41.479682,-81.715684,41.479909,-81.7157
640,622,2.4300000000465616E-4,,41.479909,-81.7157,41.479682,-81.715684
