x,y
21181.41,141619.59
21397.25,152188.39
21292.88,153666.21
21334.40,149107.98
23255.89,153671.54
22969.07,144939.52
23890.28,151658.12
24360.82,163406.69
24862.92,165276.94
24579.46,169643.36
24561.55,184384.09
24336.87,183510.05
25417.49,188870.67
29632.84,180983.39
29040.43,204153.12
64.19,2322.08
72.97,2563.06
83.59,2683.01
96.60,2988.17
103.07,3217.27
107.53,3293.39
127.88,3592.48
156.50,3396.48
199.50,3606.08
229.27,3676.43
262.60,4137.32
277.81,4411.46
306.82,4677.20
306.22,4852.20
307.72,5294.56
299.37,5355.12
324.35,3759.23
387.49,4052.92
370.66,4180.14
369.75,4268.81
354.79,4626.11
397.51,5008.75
390.40,5132.64
417.30,5273.44
404.62,5382.57
379.53,670.19
359.60,713.20
361.39,716.10
384.85,690.05
394.20,700.60
398.20,702.80
397.80,726.60
410.10,735.40
408.40,734.10
413.10,741.50
415.70,741.80
454.60,715.00
509.20,721.80
518.80,718.70
560.00,717.00
593.70,731.20
2616.02,3042.94
1806.85,3239.44
1946.97,3926.96
2077.00,4247.06
2098.47,5391.01
2245.06,4586.64
2249.30,5732.03
2683.99,4595.97
2795.40,4406.69
3097.77,4793.55
3262.52,4606.50
3625.05,5064.30
3722.43,5217.61
4008.93,5178.41
4262.98,5237.42
14319.81,703490.21
14534.03,941123.13
15358.86,794074.79
10958.83,980150.91
13803.54,1212480.02
14165.47,1258129.79
10125.03,1428621.63
6575.38,1607081.34
3685.35,1392087.35
3570.79,1395706.69
3611.89,1422672.42
1184.68,1310079.48
1303.03,1313862.57
1320.18,1453131.80
1329.61,1283716.09
1310.39,1193527.98
1117.16,19063.89
1139.18,19507.01
1005.77,21225.05
997.68,24664.22
1041.85,25636.54
990.24,26766.56
1025.87,34673.49
974.73,42521.19
959.26,48003.72
925.00,51438.00
913.45,57948.30
873.50,55752.60
852.42,55246.29
837.78,54885.69
831.60,54962.24
770.31,57056.60
9482.17,56183.85
9772.46,63047.60
10931.89,61856.26
11341.24,69711.37
12678.71,77983.38
13077.41,85382.35
13716.13,92262.13
14156.18,96356.81
13926.14,103373.56
14747.75,106426.76
14820.69,98581.34
14540.62,109658.29
13910.33,119508.36
15644.44,100101.70
14498.02,100480.67
654.91,9355.90
605.96,10624.39
569.46,9218.05
531.68,9655.70
479.51,10206.52
520.93,11542.21
1027.53,12567.46
1006.16,14220.11
1049.72,14793.04
1021.54,16310.99
1005.64,18797.12
989.77,21448.85
1042.48,21955.28
1064.06,22355.59
1156.62,22529.82
1173.74,25218.27
4419.62,2987.18
4736.19,2822.13
5529.54,5327.99
5507.75,5492.27
6704.42,6288.35
7814.40,6813.08
8144.34,6314.80
8802.87,7641.71
9697.72,7614.48
10096.83,9025.03
10273.69,11373.60
10798.64,12294.60
10560.87,12983.77
10160.13,13565.57
6343.97,17155.89
5144.81,7240.39
5660.87,7190.13
5863.10,7870.90
6220.20,4014.50
6699.70,4628.40
7516.50,5820.30
7577.10,5519.80
8912.60,5649.20
8879.44,7251.76
9740.69,8911.60
11410.62,9540.59
11758.87,11087.79
11471.08,14987.88
12705.19,17435.06
13616.08,18725.19
,0.00
,0.00
2867.90,4646.10
2993.80,4851.50
3203.40,5628.50
3056.40,5539.70
3470.30,5674.10
3386.50,6460.30
3620.70,6054.00
3662.10,6144.70
3740.90,7122.50
3694.20,6861.20
3729.00,6868.80
3677.40,6928.50
2773.41,3763.03
3195.17,4124.81
3330.33,4323.18
3720.40,4362.62
3972.63,4634.14
4464.78,4990.39
4607.00,5547.74
4575.90,6238.27
4974.90,6396.59
4908.37,7382.92
4974.69,7295.18
4943.69,8342.84
5340.23,8030.37
5299.08,9003.86
5309.25,9289.60
5755.82,9803.04
830.43,572.33
840.57,633.68
924.00,654.26
962.23,686.62
1033.33,699.98
1091.87,731.38
1199.07,718.86
1291.49,662.41
1352.39,463.18
1242.58,476.24
1240.79,484.81
1220.87,428.44
1211.63,385.33
1214.49,372.73
,
,
,
,
,
,
,
,
,
,
,
,
1562.40,1072.50
1754.40,1121.40
1873.80,1168.70
1957.30,1006.30
3001.99,934.01
2005.99,954.01
2034.25,1373.11
2340.30,1528.04
2190.10,1883.20
2163.44,2244.29
2551.17,2674.71
2671.69,2943.70
2941.98,3211.56
3122.11,3219.30
3380.60,3409.45
1942.85,11861.65
1718.05,11364.93
1770.90,11238.00
1965.30,11056.90
1996.80,11864.34
3069.59,12439.35
3592.25,12826.22
3693.85,13298.70
3792.47,13634.86
3761.08,13979.57
3679.34,13860.45
3732.31,13143.46
3749.10,13201.22
3669.80,12580.40
3624.60,12906.71
5647.30,190023.20
6822.40,209938.80
8408.50,210698.10
8599.10,230145.20
13669.60,242009.80
14566.30,266893.20
17623.20,273298.00
18628.30,299712.00
20683.00,269232.60
20900.30,291909.30
22871.70,319399.80
23101.60,335570.60
24800.10,358104.50
24832.50,388765.30
25646.50,361842.50
25875.00,359805.90
2409.89,1430.01
1388.00,1144.10
1491.20,1073.00
1592.40,997.30
1737.00,1095.70
2651.00,1087.70
1936.40,1094.30
2052.90,1112.30
2139.02,1081.42
2196.70,1087.50
2360.80,1033.50
2401.60,968.00
2613.00,905.90
2694.40,831.40
2848.30,878.70
2917.40,846.70
1421.56,9031.10
1455.42,9015.22
1555.13,8882.20
1658.13,9143.99
1865.30,9107.08
1867.24,9116.52
2151.10,9478.67
2153.97,10369.13
2420.20,10394.00
2791.64,11139.47
2754.60,11510.60
2945.98,12464.33
3230.70,12452.90
3867.40,13772.10
3821.70,14409.30
3763.20,15530.87
1804.93,299.63
1814.45,351.79
1577.77,782.83
1524.68,699.14
1631.87,711.48
1501.14,737.70
1640.00,738.78
2073.30,669.12
1700.84,615.92
1644.21,644.20
1703.65,1420.70
1633.21,2017.57
1703.44,2048.25
1663.40,2231.61
1696.99,3132.87
1658.13,3287.99
12675.88,16056.34
10875.48,18720.91
11092.78,17047.19
10783.51,18691.32
10396.43,20466.07
10163.93,20644.45
8929.52,23569.79
8995.08,23935.67
9143.45,24498.07
10155.15,25309.71
9957.40,26599.52
7745.67,26198.22
7594.07,26463.92
7573.94,27080.75
7212.81,27730.62
7306.55,27859.11
319.30,235.20
390.50,209.66
319.30,230.36
346.10,236.18
269.10,329.48
299.20,416.88
334.40,466.78
362.60,443.66
462.90,405.92
470.10,454.57
567.21,491.42
587.84,605.01
738.60,770.90
751.70,453.29
778.22,590.72
800.37,731.44
477.90,6427.24
463.70,4652.36
450.90,6603.71
442.20,9753.18
557.00,7129.20
517.30,7223.22
726.00,7514.99
702.20,9108.93
718.90,9704.23
714.30,9201.30
747.70,10012.30
730.00,9528.52
770.60,11766.61
2297.48,9794.52
2337.00,11471.00
2655.44,11320.56
3590.88,11371.12
3513.97,12862.08
3407.32,12509.15
3197.96,13260.80
3167.00,15652.00
2879.76,16319.11
2767.04,16414.93
2738.28,18452.38
2187.16,18331.27
2162.93,19360.52
2199.49,20693.99
2113.99,20234.14
2062.39,20318.03
3951.78,40149.05
3326.23,40729.77
3621.68,40440.90
3797.46,46537.80
4183.79,55696.36
4237.64,59876.70
5005.58,66755.42
5515.49,63136.52
5976.41,73305.72
5988.94,87593.36
7969.36,96810.83
7977.82,97530.24
