x,y
273112.67,0.25
329690.17,0.22
384312.08,0.19
396555.58,0.18
385189.64,0.19
416021.85,0.14
463654.04,0.14
512130.86,0.13
546891.89,0.12
562595.54,0.11
562337.41,0.12
567742.16,0.11
522353.18,0.13
475163.88,0.15
517504.01,0.13
7965.60,0.04
8319.00,0.03
8246.70,0.05
7259.00,0.06
7717.10,0.09
7752.94,0.09
7888.09,0.09
7743.92,0.10
7872.58,0.10
8000.83,0.10
8218.82,0.13
8325.28,0.13
8431.75,0.14
8471.12,0.18
8510.50,0.19
8697.25,0.19
4245.20,0.28
4312.95,0.29
4312.95,0.28
4224.85,0.28
4226.98,0.27
4229.10,0.32
4277.90,0.32
4277.90,0.33
4536.85,0.30
1213.10,0.75
1277.14,0.71
1363.92,0.67
1377.82,0.67
1335.12,0.71
1361.64,0.69
1388.15,0.68
1418.09,0.67
1448.04,0.66
1478.61,0.65
1572.60,0.61
1615.35,0.61
1624.30,0.64
1699.10,0.62
1703.00,0.64
1718.00,0.65
11521.04,0.23
13214.61,0.14
16789.90,0.12
17464.38,0.12
18625.74,0.11
19787.10,0.11
,
24122.51,0.11
27121.35,0.10
27232.16,0.13
28553.05,0.13
30882.80,0.15
33236.69,0.14
33236.69,0.15
34492.78,0.15
1134069.52,0.07
1545102.97,0.05
1650713.00,0.05
1439049.00,0.05
1598397.00,0.05
1997948.00,0.04
2089829.00,0.03
2491271.09,0.02
2208664.73,0.02
2117476.87,0.02
2159204.75,0.02
2068609.68,0.02
2201643.05,0.02
2428729.17,0.02
2078629.65,0.02
1830692.44,0.02
145632.87,0.03
172685.84,0.02
140730.85,0.02
135773.00,0.02
178148.07,0.01
191140.29,0.01
237008.96,0.02
255200.48,0.02
232985.65,0.02
256070.65,0.02
270791.46,0.02
264421.95,0.02
261625.52,0.02
258076.24,0.02
242327.58,0.03
240775.11,0.03
185759.58,0.13
158379.95,0.15
214405.04,0.11
248764.56,0.11
248764.56,0.13
285766.31,0.10
285766.31,0.11
336340.81,0.10
371000.00,0.09
376331.70,0.09
338316.78,0.10
367015.77,0.10
388870.15,0.10
316056.28,0.12
299536.58,0.13
21762.62,0.11
27391.11,0.09
28786.79,0.07
29634.13,0.06
29823.07,0.06
33293.21,0.05
36763.36,0.06
38678.22,0.05
40593.07,0.05
41283.15,0.04
44546.84,0.06
46950.49,0.07
49354.14,0.07
45745.57,0.09
49195.91,0.09
52679.63,0.10
35955.34,0.18
41302.30,0.16
45717.60,0.16
45167.29,0.16
