Term,TF,IDF,TF_IDF
limited,1,1,0.0
correlates,1,1,0.0
Technical,1,1,0.0
participants,2,1,0.0
practices,3,1,0.0
time,1,1,0.0
interest,2,1,0.0
role,1,1,0.0
feature,4,1,0.0
these,2,1,0.0
Expert,1,1,0.0
serve,1,1,0.0
Our,1,1,0.0
cell,2,1,0.0
answer,2,1,0.0
unnecessary,1,1,0.0
number,1,1,0.0
Sources,1,1,0.0
0.00368,1,1,0.0
When,1,1,0.0
variables,1,1,0.0
3,3,1,0.0
2,4,1,0.0
1,5,1,0.0
0,1,1,0.0
7,1,1,0.0
urge,1,1,0.0
nesting,1,1,0.0
6,1,1,0.0
5,2,1,0.0
4,3,1,0.0
roles,4,1,0.0
9,1,1,0.0
8,1,1,0.0
each,6,1,0.0
bipartite,2,1,0.0
we,5,1,0.0
correlative,1,1,0.0
data,2,1,0.0
use,5,1,0.0
states,1,1,0.0
15,2,1,0.0
13,1,1,0.0
seeking,1,1,0.0
interested,1,1,0.0
14,1,1,0.0
11,1,1,0.0
resulting,1,1,0.0
Control,1,1,0.0
12,1,1,0.0
