Term,TF,IDF,TF_IDF
,201,0,Infinity
Amazon CloudWatch,2,0,Infinity
GST for New Purchases and Adjustments,1,0,Infinity
0.020 per On Demand Linux t1.micro Instance,1,0,Infinity
from EU (Germany,1,0,Infinity
transfer from EU (Ireland,1,0,Infinity
0.05 per 1 million I/O requests ­ US West (Oregon,1,0,Infinity
First 1,000,000 Amazon SQS Requests per month,2,0,Infinity
from US West (Northern California,1,0,Infinity
0.000 per GB ­ storage under the monthly global,2,0,Infinity
Elastic Compute Cloud,1,0,Infinity
AWS Data Transfer USE1­APS2­AWS­Out­Bytes,1,0,Infinity
Hour,2,0,Infinity
free tier,2,0,Infinity
GST to be collected,1,0,Infinity
Details,1,0,Infinity
AWS Data Transfer USW2­EU­AWS­In­Bytes,1,0,Infinity
0.000000080 GB,1,0,Infinity
616 Hrs,1,0,Infinity
AWS Data Transfer USW2­CloudFront­Out­Bytes,1,0,Infinity
0.00 per request ­ PUT, COPY, POST, or LIST,1,0,Infinity
0.00 per LoadBalancer­hour (or partial hour,2,0,Infinity
0.000062 GB,1,0,Infinity
Amazon Simple Notification Service USW2­DeliveryAttempts­SMTP,1,0,Infinity
0.000004 GB,5,0,Infinity
15.40,2,0,Infinity
341 Hrs,1,0,Infinity
from South America (Sao Paulo,1,0,Infinity
month are free,2,0,Infinity
AWS Data Transfer USW2­APS2­AWS­In­Bytes,1,0,Infinity
0.000 per GB ­ regional data transfer under the,2,0,Infinity
0.00 per GB­month of provisioned storage under,2,0,Infinity
7/7,1,0,Infinity
3 Requests,1,0,Infinity
Virginia) from CloudFront,1,0,Infinity
7.473 GB­Mo,1,0,Infinity
0.00,125,0,Infinity
Total Charges: $40.61,1,0,Infinity
US West (Oregon) Region,6,0,Infinity
0.01,4,0,Infinity
Amazon Simple Storage Service TimedStorage­ByteHrs,1,0,Infinity
2,039,931 IOs,1,0,Infinity
5.443 GB,1,0,Infinity
Amazon RDS Service for MySQL Community Edition,1,0,Infinity
AWS Data Transfer USW2­CloudFront­In­Bytes,1,0,Infinity
Amazon Simple Storage Service USW2­TimedStorage­ByteHrs,1,0,Infinity
AWS Data Transfer USE1­EUC1­AWS­In­Bytes,1,0,Infinity
0.000012 GB,1,0,Infinity
RDS Service,1,0,Infinity
0.00 per GB Data Processed by the LoadBalancer,2,0,Infinity
