fulcrum_id,FacilityType,latitude,longitude
1,3,1/1/06 0:00,3108 OCCIDENTAL DR
2,5,1/1/06 0:00,2082 EXPEDITION WAY
3,2,1/1/06 0:00,4 PALEN CT
4,6,1/1/06 0:00,22 BECKFORD CT
5,2,1/1/06 0:00,3421 AUBURN BLVD
6,6,1/1/06 0:00,5301 BONNIEMAE WAY
7,4,1/1/06 0:00,2217 16TH AVE
8,3,1/1/06 0:00,3547 P ST
9,2,1/1/06 0:00,3421 AUBURN BLVD
10,1,1/1/06 0:00,1326 HELMSMAN WAY
11,6,1/1/06 0:00,2315 STOCKTON BLVD
12,6,1/1/06 0:00,5112 63RD ST
13,4,1/1/06 0:00,6351 DRIFTWOOD ST
14,3,1/1/06 0:00,7721 COLLEGE TOWN DR
15,6,1/1/06 0:00,8460 ROVANA CIR
16,6,1/1/06 0:00,4856 11TH AVE
17,6,1/1/06 0:00,6033 69TH ST
18,3,1/1/06 0:00,547 L ST
19,6,1/1/06 0:00,3525 42ND ST
20,4,1/1/06 0:00,5641 DORSET WAY
21,5,1/1/06 0:01,5551 REXLEIGH CT
22,2,1/1/06 0:01,1896 ARDEN WAY
23,4,1/1/06 0:01,6168 RIVERSIDE BLVD
24,2,1/1/06 0:01,415 SEXTANT WAY
25,5,1/1/06 0:01,15 BASIN CT
26,6,1/1/06 0:01,3340 62ND ST
27,5,1/1/06 0:01,4280 DEER HILL DR
28,4,1/1/06 0:01,2814 5TH ST
29,5,1/1/06 0:01,1816 FLORIN RD
30,2,1/1/06 0:01,1260 BELL AVE
31,4,1/1/06 0:01,7676 BRIDGEVIEW DR
32,2,1/1/06 0:01,3816 CYPRESS ST
33,3,1/1/06 0:01,1211 23RD ST
34,6,1/1/06 0:01,7001 EAST PKWY
35,4,1/1/06 0:01,918 LAKE FRONT DR
36,1,1/1/06 0:01,4851 KOKOMO DR
37,1,1/1/06 0:01,2377 OAK HARBOUR DR
38,3,1/1/06 0:01,1823 P ST
39,3,1/1/06 0:01,1100 14TH ST
40,1,1/1/06 0:01,3301 ARENA BLVD
41,1,1/1/06 0:01,1088 PREGO WAY
