x,y
0.60,45910.39
0.53,50203.06
0.46,50221.80
0.43,51051.72
0.46,51393.47
0.40,35462.59
0.38,39984.32
0.37,42438.20
0.35,39553.17
0.35,39587.67
0.37,40374.30
0.37,40483.75
0.41,41431.01
0.44,40831.18
0.45,38517.59
0.30,225.00
0.32,200.00
0.34,300.00
0.42,325.00
0.43,600.00
0.44,600.00
0.47,600.00
0.46,600.00
0.48,600.00
0.49,600.00
0.54,780.00
0.56,780.00
0.59,881.54
0.61,1181.54
0.66,1284.90
0.65,1310.46
0.96,878.63
1.03,859.51
1.06,832.21
1.10,820.17
1.18,799.60
1.28,936.74
1.29,994.55
1.33,1005.18
1.28,944.95
0.86,530.74
0.84,552.28
0.79,549.70
0.78,537.14
0.82,547.30
0.81,546.80
0.81,546.80
0.81,546.80
0.79,546.80
0.78,546.80
0.74,546.80
0.72,526.50
0.76,526.50
0.73,526.50
0.75,526.50
0.77,526.50
0.49,0.00
0.38,0.00
0.35,0.00
0.36,0.00
0.40,0.00
0.35,0.00
,0.00
0.30,0.00
0.27,0.00
0.29,500.00
0.28,500.00
0.28,1000.00
0.27,1000.00
0.28,1000.00
0.28,1000.00
0.63,68927.96
0.62,63535.42
0.49,61401.43
0.69,66920.43
0.77,67251.28
0.64,61509.23
0.69,43948.13
0.65,42090.74
0.63,40718.44
0.66,40484.83
0.66,41054.47
0.63,39850.00
0.63,39114.76
0.63,40322.68
0.63,40943.98
0.63,37778.00
0.14,3054.00
0.12,2516.98
0.16,1929.18
0.19,1488.27
0.15,1488.27
0.15,1488.27
0.15,3069.63
0.17,3066.23
0.21,4321.21
0.20,3688.00
0.22,5221.10
0.21,4339.96
0.21,4307.20
0.22,4266.78
0.23,5712.72
0.24,7150.02
0.35,13986.86
0.46,13763.00
0.34,13401.01
0.33,14870.34
0.36,19599.71
0.34,16850.84
0.37,17269.55
0.33,18777.51
0.32,19064.26
0.32,18912.57
0.34,18350.41
0.34,21123.74
0.34,23239.10
0.37,21876.45
0.38,24905.45
0.46,1750.00
0.41,1750.00
0.34,1550.00
0.34,1250.00
0.36,1256.73
0.36,1250.00
0.37,1250.00
0.39,1000.00
0.39,1000.00
0.42,750.00
0.44,1750.00
0.48,2500.00
0.47,2500.00
0.51,3250.00
0.48,3250.00
0.50,4250.00
0.21,1875.85
0.18,1819.50
0.24,1682.99
0.24,1582.90
0.28,1504.25
0.28,2126.55
0.27,2153.47
0.30,2816.59
0.31,2789.93
0.32,2768.75
0.36,3718.46
0.38,4114.75
0.38,5261.65
0.37,5908.32
0.36,9279.80
0.26,3963.26
0.25,3950.40
0.22,4225.80
0.16,1172.30
0.17,1161.30
0.19,1155.20
0.17,1148.50
0.18,1142.70
0.19,1136.13
0.21,1131.09
0.23,1121.88
0.24,1161.23
0.26,3692.84
0.30,4876.73
0.32,6421.51
0.40,0.00
0.39,0.00
0.35,3240.00
0.38,3240.00
0.43,4040.00
0.40,4040.00
0.43,4040.00
0.43,4693.50
0.42,4040.00
0.40,4040.00
0.46,4840.00
0.44,4840.00
0.44,4840.00
0.42,4840.00
0.22,1105.31
0.22,955.26
0.20,955.00
0.21,955.00
0.23,955.00
0.23,955.00
0.25,955.00
0.25,955.00
0.24,630.00
0.24,1330.00
0.24,1330.00
0.24,2030.00
0.25,1730.00
0.25,1730.00
0.24,1730.00
0.24,1730.00
0.73,3.93
0.75,20.84
0.78,7.38
0.77,3.47
0.77,6.92
0.75,6.77
0.74,6.51
0.72,6.31
0.64,6.17
0.58,5.78
0.56,5.72
0.54,5.70
0.52,5.51
0.49,5.52
0.40,
0.43,
0.44,
0.33,
0.36,
0.31,
0.23,
0.24,
0.25,
0.28,
0.29,
0.33,
0.32,0.00
0.36,0.00
0.37,0.00
0.39,0.00
0.36,20.86
0.27,18.94
0.25,102.03
0.27,72.10
0.29,73.00
0.29,101.14
0.34,100.69
0.33,100.25
0.35,98.69
0.34,104.61
0.37,116.35
1.49,403.78
1.39,0.00
1.01,3671.10
1.02,3459.00
1.14,3467.10
1.20,3418.84
1.20,3494.81
1.28,3529.61
1.29,3434.16
1.34,3377.55
1.24,3156.46
1.22,3151.73
1.26,3291.50
1.21,3383.40
1.24,3776.70
0.20,36289.00
0.20,35428.80
0.24,33325.10
0.27,31582.50
0.26,35038.20
0.28,35078.70
0.26,39563.80
0.27,40011.50
0.26,40668.50
0.28,44458.90
0.27,44588.80
0.30,44698.00
0.30,47380.30
0.32,52082.30
0.32,52926.90
0.34,56894.40
0.57,227.40
0.34,34.50
0.31,0.00
0.32,0.00
0.35,0.00
0.45,0.00
0.35,0.00
0.34,0.00
0.33,0.00
0.31,0.00
0.32,0.00
0.30,0.00
0.32,0.00
0.30,0.00
0.32,0.00
0.31,0.00
0.61,6365.67
0.53,6816.39
0.45,6920.00
0.44,7253.63
0.46,8284.16
0.41,8281.74
0.44,8287.77
0.41,8465.62
0.41,8490.10
0.38,8213.26
0.39,8027.90
0.40,9106.45
0.38,9000.40
0.36,9368.80
0.39,10530.50
0.39,11308.32
0.20,0.00
0.16,0.00
0.13,309.68
0.14,296.77
0.15,270.96
0.11,270.90
0.12,258.06
0.11,245.16
0.09,232.30
0.09,219.36
0.12,193.55
0.11,667.74
0.13,654.84
0.13,641.94
0.16,1616.13
0.16,1896.13
0.31,8465.53
0.28,8322.10
0.22,6939.19
0.24,7948.20
0.24,8962.60
0.22,8323.51
0.21,9352.13
0.20,9386.26
0.19,9332.30
0.19,9521.78
0.19,9537.43
0.17,9529.11
0.17,9545.48
0.17,9543.40
0.17,9145.61
0.18,9067.19
0.25,0.00
0.23,0.00
0.16,0.00
0.17,0.00
0.16,0.00
0.19,0.00
0.19,0.00
0.19,0.00
0.20,0.00
0.19,0.00
0.21,0.00
0.23,0.00
0.30,0.00
0.23,17.69
0.27,31.82
0.30,84.24
0.33,1009.30
0.24,1026.80
0.33,1056.30
0.49,1106.50
0.38,1129.00
0.36,1158.50
0.37,1164.50
0.41,1157.00
0.44,1143.30
0.39,1131.30
0.43,1422.00
0.49,1540.00
0.44,1512.90
0.63,7005.36
0.60,8586.40
0.45,9077.10
0.48,9126.82
0.54,10256.06
0.43,10040.15
0.42,10385.40
0.44,11116.00
0.41,11505.08
0.40,11153.68
0.40,12108.41
0.39,11840.51
0.37,13084.32
0.40,14050.45
0.39,13787.17
0.40,14480.55
0.24,23306.85
0.19,24187.29
0.14,26242.02
0.17,26096.16
0.18,30960.77
0.18,30633.21
0.18,32021.06
0.19,30922.01
0.25,37466.29
0.28,37354.48
0.27,37447.96
0.29,37425.49
