Term,TF,IDF,TF_IDF
,792,0,Infinity
analyzing,3,0,Infinity
envisioning,6,0,Infinity
institutional,18,0,Infinity
developed,3,0,Infinity
prioritization,3,0,Infinity
invisibly,3,0,Infinity
furnish,3,0,Infinity
networked,3,0,Infinity
materials,3,0,Infinity
autonomy,3,0,Infinity
event,3,0,Infinity
movement,3,0,Infinity
adaptable,3,0,Infinity
pathways,45,0,Infinity
Cambridge,9,0,Infinity
generation,3,0,Infinity
alternate,3,0,Infinity
essential,3,0,Infinity
&,18,0,Infinity
regard,3,0,Infinity
evolution,6,0,Infinity
-,3,0,Infinity
3,3,0,Infinity
co-evolutionary,3,0,Infinity
2,9,0,Infinity
1,18,0,Infinity
http://w,3,0,Infinity
separability,3,0,Infinity
imperfectly,3,0,Infinity
5,3,0,Infinity
salient,3,0,Infinity
4,6,0,Infinity
Acknowledgments,3,0,Infinity
9,3,0,Infinity
mobilization,3,0,Infinity
components,3,0,Infinity
Hoogma,12,0,Infinity
D,12,0,Infinity
dynamic,18,0,Infinity
E,21,0,Infinity
elites,3,0,Infinity
F,24,0,Infinity
G,9,0,Infinity
A,138,0,Infinity
B,18,0,Infinity
behavior,3,0,Infinity
C,30,0,Infinity
L,21,0,Infinity
made,12,0,Infinity
