x,y
30.91687,29.94644
30.91687,29.94644
30.91687,29.94644
7.36667,5.10658
7.36667,5.10658
7.36667,5.10658
7.36667,5.10658
7.36667,5.10658
7.36667,5.10658
7.36667,5.10658
13.25159,13.62649
6.95,8.46667
6.95,8.46667
8.11691,6.31625
6.84138,4.76492
44.03645,4.1209
36.12075,8.57286
42.19694,-0.49056
42.19694,-0.49056
24.53052,14.43805
45.36,2.04045
20.8167,13.8167
3.35,7.15
3.35,7.15
7.2349,6.8362
-4.02809,5.34111
-4.02809,5.34111
-4.02809,5.34111
44.65065,1.72452
44.65065,1.72452
38.45,9.8667
38.45,9.8667
30.4519,11.67952
30.4519,11.67952
15.24744,31.45162
31.67875,30.53766
31.67875,30.53766
31.67148,30.72508
30.794822,12.148154
30.79482,12.14815
30.79482,12.14815
27.85,7.71667
31.61624,22.3457
6.64417,4.85678
9.02815,7.0613
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
7.53333,9.08333
28.43493,9.59525
28.43493,9.59525
-0.1969,5.55602
-0.1969,5.55602
-0.1969,5.55602
14.79335,32.41423
32.31757,14.00063
39.4,7
8.046,7.8731
13.5,6.5
46.54585,3.5484
38.7,9.03333
38.7,9.03333
38.7,9.03333
38.7,9.03333
38.7,9.03333
38.7,9.03333
38.7,9.03333
38.7,9.03333
38.7,9.03333
38.7,9.03333
38.7,9.03333
38.7,9.03333
38.7,9.03333
38.7,9.03333
5.2215,7.621
5.2215,7.621
5.2215,7.621
5.2215,7.621
5.2215,7.621
5.2215,7.621
30.32,8.19
48.78326,6.49698
48.78326,6.49698
48.78326,6.49698
45.116,2.15
45.116,2.15
45.116,2.15
45.116,2.15
45.116,2.15
45.116,2.15
45.116,2.15
45.116,2.15
45.116,2.15
45.116,2.15
45.116,2.15
45.116,2.15
45.116,2.15
45.116,2.15
1.19012,6.11982
42.071,0.5172
42.071,0.5172
42.071,0.5172
30.1492,11.1467
30.1492,11.1467
30.1492,11.1467
-9.59802,30.42013
39.81667,7.28333
3.10306,6.50525
3.32437,6.61426
6.6966,7.106
-1.082,6.8
-1.082,6.8
-2.205,4.867
6.65353,5.07395
2.92185,36.80277
1.9679,36.26405
-1.14517,35.30343
20.22626,30.75545
20.22626,30.75545
20.22626,30.75545
20.22626,30.75545
20.22626,30.75545
20.22626,30.75545
20.22626,30.75545
20.22626,30.75545
20.22626,30.75545
20.22626,30.75545
20.22626,30.75545
38.35,7.28333
38.35,7.28333
38.35,7.28333
38.35,7.28333
12.28404,11.1695
8.35536,5.31278
6.47089,5.0858
33.00233,7.779
33.00233,7.779
28.02517,9.152
7.35686,4.88688
8.0611,7.8669
31.30858,12.1704
31.30858,12.1704
31.30858,12.1704
31.21091,30.05061
29.80858,31.01252
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
33.79844,31.13159
31.2575,29.61972
30.55,11.333333
21.75506,32.76272
21.75506,32.76272
15.72738,31.4004
30.8418,29.30995
30.8418,29.30995
30.8418,29.30995
31.1309,29.99313
31.1309,29.99313
31.1309,29.99313
31.1309,29.99313
31.1309,29.99313
33.78428,30.46687
20.14933,32.06478
20.14933,32.06478
20.14933,32.06478
20.14933,32.06478
20.14933,32.06478
20.14933,32.06478
20.14933,32.06478
31.21093,30.00808
31.21093,30.00808
31.21093,30.00808
31.21093,30.00808
31.21093,30.00808
31.21093,30.00808
14.26191,32.64861
14.26191,32.64861
31.31501,30.15293
31.21833,29.29444
30.03215,10.893283
30.03215,10.89328
20.12919,32.09709
20.12919,32.09709
20.12919,32.09709
20.12919,32.09709
20.12919,32.09709
31.25,29.96667
34.22191,31.17296
34.22191,31.17296
24.90259,10.89507
30.177367,11.64535
31.3115,30.1235
31.3115,30.1235
31.3115,30.1235
9.60815,34.60433
9.60815,34.60433
9.60815,34.60433
9.60815,34.60433
9.60815,34.60433
9.60815,34.60433
9.60815,34.60433
9.60815,34.60433
31.23215,30.03389
20.06667,32.03333
20.06667,32.03333
30.689639,10.360389
31.2167,30.10089
12.2005,10.8583
12.2005,10.8583
4.13333,8.01667
3.35658,6.60962
3.35658,6.60962
28.12225,-26.26786
31.25953,30.04001
31.25953,30.04001
31.25953,30.04001
31.25953,30.04001
33.28667,-18.48694
28.1,-26.11667
29.9192,31.1981
29.9192,31.1981
29.9192,31.1981
29.9192,31.1981
29.9192,31.1981
29.9192,31.1981
22.67273,32.69036
22.67273,32.69036
36.53333,7.83333
36.53333,7.83333
3.04197,36.7525
3.04197,36.7525
3.04197,36.7525
3.04197,36.7525
3.04197,36.7525
39.93333,7.25
37.05,9.88333
26.8344,-32.78749
26.8344,-32.78749
27.99068,-2.66732
43.80437,2.89342
34.24931,30.23356
11.0481,11.6138
43.5175,9.38694
20.33501,32.07239
7.6539,6.3267
6.10972,4.96917
45.99055,-17.98158
48.4167,-17.8333
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
37.85,8.9833
47.53333,-18.9
14.13716,11.2426
3.59042,36.63471
36.96667,9.98333
36.96667,9.98333
36.96667,9.98333
