Event ID,Event Date,Event Type,Group,Country,State,City,Latitude,Longitude,Total Deaths,Total Injuries
1056358,24-Apr,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1056866,19-Apr,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1057333,20-Apr,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,400,0
1069695,23-Sep,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,6,0
1069696,23-Sep,Arson,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1070193,25-Sep,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,2,0
1070190,25-Sep,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1070186,22-Sep,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,15,0
1071064,24-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,4
1071983,5-Nov,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,9,16
1071968,5-Nov,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,8,0
1072001,1-Nov,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Unknown,Unknown,5.161575,46.200829,12,
1072011,5-Nov,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Unknown,Unknown,5.161575,46.200829,30,0
1072006,1-Nov,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,4,0
1071961,5-Nov,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,5,0
1071993,2-Nov,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,21,0
1072017,5-Nov,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Unknown,Unknown,5.161575,46.200829,0,0
1073269,12-Oct,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Gabolka Bari,Baidoa,10.17017,50.171175,0,0
1073632,5-Oct,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,30,0
1073799,3-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1079582,5-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,3,0
1083465,20-Jan,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1084738,28-Jan,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Hiiraan,Beled Weyne,5.161575,46.200829,1,1
1090124,30-Dec,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1091991,17-Feb,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1094513,24-Feb,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Dinsor,2.42306,42.970322,9,2
1097205,2-Mar,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,17,80
1099890,13-Mar,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Bur Hakkaba,5.161575,46.200829,3,0
1100109,15-Mar,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,4,0
1102664,26-Mar,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,7,0
1104924,3-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Galgudud,Adado,5.161575,46.200829,19,20
1106072,9-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1106780,11-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,13,24
1106052,8-Apr,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,1,0
1106754,10-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1107401,13-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Hiiraan,Beled Weyne,5.161575,46.200829,4,0
1107973,31-Mar,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Hiiraan,Unknown,5.161575,46.200829,9,0
1108335,28-Dec,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,1,0
1110171,10-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Unknown,Unknown,5.161575,46.200829,3,0
1110659,26-Apr,Robbery,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1110665,26-Apr,Arson,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1110657,26-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,4,0
1111259,28-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Unknown,5.161575,46.200829,9,0
1111489,9-Mar,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Unknown,Unknown,5.161575,46.200829,5,0
1113001,8-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,55,0
1113641,7-May,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Baidoa,3.12022,43.64423,8,0
1113911,11-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,4,2
1115360,16-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Dinsor,2.42306,42.970322,0,0
1115370,16-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Shabeellaha Hoose,Balad,1.838905,44.143755,0,0
1116852,26-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,18,27
1117453,31-May,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,13,0
1118255,12-Oct,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Unknown,Unknown,5.161575,46.200829,0,0
1118264,5-Apr,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Hiiraan,Jalalaqsi District,5.161575,46.200829,0,0
1118253,12-Oct,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Unknown,Unknown,5.161575,46.200829,0,0
1118285,6-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,1,0
1118459,10-Oct,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Jubbada Hoose,Kismaayo,-0.34641,42.539059,0,0
1118895,10-Oct,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Gobolka Bay,Baidoa,3.120215,43.644236,1,0
1120486,12-Jun,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,13,0
1123108,23-May,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,1,5
1125115,28-Jun,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Galgudud,Guraceel,5.161575,46.200829,4,10
1125066,28-Jun,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bakol,Hudur,5.161575,46.200829,13,
1126105,28-Jun,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,9,
1126050,27-Jun,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,9,
1126118,6-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,1,1
1129324,16-Jul,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Baidoa,3.12022,43.64423,0,0
1133749,1-Aug,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1133748,1-Aug,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,5,0
1135491,27-Sep,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,2,0
1135478,28-Sep,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,2,0
1136609,12-Aug,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1137492,15-Aug,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,11,0
1137762,20-Aug,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1139089,31-Aug,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Baidoa,3.12022,43.64423,11,0
1139901,21-Sep,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,1,0
1139899,21-Sep,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,0,0
1140473,7-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,20,35
1142176,16-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,,
1142107,15-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Baydabo,5.161575,46.200829,0,12
1142161,15-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Shabeellaha Hoose,Unknown,1.838905,44.143755,,
1142224,16-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,,
1142242,16-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,5,5
1142350,18-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Ceel Doon,5.161575,46.200829,,
1142260,13-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,,
1142399,20-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,,
1142361,18-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bakol,Hudur,5.161575,46.200829,1,
1142549,24-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Baydabo,5.161575,46.200829,,
1142519,24-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,10,
1142701,27-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,,
1142624,25-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Shabeellaha Hoose,Unknown,1.838905,44.143755,60,
1142516,24-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,20,
1142582,25-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Bay,Unknown,5.161575,46.200829,1,4
1142598,26-Oct,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,5,
1142739,9-Dec,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Gedo,Buulo Xaawo,3.96611,41.926491,,
1142722,27-Oct,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,,
1142729,28-Oct,Bombing,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,5,
1143126,1-Nov,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,2,
1143576,7-Nov,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,,
1143511,27-Dec,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Galgudud,Guri-el,5.161575,46.200829,10,-93
1143592,8-Nov,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,,
1143579,7-Nov,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,,
1143665,9-Nov,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,5,4
1143659,8-Nov,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,,
1143661,9-Nov,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,,
1143663,9-Nov,Armed Assault,Al Shabaab (The Young Islamic Movement),Somalia,Banaadir,Mogadishu,2.04117,45.344139,5,
