Term,TF,IDF,TF_IDF
36.2230491993998),Yes,1,1,0.0
656,POINT,1,1,0.0
37.177187204361,1,1,0.0
37.1514165401459,1,1,0.0
678,POINT,1,1,0.0
36.20103161291),Yes,1,1,0.0
37.1325713396072,1,1,0.0
36.1849267634331),"No,1,1,0.0
37.1717691421509,1,1,0.0
36.2158174496133),Yes,1,1,0.0
620,POINT,1,1,0.0
36.2283503267552),"No,1,1,0.0
36.2243301577877),Yes,1,1,0.0
568,POINT,1,1,0.0
37.1711254119873,1,1,0.0
37.1325606107712,1,1,0.0
36.2239406794164),Yes,1,1,0.0
631,POINT,1,1,0.0
36.190269438159),Yes,1,1,0.0
37.1668875217438,1,1,0.0
36.2041309833791),Yes,1,1,0.0
594,POINT,1,1,0.0
636,POINT,1,1,0.0
37.1239721775055,1,1,0.0
36.233573208556),Yes,1,1,0.0
37.1598225831985,1,1,0.0
650,POINT,1,1,0.0
36.1956983306737),Yes,1,1,0.0
696,POINT,1,1,0.0
36.2156876095765),Yes,1,1,0.0
37.1798157691956,1,1,0.0
725,POINT,1,1,0.0
645,POINT,1,1,0.0
36.2015683841796),Yes,1,1,0.0
734,POINT,1,1,0.0
36.2094074225645),Yes,1,1,0.0
638,POINT,1,1,0.0
727,POINT,1,1,0.0
37.1603214740753,1,1,0.0
592,POINT,1,1,0.0
2,2,1,0.0
37.109831571579,1,1,0.0
614,POINT,1,1,0.0
36.2327727066418),Yes,1,1,0.0
36.2094853328652),Yes,1,1,0.0
4,1,1,0.0
36.1761889298367),Yes,1,1,0.0
37.1877121925354,1,1,0.0
585,POINT,1,1,0.0
37.1598386764526,1,1,0.0
