LocationA,LocationB,Distance,Tags,StartLat,StartLon,EndLat,EndLon
3,4,0.0,,13.666667,49.933333,13.666667,49.933333
4,3,0.0,,13.666667,49.933333,13.666667,49.933333
32,33,0.0,,13.5333,42.6833,13.5333,42.6833
33,32,0.0,,13.5333,42.6833,13.5333,42.6833
40,42,0.0,,7.8167,50.6667,7.8167,50.6667
42,40,0.0,,7.8167,50.6667,7.8167,50.6667
65,66,0.0,,14.1,42.75,14.1,42.75
66,65,0.0,,14.1,42.75,14.1,42.75
92,94,0.0,,16.93,56.82,16.93,56.82
94,92,0.0,,16.93,56.82,16.93,56.82
102,103,0.0,,22.6,59.85,22.6,59.85
103,102,0.0,,22.6,59.85,22.6,59.85
196,197,0.0,,11.3,49.15,11.3,49.15
196,198,0.0,,11.3,49.15,11.3,49.15
197,196,0.0,,11.3,49.15,11.3,49.15
197,198,0.0,,11.3,49.15,11.3,49.15
198,196,0.0,,11.3,49.15,11.3,49.15
198,197,0.0,,11.3,49.15,11.3,49.15
201,202,0.0,,7.14,52.17,7.14,52.17
202,201,0.0,,7.14,52.17,7.14,52.17
203,204,0.0,,11.9,51.3,11.9,51.3
204,203,0.0,,11.9,51.3,11.9,51.3
