x,y
1/1/06 0:00,10851(A)VC TAKE VEH W/O OWNER
1/1/06 0:00,459 PC  BURGLARY RESIDENCE
1/1/06 0:00,10851(A)VC TAKE VEH W/O OWNER
1/1/06 0:00,476 PC PASS FICTICIOUS CHECK
1/1/06 0:00,459 PC  BURGLARY-UNSPECIFIED
1/1/06 0:00,530.5 PC USE PERSONAL ID INFO
1/1/06 0:00,459 PC  BURGLARY VEHICLE
1/1/06 0:00,484 PC   PETTY THEFT/INSIDE
1/1/06 0:00,459 PC  BURGLARY BUSINESS
1/1/06 0:00,1708 US   THEFT OF MAIL
1/1/06 0:00,ASSAULT WITH WEAPON - I RPT
1/1/06 0:00,530.5 PC USE PERSONAL ID INFO
1/1/06 0:00,SUSP PERS-NO CRIME - I RPT
1/1/06 0:00,530.5 PC USE PERSONAL ID INFO
1/1/06 0:00,484G(B) PC ACCESS CARD FRAUD
1/1/06 0:00,487(A) PC GRAND THEFT
1/1/06 0:00,TELEPEST -I RPT
1/1/06 0:00,487(A) GRAND THEFT-INSIDE
1/1/06 0:00,530.5 PC USE PERSONAL ID INFO
1/1/06 0:00,484J PC PUBLISH CARD INFO
1/1/06 0:01,459 PC  BURGLARY VEHICLE
1/1/06 0:01,484G(B) PC ACCESS CARD FRAUD
1/1/06 0:01,484 PC PETTY THEFT
1/1/06 0:01,459 PC  BURGLARY VEHICLE
1/1/06 0:01,TRAFFIC - I RPT
1/1/06 0:01,594(B)(1)PC  VANDALISM +$400
1/1/06 0:01,484G(B) PC ACCESS CARD FRAUD
1/1/06 0:01,484 PC  PETTY THEFT/ OUTSIDE
1/1/06 0:01,HARASSMENT - I RPT
1/1/06 0:01,484 PC PETTY THEFT
1/1/06 0:01,LOST PROPERTY - I RPT
1/1/06 0:01,459 PC  BURGLARY RESIDENCE
1/1/06 0:01,484G(A)PC USE FORGED CARD
1/1/06 0:01,503 PC   EMBEZZLEMENT
1/1/06 0:01,TELEPEST -I RPT
1/1/06 0:01,487(A) GRAND THEFT-INSIDE
1/1/06 0:01,653M(A) PC OBSCENE/THREAT CALL
1/1/06 0:01,484 PETTY THEFT/LICENSE PLATE
1/1/06 0:01,FOUND PROPERTY - I RPT
1/1/06 0:01,530.5 PC USE PERSONAL ID INFO
1/1/06 0:01,530.5 PC USE PERSONAL ID INFO
1/1/06 0:01,484J PC PUBLISH CARD INFO
1/1/06 0:01,THREATS - I RPT
1/1/06 0:01,530 PC FALSE PERS. REC PROP
1/1/06 0:10,246 PC SHOOT OCCUP DWELL/VEH
1/1/06 0:15,10851(A)VC TAKE VEH W/O OWNER
1/1/06 0:18,SHOOT INTO OCCUP DWELL - I RPT
1/1/06 0:19,FOUND PROPERTY - I RPT
1/1/06 0:24,243(E)1 BATTERY NONCOHAB SPOUS
1/1/06 0:25,MISCELLANEOUS I RPT (ZMISC)
1/1/06 0:27,TOWED/STORED VEH-14602.6
1/1/06 0:30,10851(A)VC TAKE VEH W/O OWNER
1/1/06 0:30,10851(A)VC TAKE VEH W/O OWNER
1/1/06 0:30,10851(A)VC TAKE VEH W/O OWNER
1/1/06 0:31,211 PC ROBBERY- BUSINESS
1/1/06 0:36,CASUALTY REPORT
1/1/06 0:36,459 PC  BURGLARY BUSINESS
1/1/06 0:39,246 PC SHOOT OCCUP DWELL/VEH
1/1/06 0:40,23152(A) VC DUI-ALCOHOL/DRUGS
1/1/06 0:46,TRAFFIC-ACCIDENT INJURY
1/1/06 0:55,DUI I RPT
1/1/06 1:00,484 PETTY THEFT/LICENSE PLATE
1/1/06 1:00,23152(A) VC DUI-ALCOHOL/DRUGS
