Term,TF,IDF,TF_IDF
Turkey,69,4,0.002897927977514786
Saudi,66,4,0.0027719311089271863
Islamic,124,11,0.0022675838248592964
Russia,66,6,0.002144658661898476
cancer,28,1,0.002085825963380584
Qaeda,71,7,0.0020505883777548377
Christmas,35,2,0.002038622960540528
al,88,10,0.0018058517858314937
State,93,11,0.001700687868644472
Putin,34,3,0.0016572362387397312
Korea,29,3,0.001413525027160359
attack,61,9,0.001402432713743268
nuclear,32,4,0.0013439665982677266
Poland,23,2,0.0013396665169266328
Russian,36,5,0.001323664456539741
Arabia,31,4,0.0013019676420718603
heterarchy,17,1,0.0012663943349096405
North,49,8,0.001261825562438174
jihadist,48,8,0.001236074020347599
oil,32,5,0.0011765906280353253
grassroots,28,4,0.0011759707734842607
soft,27,4,0.0011339718172883944
Italy,27,4,0.0011339718172883944
Warsaw,15,1,0.0011174067660967414
Italy's,15,1,0.0011174067660967414
Libya,34,6,0.0011048241591598209
Iran,30,5,0.0011030537137831176
European,65,12,0.0010560819168439464
banks,25,4,0.0010499739048966616
C,14,1,0.001042912981690292
attacks,44,9,0.0010115908099131768
Italian,17,2,9.901882951196851E-4
Union,38,8,9.785585994418493E-4
Turkish,20,3,9.74844846317489E-4
B,13,1,9.684191972838427E-4
Venezuela's,13,1,9.684191972838427E-4
Korean,13,1,9.684191972838427E-4
China,23,4,9.659759925049286E-4
money,26,5,9.559798852787018E-4
jihadists,36,8,9.270555152606992E-4
Salman,12,1,8.939254128773932E-4
armed,24,5,8.82442971026494E-4
Turkey's,18,3,8.7736036168574E-4
medical,18,3,8.7736036168574E-4
group,61,13,8.766436839827234E-4
Syria,42,10,8.618838068741219E-4
shooter,11,1,8.194316284709437E-4
hierarchy,14,2,8.154491842162112E-4
State's,25,6,8.123707052645741E-4
Europe,39,10,8.003206778116848E-4
