x,y
95709.20,273112.67
101985.33,329690.17
103444.41,384312.08
98056.27,396555.58
102278.07,385189.64
109476.94,416021.85
111673.81,463654.04
120968.49,512130.86
125723.77,546891.89
130055.99,562595.54
144009.78,562337.41
143026.30,567742.16
147439.66,522353.18
140152.21,475163.88
165635.53,517504.01
2097.08,7965.60
2363.06,8319.00
2383.01,8246.70
2663.17,7259.00
2617.27,7717.10
2693.39,7752.94
2992.48,7888.09
2796.48,7743.92
3006.08,7872.58
3076.43,8000.83
3357.32,8218.82
3631.46,8325.28
3795.66,8431.75
3670.66,8471.12
4009.66,8510.50
4044.66,8697.25
2880.60,4245.20
3193.41,4312.95
3347.93,4312.95
3448.63,4224.85
3826.50,4226.98
4072.01,4229.10
4138.08,4277.90
4268.26,4277.90
4437.62,4536.85
139.45,1213.10
160.92,1277.14
166.40,1363.92
152.91,1377.82
153.30,1335.12
156.00,1361.64
179.80,1388.15
188.60,1418.09
187.30,1448.04
194.70,1478.61
195.00,1572.60
188.50,1615.35
195.30,1624.30
192.20,1699.10
190.50,1703.00
204.70,1718.00
3042.94,11521.04
3239.44,13214.61
3926.96,16789.90
4247.06,17464.38
5391.01,18625.74
4586.64,19787.10
5732.03,
4595.97,24122.51
4406.69,27121.35
4293.55,27232.16
4106.50,28553.05
4064.30,30882.80
4217.61,33236.69
4178.41,33236.69
4237.42,34492.78
634562.25,1134069.52
877587.72,1545102.97
732673.37,1650713.00
913230.48,1439049.00
1145228.74,1598397.00
1196620.56,1997948.00
1384673.51,2089829.00
1564990.60,2491271.09
1351368.91,2208664.73
1355221.87,2117476.87
1381617.95,2159204.75
1270229.48,2068609.68
1274747.80,2201643.05
1412809.12,2428729.17
1242772.11,2078629.65
1155749.99,1830692.44
16009.89,145632.87
16990.03,172685.84
19295.87,140730.85
23175.95,135773.00
24148.28,178148.07
25278.30,191140.29
31603.85,237008.96
39454.96,255200.48
43682.52,232985.65
47750.00,256070.65
52727.20,270791.46
51412.65,264421.95
50939.09,261625.52
50618.91,258076.24
49249.52,242327.58
49906.57,240775.11
42196.99,185759.58
49284.61,158379.95
48455.25,214405.04
54841.02,248764.56
58383.67,248764.56
68531.50,285766.31
74992.58,285766.31
77579.29,336340.81
84309.30,371000.00
87514.19,376331.70
80230.92,338316.78
88534.56,367015.77
96269.25,388870.15
78225.25,316056.28
75575.22,299536.58
7605.90,21762.62
8874.39,27391.11
7668.05,28786.79
8405.70,29634.13
8949.79,29823.07
10292.21,33293.21
11317.46,36763.36
13220.11,38678.22
13793.04,40593.07
15560.99,41283.15
17047.12,44546.84
18948.85,46950.49
19455.27,49354.14
19105.59,45745.57
19279.82,49195.91
20968.27,52679.63
1111.33,35955.34
1002.63,41302.30
3645.00,45717.60
3909.38,45167.29
4784.09,46711.60
4686.54,51657.60
4161.32,52985.22
4825.12,55666.00
4824.56,56683.99
6256.28,58954.60
7655.14,60230.80
8179.85,60230.80
7722.12,62325.80
7657.24,64053.40
7876.09,65013.80
3277.12,46802.04
3239.74,51007.78
3645.10,61762.64
2842.20,62519.69
3467.10,67634.15
4665.10,69555.37
4371.30,77768.96
4506.50,79779.82
6115.64,86898.94
7780.51,87623.40
8418.71,92578.26
9926.55,94472.70
11295.04,101094.16
12558.33,101094.16
12303.68,100047.71
,18550.70
,20104.90
1406.10,21431.00
1611.50,20661.00
1588.50,20661.00
1499.70,21427.90
1634.10,21418.30
1766.80,23054.10
2014.00,23095.10
2104.70,24394.00
2282.50,23813.60
2021.20,24259.10
2028.80,24259.10
2088.50,25337.90
2657.72,30231.20
3169.55,34024.60
3368.18,38983.20
3407.62,37742.66
3679.14,36831.67
4035.39,41325.14
4592.74,41349.90
5283.27,42714.31
5766.59,46992.20
6052.92,50255.88
5965.18,50252.50
6312.84,54692.52
6300.37,53696.80
7273.86,56758.50
7559.60,59775.35
8073.04,64119.52
568.40,1923.00
612.84,1976.57
646.88,2030.14
683.15,2144.69
693.07,2259.24
724.61,2417.91
712.35,2576.57
656.10,2712.67
457.01,2848.76
470.46,2957.07
479.09,3065.37
422.74,3075.37
379.83,3085.37
367.21,3210.69
669.75,5245.43
752.22,5533.96
862.19,6293.45
813.25,6088.25
922.54,6343.73
1016.61,6697.61
1171.79,6620.56
1031.14,6547.95
1041.44,7265.37
1019.68,7091.82
1060.02,7732.38
1094.62,7513.58
1072.48,8313.50
1121.40,8046.10
1168.70,8317.20
1006.30,7537.02
913.15,10917.60
935.06,10917.60
1271.08,13888.00
1455.94,14408.50
1810.20,14175.60
2143.15,15400.20
2574.02,15400.20
2843.45,17203.51
3112.87,17669.40
3114.69,18379.20
3293.10,18379.20
,9257.55
,9389.00
7566.90,12888.42
7597.90,12757.00
8397.24,12178.12
9020.51,12936.06
9331.41,13694.00
9769.09,13315.03
10200.70,13504.52
10602.02,13288.40
10703.99,14122.24
9991.73,13811.50
9909.72,13500.75
9197.00,13417.50
9130.01,13334.25
153734.20,990481.40
174510.00,1098627.90
177373.00,903957.30
198562.70,879109.50
206971.60,970531.50
231814.50,1019783.90
233734.20,1115926.20
259700.50,1184151.10
228564.10,1113725.60
247450.40,1114941.00
274811.00,1244652.80
290872.60,1206101.10
310724.20,1282541.80
336683.00,1301597.20
308915.60,1217011.00
302911.50,1151065.70
1202.61,6786.00
1109.60,7447.00
1073.00,8254.00
997.30,8069.15
1095.70,8155.00
1087.70,8329.10
1094.30,8586.70
1112.30,9347.11
1081.42,9636.20
1087.50,10508.20
1033.50,10645.50
968.00,11173.90
905.90,10850.70
831.40,11805.60
878.70,11805.60
846.70,12159.00
2665.43,17096.27
2198.83,19793.27
1962.19,22989.89
1890.37,24701.85
822.92,24062.06
834.79,26789.66
1190.90,26700.00
1903.52,30544.15
1903.90,31315.80
2926.21,36253.00
3482.70,36252.50
3357.88,38619.75
3452.50,40987.00
4403.30,48986.30
3878.80,46212.00
4222.55,49829.00
299.63,10662.00
351.79,13837.50
473.15,18504.80
402.37,15950.50
440.52,15950.50
466.80,20028.40
480.72,20028.40
423.96,25594.30
383.62,25594.30
424.85,25159.10
1227.15,25547.00
1349.83,32936.00
1393.42,28845.61
1589.67,30062.49
1516.74,30758.60
1391.86,30037.92
7590.81,92439.00
10398.81,107504.00
10108.01,127796.00
10743.12,122948.00
11503.47,126810.63
12320.94,141798.00
14217.66,153919.00
14549.41,164266.15
15165.77,176761.32
15787.93,187884.08
17062.09,192932.54
16669.11,195636.62
16918.44,195636.62
17537.35,209227.47
18585.01,202984.22
18791.92,192405.06
235.20,2196.37
209.66,2592.20
230.36,3488.51
236.18,3488.51
329.48,3826.77
416.88,3826.77
466.78,4313.60
443.66,4313.60
405.92,4256.49
454.57,4937.16
491.42,4938.07
605.01,5219.77
770.90,5054.37
435.60,5132.58
558.90,5132.58
647.20,5132.58
5417.94,20924.67
3625.56,21151.14
5547.41,21377.61
8646.68,20802.22
6000.20,20226.84
6064.72,21501.39
6350.49,22272.95
7951.93,23929.51
8560.93,23822.89
8070.00,25295.44
8590.30,25138.60
7988.52,20773.87
10253.71,28269.26
2789.16,19193.65
2884.60,23013.33
2243.46,31199.00
2244.30,31337.00
2606.02,30537.98
2469.00,36714.00
2875.40,38825.79
4536.00,42672.16
4814.03,46468.01
5261.25,48297.01
6343.97,52353.04
6490.76,52463.77
6276.20,57476.17
6643.54,57140.19
6446.97,57510.93
5837.48,56375.45
16842.20,183221.51
16542.48,230042.57
14198.89,315159.83
20441.64,294305.00
24735.59,328959.33
29243.48,360024.81
34734.36,391090.29
32214.51,353098.63
35839.43,315106.96
50238.88,334102.80
59362.87,381472.84
60104.75,363561.92
