Term,TF,IDF,TF_IDF
Mayntz,12,0,Infinity
,8132,0,Infinity
analyzing,6,0,Infinity
provisionally,2,0,Infinity
institutional,74,0,Infinity
encompasses,2,0,Infinity
plagues,2,0,Infinity
b[WZi?je?X[jj[h?[dZi,2,0,Infinity
hedo,4,0,Infinity
advances,2,0,Infinity
blue-print,2,0,Infinity
prioritization,2,0,Infinity
invisibly,2,0,Infinity
j^[?[cfem[hc[dj?e\?Y_j_p[di,2,0,Infinity
unaccountable,2,0,Infinity
compete,2,0,Infinity
computer-driven,2,0,Infinity
materials,4,0,Infinity
schooled,2,0,Infinity
event,6,0,Infinity
adaptable,2,0,Infinity
attributing,2,0,Infinity
generation,4,0,Infinity
Cambridge,30,0,Infinity
dkcX[h,2,0,Infinity
alternate,2,0,Infinity
solidarities,4,0,Infinity
Ministry,6,0,Infinity
Francis,2,0,Infinity
asset,4,0,Infinity
&,36,0,Infinity
+,2,0,Infinity
regard,2,0,Infinity
,,4,0,Infinity
evolution,14,0,Infinity
-,14,0,Infinity
3,50,0,Infinity
2,52,0,Infinity
1,64,0,Infinity
separability,2,0,Infinity
authorities,2,0,Infinity
7,16,0,Infinity
imperfectly,2,0,Infinity
6,20,0,Infinity
5,32,0,Infinity
4,38,0,Infinity
salient,2,0,Infinity
Acknowledgments,2,0,Infinity
quality,10,0,Infinity
constructive,2,0,Infinity
