id,year,country,totaldebt,gdp,exchangeratencperusd,debt_gdp,domestogdp,exttogdp,officialdebt,totalnonofficialdebt,foreignbanks,dombanks,totalbank,ext_marketinstrument,dom_market,total_mkt,ext_oth,int_oth,tot_oth,offdom,bankdom,mardom,othdom,credtype_int_sumshares,offext,bankext,marext,othext,credtype_ext_sumshares,credtype_total,officialexternaldebt,nonofficialexternaldebt,external,totaldomestic,legandcred_total,legandcred_ext_tot,legandcred_int_tot,for_ext,for_int,dom_ext,dom_int,currandleg_total,totaldebt_short_term_ext,totaldebt_short_term_int,totaldebt_short_term,totaldebt_med_term_ext,totaldebt_med_term_int,totaldebt_med_term,totaldebt_long_term_ext,totaldebt_long_term_int,totaldebt_long_term,avgmat_ext,avgmat_int,matandleg_total,short_extcurr,short_intcurr,matandcurr_short_tot,med_extcurr,med_intcurr,matandcurr_med_tot,long_extcurr,long_intcurr,matandcurr_long_tot,matandcurr_tot,for_n-i_fr,for_n-i_flr,for_i_fr,for_i_flr,tot_debt_for,dom_n-i_fr,dom_n-i_flr,dom_i_fr,dom_i_flr,tot_debt_dom,debt_index,debt_nonindex,currandrate_tot,heldby_cb,heldby_others,heldby_tot,crossholding,net_debt_1,reserves,net_debt_2,PPFassets,net_debt_3,pay_ppcal_ext,pay_ppal_int,pay_ppal_tot,pay_int_ext,pay_int_int,pay_int_tot,pay_tot_kind,pay_ppal_CB,pay_int_CB,pay_CB_tot,pay_ppal_oth,pay_int_oth,pay_oth_tot,pay_tot_holders,bycurr_debt_for,bycurr_debt_dom,bycurr_debt_index,due_1y_ppal_ext,due_1y_ppal_int,due_1y_ppal_tot,due_1y_int_ext,due_1y_int_int,due_1y_int_tot,due_1y_tot_kind,due_2y_ppal_ext,due_2y_ppal_int,due_2y_ppal_tot,due_2y_int_ext,due_2y_int_int,due_2y_int_tot,due_2y_tot_kind,due_3y_ppal_ext,due_3y_ppal_int,due_3y_ppal_tot,due_3y_int_ext,due_3y_int_int,due_3y_int_tot_kind,due_3y_tot,due_4y_ppal_ext,due_4y_ppal_int,due_4y_ppal_tot,due_4y_int_ext,due_4y_int_int,due_4y_int_tot,due_4y_tot_kind,due_5y_ppal_ext,due_5y_ppal_int,due_5y_ppal_tot,due_5y_int_ext,due_5y_int_int,due_5y_int_tot,due_5y_tot_kind,due_6y_10y_ppal_ext,due_6y_10y_ppal_int,due_6y_10y_ppal_tot,due_6y_10y_int_ext,due_6y_10y_int_int,due_6y_10y_int_tot,due_6y_10y_tot_kind,due_11y_ppal_ext,due_11y_ppal_int,due_11y_ppal_tot,due_11y_int_ext,due_11y_int_int,due_11y_int_tot,due_11y_tot_kind,due_1y_ppal_CB,due_1y_int_CB,due_1y_tot_CB,due_1y_ppal_oth,due_1y_int_oth,due_1y_tot_oth,due_2y_ppal_CB,due_2y_int_CB,due_2y_tot_CB,due_2y_ppal_oth,due_2y_int_oth,due_2y_tot_oth,due_3y_ppal_CB,due_3y_int_CB,due_3y_tot_CB,due_3y_ppal_oth,due_3y_int_oth,due_3y_tot_oth,due_4y_ppal_CB,due_4y_int_CB,due_4y_tot_CB,due_4y_ppal_oth,due_4y_int_oth,due_4y_tot_oth,due_5y_ppal_CB,due_5y_int_CB,due_5y_tot_CB,due_5y_ppal_oth,due_5y_int_oth,due_5y_tot_oth,due_6y_10y_ppal_CB,due_6y_10y_int_CB,due_6y_10y_tot_CB,due_6y_10y_ppal_oth,due_6y_10y_int_oth,due_6y_10y_tot_oth,due_11y_ppal_CB,due_11y_int_CB,due_11y_tot_CB,due_11y_ppal_oth,due_int_oth,due_11y_tot_oth
2006Argentina,2006,Argentina,162801.00,273112.67,3.04,0.60,0.35,0.25,21181.41,141619.59,743.06,23886.59,24629.65,19091.33,71822.61,90913.94,26076.00,0.00,26076.00,0.00,0.25,0.75,0.00,1.00,0.32,0.01,0.28,0.39,1.00,162801.00,21181.41,45910.39,67091.80,95709.20,162801.00,0.41,0.59,67091.80,30160.11,0.00,65549.38,162801.28,2581.06,14348.89,16929.95,6742.70,27429.47,34172.17,57767.98,53930.93,111698.91,8.90,6.50,162801.02,5129.62,11800.33,16929.95,18366.34,15805.83,34172.17,73755.88,37943.02,111698.91,162801.02,55825.38,41426.43,0.00,0.00,97251.82,3051.28,6096.11,56401.79,0.00,65549.18,0.35,0.65,162801.00,17748.50,145052.50,162801.00,17748.50,145052.50,32037.00,113015.50,26340.25,86675.25,11953.45,16254.04,28207.49,1320.09,2229.15,3549.24,31756.73,,,5793.11,,,25963.62,31756.73,0.60,0.06,0.35,2581.06,14348.89,16929.95,1242.34,2661.97,3904.31,20834.26,2205.03,5514.47,7719.51,1078.47,2459.62,3538.09,11257.60,1542.93,7637.98,9180.91,1145.36,2339.45,3484.82,12665.72,1448.90,6126.54,7575.44,1130.99,2084.79,3215.78,10791.22,1272.33,8150.48,9422.81,1058.17,1791.35,2849.52,12272.34,4262.47,24778.59,29041.06,4977.58,7534.46,12512.04,41553.10,21067.59,28505.14,49572.72,15254.08,17728.43,32982.51,82555.24,,,6828.77,,,14005.49,,,876.21,,,10381.39,,,867.11,,,11798.61,,,862.14,,,9929.09,,,557.29,,,11715.05,,,11581.70,,,29971.39,,,267.72,,,82287.52
2007Argentina,2007,Argentina,173585.64,329690.17,3.15,0.53,0.31,0.22,21397.25,152188.39,775.01,25303.43,26078.44,20571.05,76681.90,97252.94,28857.00,0.00,28857.00,0.00,0.25,0.75,0.00,1.00,0.30,0.01,0.29,0.40,1.00,173585.64,21397.25,50203.06,71600.31,101985.33,173585.64,0.41,0.59,71600.31,33610.82,0.00,68374.50,173585.64,2383.11,15567.71,17950.82,7012.32,29064.26,36076.58,62205.24,57353.08,119558.32,8.97,6.49,173585.72,5012.26,12938.56,17950.82,18297.79,17778.79,36076.58,81901.13,37657.19,119558.32,173585.72,67131.50,38079.63,0.00,0.00,105211.14,11337.88,87.86,56948.77,0.00,68374.50,0.33,0.67,173585.64,18264.44,155321.20,173585.64,18264.44,155321.20,46176.00,109145.20,29169.07,79976.13,2714.72,17842.36,20557.08,1383.35,2829.37,4212.72,24769.80,,,6803.55,,,17966.25,24769.80,0.61,0.07,0.33,2383.11,15567.71,17950.82,1285.80,2918.60,4204.40,22155.23,1794.03,8471.46,10265.49,1355.00,2784.09,4139.09,14404.57,1779.62,6421.28,8200.90,1329.19,2497.29,3826.47,12027.38,1623.41,8458.44,10081.85,1238.15,2225.89,3464.04,13545.90,1538.15,5713.09,7251.24,1153.44,1919.19,3072.63,10323.87,4543.15,28798.91,33342.07,5621.07,9168.41,14789.49,48131.55,22952.94,27931.87,50884.81,15652.85,19779.73,35432.58,86317.39,,,5374.96,,,16780.27,,,846.71,,,13557.87,,,841.22,,,11186.16,,,559.43,,,12986.47,,,420.70,,,9903.18,,,11004.46,,,37127.09,,,257.53,,,86059.86
2008Argentina,2008,Argentina,174959.09,384312.08,3.46,0.46,0.27,0.19,21292.88,153666.21,753.01,28024.61,28777.62,20484.79,75419.80,95904.59,28984.00,0.00,28984.00,0.00,0.27,0.73,0.00,1.00,0.30,0.01,0.29,0.41,1.00,174959.09,21292.88,50221.80,71514.67,103444.41,174959.09,0.41,0.59,71514.68,34126.28,0.00,69318.14,174959.09,1943.91,22243.94,24187.85,7112.25,26613.62,33725.87,62458.21,54587.25,117045.46,9.01,6.14,174959.18,4584.91,19602.96,24187.87,18050.26,15675.57,33725.83,83005.80,34039.65,117045.45,174959.14,69095.37,36545.58,0.00,0.00,105640.95,12961.95,2918.92,53437.27,0.00,69318.14,0.31,0.69,174959.09,18737.27,156221.82,174959.09,18737.27,156221.82,46386.00,109835.82,0.00,109835.82,2402.79,17750.76,20153.55,1210.11,3024.71,4234.82,24388.37,,,7639.00,,,16749.37,24388.37,0.60,0.09,0.31,1943.91,22243.94,24187.85,1328.55,2974.97,4303.52,28491.37,1907.52,6553.45,8460.96,1308.23,2430.34,3738.56,13817.55,1778.25,8596.11,10374.35,1229.97,2213.22,3443.19,10558.26,1704.83,5733.54,7438.37,1156.88,1963.01,3119.89,9799.40,1271.16,5730.53,7001.69,1092.11,1705.59,2797.71,9799.40,4801.51,27894.48,32695.99,5715.97,7860.04,13576.00,46271.99,23165.69,26311.06,49476.75,14749.39,17774.06,32523.46,82000.21,,,8296.79,,,20194.58,,,523.41,,,11676.12,,,245.88,,,13571.67,,,108.41,,,10449.85,,,108.12,,,9691.28,,,9807.22,,,36464.78,,,232.37,,,81767.84
2009-IArgentina,2009-I,Argentina,170442.38,396555.58,,0.43,0.25,0.18,21334.40,149107.98,751.03,20150.00,20901.03,20492.68,77906.27,98398.95,29808.00,0.00,29808.00,0.00,0.21,0.79,0.00,1.00,0.29,0.01,0.28,0.41,1.00,170442.38,21334.40,51051.72,72386.11,98056.27,170442.38,0.42,0.58,72386.11,34095.68,0.00,63960.59,170442.38,1863.56,16531.47,18395.02,6905.05,27625.82,34530.87,63617.41,53899.11,117516.52,9.05,6.37,170442.41,4773.14,13621.84,18394.99,17633.01,16897.92,34530.93,84075.63,33440.85,117516.49,170442.41,71604.70,34877.09,0.00,0.00,106481.79,10414.00,10103.60,43443.00,0.00,63960.59,0.25,0.75,170442.38,18857.56,151584.82,170442.38,18857.56,151584.82,46026.00,105558.82,0.00,105558.82,887.90,16587.43,17475.32,608.70,1843.86,2452.56,19927.88,,,3485.06,,,16442.82,19927.88,0.62,0.12,0.25,890.75,10539.04,11429.79,616.90,1888.18,2505.08,13934.87,1888.69,9734.58,11623.27,1220.09,3300.63,4520.71,12893.22,1788.71,6823.00,8611.71,1156.08,3125.43,4281.50,11302.38,1742.35,5510.23,7252.58,1098.48,2951.33,4049.81,10752.90,1465.55,5479.43,6944.98,1044.31,2763.61,3807.92,10752.90,5162.28,34622.05,39784.33,5547.04,8605.14,14152.18,53936.51,23753.49,25037.77,48791.26,14695.00,16811.13,31506.14,80297.40,,,4373.74,,,9561.13,,,4761.90,,,11382.08,,,236.42,,,12656.80,,,108.17,,,11194.21,,,107.88,,,10645.01,,,9806.06,,,44130.45,,,211.25,,,80086.14
2009Argentina,2009,Argentina,176927.43,385189.64,3.80,0.46,0.27,0.19,23255.89,153671.54,762.92,35440.89,36203.82,20822.55,66837.18,87659.72,29808.00,0.00,29808.00,0.00,0.35,0.65,0.00,1.00,0.31,0.01,0.28,0.40,1.00,176927.43,23255.89,51393.47,74649.36,102278.07,176927.43,0.42,0.58,74649.36,34684.83,0.00,67593.24,176927.43,1983.50,20589.16,22572.67,7250.53,25977.71,33228.24,65415.42,55711.10,121126.52,9.03,6.28,176927.42,5436.63,17136.01,22572.64,15961.77,17266.51,33228.27,87935.84,33190.70,121126.54,176927.45,82197.32,27136.88,0.00,0.00,109334.19,14246.04,15917.57,37429.63,0.00,67593.24,0.21,0.79,176927.43,24707.12,152220.31,176927.43,24707.12,152220.31,47967.00,104253.31,0.00,104253.31,1788.79,25514.10,27302.89,1258.97,3850.89,5109.86,32412.76,,,7817.75,,,24595.01,32412.76,0.62,0.17,0.21,1983.50,20589.16,22572.67,1329.30,3945.80,5275.10,27847.76,1921.11,6943.41,8864.53,1263.08,3653.38,4916.46,11208.93,1919.74,4370.96,6290.70,1197.93,3720.31,4918.24,12180.72,1658.58,5913.62,7572.20,1134.52,3473.99,4608.52,14425.74,1436.10,8749.71,10185.81,1272.36,2967.58,4239.93,14425.74,5351.78,32062.31,37414.09,5734.54,7379.72,13114.26,50528.35,24537.45,23436.98,47974.43,13961.31,15108.93,29070.24,77044.67,,,10115.22,,,17732.55,,,241.73,,,13539.25,,,108.17,,,11100.76,,,107.88,,,12072.84,,,107.88,,,14317.86,,,9700.49,,,40827.86,,,208.77,,,76835.91
2010-IArgentina,2010-I,Argentina,167909.00,416021.85,,0.40,0.26,0.14,22969.07,144939.52,1000.39,39603.44,40603.84,23244.19,69873.49,93117.69,11218.00,0.00,11218.00,0.00,0.36,0.64,0.00,1.00,0.39,0.02,0.40,0.19,1.00,167908.59,22969.07,35462.59,58431.65,109476.94,167908.59,0.35,0.65,58431.65,43806.42,0.00,65670.52,167908.59,1956.89,19870.02,21826.91,7347.25,24944.05,32291.30,49127.19,64662.59,113789.78,8.76,6.66,167907.99,6745.98,15080.89,21826.87,14252.59,18038.38,32290.96,81239.39,32551.34,113790.73,167908.57,68158.12,34079.88,0.00,0.00,102238.00,12033.22,16042.30,37595.08,0.00,65670.59,0.22,0.78,167908.59,29961.11,137947.89,167909.00,29961.11,137947.89,49240.00,88707.89,0.00,88707.89,1015.39,12099.45,13114.84,769.40,2071.87,2841.27,15956.11,,,4456.59,,,11499.52,15956.11,0.61,0.17,0.22,972.28,11025.12,11997.40,732.57,1868.81,2601.38,14598.78,1927.28,12781.00,14708.28,1489.43,3508.79,4998.22,19706.49,1987.51,4934.89,6922.41,1421.52,3469.30,4890.81,11813.22,1743.90,5862.72,7606.62,1353.49,3223.38,4576.87,12183.49,1532.47,8556.60,10089.07,1552.61,2895.16,4447.77,14536.85,6428.80,33727.77,40156.57,6920.14,7812.15,14732.29,54888.86,26637.80,32231.46,58869.26,15426.42,15731.53,31157.95,90027.21,,,4677.77,,,9921.00,,,3306.43,,,16400.06,,,2.24,,,11810.98,,,2.24,,,12181.24,,,2.24,,,14534.60,,,9541.32,,,45347.53,,,6770.81,,,83256.40
2010Argentina,2010,Argentina,175548.00,463654.04,4.11,0.38,0.24,0.14,23890.28,151658.12,1041.23,44147.17,45188.41,27725.08,67526.63,95251.72,11218.00,0.00,11218.00,0.00,0.40,0.60,0.00,1.00,0.37,0.02,0.43,0.18,1.00,175548.41,23890.28,39984.32,63874.60,111673.81,175548.41,0.36,0.64,63874.60,43924.68,0.00,67749.13,175548.41,1986.76,24107.81,26094.56,7388.49,29460.34,36848.83,54499.48,58106.10,112605.58,8.85,6.08,175548.98,9033.09,17061.46,26094.54,18531.07,18318.21,36849.28,80234.83,32369.77,112604.60,175548.42,73479.99,34319.02,0.00,0.00,107799.01,13173.72,16518.98,38056.70,0.00,67749.40,0.22,0.78,175548.41,33000.34,142547.66,175548.00,33000.34,142547.66,52145.00,90402.66,0.00,90402.66,975.85,14246.00,15221.85,1030.21,1908.41,2938.62,18160.47,,,5357.68,,,12802.79,18160.47,0.61,0.17,0.22,1937.27,23993.77,25931.04,1676.31,3835.65,5511.97,31443.01,2057.31,5890.42,7947.73,1608.69,3671.08,5279.78,13227.51,1824.33,5997.80,7822.13,1540.38,3346.32,4886.70,12708.83,1628.73,8658.55,10287.28,1779.27,2964.66,4743.92,15031.21,1548.66,8913.58,10462.24,1720.73,2593.87,4314.60,14776.84,6390.81,32269.02,38659.83,7888.14,6243.29,14131.44,52791.27,30854.77,25616.92,56471.69,16565.99,14576.53,31142.53,87614.21,,,11758.96,,,19684.05,,,2.22,,,13225.29,,,2.22,,,12706.62,,,2.22,,,15028.99,,,2.22,,,14774.62,,,16110.20,,,36681.07,,,197.31,,,87416.91
2011-IArgentina,2011-I,Argentina,187767.51,512130.86,,0.37,0.24,0.13,24360.82,163406.69,1978.95,50937.47,52916.42,29282.25,70031.02,99313.28,11177.00,0.00,11177.00,0.00,0.42,0.58,0.00,1.00,0.36,0.03,0.44,0.17,1.00,187767.51,24360.82,42438.20,66799.02,120968.49,187767.51,0.36,0.64,66799.02,53320.52,0.00,67647.97,187767.51,3011.34,20031.76,23043.09,7344.42,41829.65,49174.07,56443.59,59106.71,115550.30,8.77,5.92,187767.46,6218.87,16824.24,23043.11,27341.57,21832.54,49174.11,86558.80,28991.51,115550.31,187767.53,75834.12,44285.14,0.00,0.00,120119.27,12745.97,16984.02,37918.26,0.00,67648.24,0.20,0.80,187767.51,41786.77,145980.74,187767.51,41786.77,145980.74,51695.00,94285.74,0.00,94285.74,1358.23,12916.81,14275.04,856.78,2098.44,2955.22,17230.26,,,5028.78,,,12201.48,17230.26,0.64,0.16,0.20,1925.18,12012.67,13937.85,859.74,2164.30,3024.04,16961.90,2089.60,11789.75,13879.35,1669.80,4141.64,5811.44,19690.79,1879.60,6875.18,8754.77,1602.39,3692.98,5295.36,14050.14,1698.14,8521.33,10219.47,1861.33,3372.27,5233.60,15453.07,1627.29,8971.90,10599.19,1803.46,2993.38,4796.84,15396.03,6832.39,32283.35,39115.74,8309.85,8171.75,16481.60,55597.34,32875.38,40184.15,73059.53,17491.59,17893.95,35385.54,108445.07,,,6418.49,,,10543.40,,,4819.66,,,14871.13,,,2.14,,,14047.99,,,2.14,,,15450.93,,,2.14,,,15393.89,,,16109.83,,,39487.50,,,9816.26,,,98628.81
2011Argentina,2011,Argentina,190139.86,546891.89,4.29,0.35,0.23,0.12,24862.92,165276.94,748.06,55719.06,56467.12,27628.12,70004.71,97632.82,11177.00,0.00,11177.00,0.00,0.44,0.56,0.00,1.00,0.39,0.01,0.43,0.17,1.00,190139.86,24862.92,39553.17,64416.09,125723.77,190139.86,0.34,0.66,64416.09,54287.44,0.28,71436.33,190140.14,2135.70,24788.90,26924.60,7171.40,39914.70,47086.10,55108.82,61020.30,116129.12,8.87,5.84,190139.82,5792.62,21131.92,26924.54,25100.75,21985.28,47086.03,87809.90,28319.27,116129.17,190139.74,75594.22,43109.08,0.00,0.00,118703.30,17107.50,17263.90,37065.20,0.00,71436.60,0.19,0.81,190139.90,45360.45,144779.41,190139.86,45360.45,144779.41,46376.00,98403.41,0.00,98403.41,1004.25,16383.94,17388.19,843.00,2262.24,3105.24,20493.43,,,6284.20,,,14210.00,20494.20,0.62,0.18,0.19,2135.68,24788.85,26924.54,1646.76,5021.30,6668.06,33592.60,1939.22,7519.80,9459.02,1580.72,4416.47,5997.19,15456.21,1773.36,8371.54,10144.90,1821.33,3942.73,5764.06,15908.96,1713.40,9072.23,10785.63,1760.73,3492.07,5252.80,16038.43,1671.12,14951.16,16622.28,1704.82,2467.46,4172.28,20794.56,5666.49,20726.08,26392.57,6331.30,6560.98,12892.28,39284.85,31911.47,40118.91,72030.38,16621.21,17731.67,34352.87,106383.25,,,15599.17,,,17993.43,,,2.05,,,15454.16,,,2.05,,,15906.91,,,2.05,,,16036.38,,,9532.16,,,11262.40,,,6577.19,,,32707.66,,,9807.66,,,96575.59
2012-IArgentina,2012-I,Argentina,194223.12,562595.54,,0.35,0.23,0.11,24579.46,169643.36,730.30,60016.00,60746.00,27375.36,70039.99,97415.35,11482.00,0.00,11482.00,0.00,0.46,0.54,0.00,1.00,0.38,0.01,0.43,0.18,1.00,194222.82,24579.46,39587.67,64167.13,130055.99,194223.12,0.33,0.67,64166.82,59027.92,0.28,71028.08,194223.09,2215.91,27387.22,29603.13,7996.70,45837.49,53834.19,53954.71,56831.05,110785.77,8.75,5.46,194223.08,6656.95,22946.18,29603.13,32599.33,21234.86,53834.19,83938.49,26847.28,110785.77,194223.08,78179.17,45015.60,0.00,0.00,123194.77,17698.66,16853.62,36476.07,0.00,71028.35,0.19,0.81,194223.12,49799.56,144423.56,194223.12,49799.56,144423.56,46839.00,97584.56,0.00,97584.56,979.00,5740.69,6719.69,718.00,2341.89,3059.89,9779.57,,,2285.67,,,7493.66,9779.33,0.63,0.18,0.19,1156.56,16626.94,17783.49,818.48,2500.65,3319.13,21102.62,1971.69,15202.75,17174.44,1576.12,4458.64,6034.76,23209.20,1818.02,9021.99,10840.01,1815.50,3925.33,5740.83,16580.84,1760.68,9190.00,10950.68,1755.47,3469.72,5225.19,16175.87,1724.55,14943.97,16668.51,1699.76,2587.50,4287.26,20955.77,6768.05,32162.33,38930.38,7902.86,8391.54,16294.39,55224.78,31187.57,32738.77,63926.34,14909.79,16523.22,31433.02,95359.35,,,10455.05,,,10647.58,,,6220.19,,,16989.01,,,1.95,,,16578.90,,,1.95,,,16173.92,,,9532.06,,,11423.71,,,16204.12,,,39020.66,,,2351.35,,,93008.01
