Source Node Name,Target Node Name,Link Value
e9269b82-1951-4684-aaf8-7463272ce4c3,Communication-ModernMobile Tower,1
2df78b9a-6b9c-43b4-bb96-6f0cdd87a3a8,Religion-Islam SufiMadrassa,1
2a81f98f-6424-4619-9e03-846de82c94cd,Medical-PrivatePharmacy + ClinicMaternity + ChildGood (Clean + some staff and equipment),1
0fcff945-2f10-416a-9b29-7d73a338d748,Communication-ModernWiFi Access,1
245d06af-759b-497d-a6d9-c97cf344afbd,Religion-Islam WahabiMosque,1
f2c5bd55-bb01-4edf-bfcb-129450c1af12,Communication-ModernMobile Tower,1
774ce73a-1544-4607-9d24-0152a2286165,Religion-Islam SunniMadrassa,1
9a8617b9-a214-4be3-b2de-17223618c831,Religion-Islam SunniMosque,1
7cc22039-31c7-4d1c-840a-96c6799bf9f5,Key Groups-State ActorKey Government Figure w/ MilitiaPhoto (If Possible)Entire District,1
25ca7317-99aa-4bcf-90cc-2ada30c50c3d,Religion-Islam SunniMosque,1
f99feb66-2953-4f2a-b092-c1f63ad6dcf0,"Medical-PrivatePharmacy + ClinicSpecialtyExcellent (fully equipped, staffed, sanitary)",1
0893bf91-14c8-43a8-83e2-5b1f007c94ea,Medical-PublicHospitalGeneralGood (Clean + some staff and equipment),1
668f70b0-fbd2-451a-b15a-72b648017b3c,Religion-Islam SufiMosque,1
0306ca14-df72-47fc-8942-aa9ccf26d875,Communication-ModernMobile Tower,1
b08c6367-f359-4ade-ad94-7db65bb648d0,Religion-Islam SunniMosque,1
b39fb4f6-ad1a-401a-bb5a-5831d7e2c02e,Religion-Islam WahabiMosque,1
a5808902-5350-4ba1-8449-5d2b48c4d1d6,Communication-ModernWiFi Access,1
ad4fa062-73ec-431f-9917-5d727056bd5d,Medical-PrivateClinicGeneralGood (Clean + some staff and equipment),1
22413ad4-6bc5-4acc-886a-f8b400718d9e,Communication-ModernMobile Tower,1
cebc4d64-c47c-424d-8c06-433f60dcf3a6,Communication-ModernTV StationIslam WahabiBusiness,1
2781eee5-9a64-4131-9f00-15384851df78,Religion-Islam SufiMadrassa,1
f110b6dd-eba3-4e73-b6f2-0deb1ea0457d,Religion-Islam SunniMosque,1
b253c017-2309-428a-a73d-1ce33edadfe3,Religion-Islam WahabiMadrassa,1
bef92240-0889-465a-8cc3-bcdf66a79cba,Religion-Islam WahabiMosque,1
b2137974-b2cf-4bd4-ba62-0757da875502,Communication-ModernWiFi Access,1
97479d06-2867-4f96-b11b-3e793052f855,"Medical-PrivateHealth CenterGeneralClinicMaternity + ChildPoor (Overcrowded, dirty, impoverished)",1
b538935a-df19-47dc-b24f-ac214af991c1,Medical-PrivateClinicDentalGood (Clean + some staff and equipment),1
6ec7e806-d025-419f-afed-fb404a11bede,Religion-Islam SufiMowlah,1
f640e9a9-20b5-4cc8-9e07-e2f31844e0f1,"Medical-PrivateClinicGeneralExcellent (fully equipped, staffed, sanitary)",1
b423a756-d173-443c-ad21-cd442b544a9c,Medical-PrivateClinicDentalGood (Clean + some staff and equipment),1
e1690110-49b9-4b7e-a05e-09158b652e0b,Communication-ModernMobile Tower,1
2a5130f8-52e7-43c5-9dfc-228e97fe545b,Religion-ModernMobile TowerIslam SunniMadrassa,1
e9a9db0f-f3af-450c-94e1-5c89fa0f7b54,Medical-PrivateClinicMaternity + ChildGood (Clean + some staff and equipment),1
d0b93bd0-c54e-497a-9b37-fb562cc6bb8c,Religion-Islam SunniMadrassa,1
4d66de7f-b930-4c83-8c0c-b7b98464e1fe,Religion-Islam SunniMadrassa,1
fcf94536-8ce1-4729-93a9-879b0f3daa80,Communication-ModernMobile Tower,1
ed87f086-e73c-4562-abfc-693990a7209a,Religion-Islam SunniMadrassa,1
0e6c95bb-ffa4-46b4-95a3-44d859153451,Religion-Islam WahabiMosque,1
2ce76d34-3342-49a2-ad33-5e7e0a350d5e,Religion-Islam WahabiMadrassa,1
001d9da8-ae3f-4eda-b6dd-d1747a8e0575,Religion-Islam SunniMadrassa,1
0cec3ad3-98f4-4406-ae7d-b52c53154afa,Religion-Islam SufiMadrassa,1
02c7b321-f552-4953-9ea2-a4d0a3934f25,Religion-Islam SunniMadrassa,1
73177b6e-978f-45d9-b7ba-8e3a572e84ba,Communication-ModernMobile Tower,1
b4ab17bb-ddc9-45be-a721-94fa5a58e79f,"Medical-PrivateHospitalGeneralPoor (Overcrowded, dirty, impoverished)",1
53e8f7d7-38e5-4dac-ac50-c01bce13d9f0,Medical-PrivateClinicGeneralGood (Clean + some staff and equipment),1
2e331b87-9f13-4eb7-9a95-9a0cb5dd3151,Religion-Islam SufiMadrassa,1
45fbeae2-11e8-4445-8dbc-b70517b0edb7,Communication-ModernMobile Tower,1
bacd4fe3-cc03-4ac2-9372-e40fdda1b71f,Religion-Islam SufiMosque,1
e087228c-407b-4968-ab85-73c9be988892,Medical-PrivateClinicGeneralGood (Clean + some staff and equipment),1
b627d06d-d4be-43cc-8bf4-5d117a5ff7aa,"Medical-PublicHospitalGeneralExcellent (fully equipped, staffed, sanitary)",1
f3a00e06-9b9d-4935-b742-cd66869a5f43,Communication-ModernRadio Tower,1
34cf6b86-6f19-493b-a712-c981c22bea16,Medical-PrivateClinicMaternity + ChildGood (Clean + some staff and equipment),1
8157e79e-f345-4839-9476-534228178abf,Medical-PrivateClinicGeneralGood (Clean + some staff and equipment),1
7c8c317c-f06d-4b0d-8aa0-9af8f880ecd9,Medical-PrivateClinicDentalGood (Clean + some staff and equipment),1
f890e6f6-156c-43c7-a0ca-aa364371175a,Religion-Islam SunniMowlah,1
3259e2af-fdb9-4044-9610-d8e020398e18,Religion-Islam SunniMadrassa,1
8f4256e6-db0e-4a01-9ebc-bc84eb25ecf2,Medical-PrivatePharmacy + ClinicGeneralGood (Clean + some staff and equipment),1
67d80828-83ce-4a35-b520-5fa58f8b4e77,Religion-Islam WahabiMadrassa,1
490b2039-535d-41b7-9503-3b8c71e97590,Religion-Islam WahabiMadrassa,1
6ac5b052-4189-4b0f-a597-b252fe571598,Communication-ModernRadio Tower,1
89600b91-f1e0-41dd-92ef-b2dc57848b0e,Religion-Islam SunniMadrassa,1
ba98c8eb-9832-4cf3-bce2-b3801cec6f3f,Communication-ModernWiFi Access,1
b6790c4b-8408-432e-ab32-48157c07931b,Communication-ModernWiFi Access,1
1fe749e8-22e2-44b7-8dc5-a7ce91fdf7cd,Communication-ModernMobile Tower,1
369d721a-a802-4e3c-9c72-9e443be15660,Communication-ModernMobile Tower,1
d818a8a0-1ca6-47ab-a0c3-376b4337ee7f,"Medical-PublicHealth CenterMaternity + ChildPoor (Overcrowded, dirty, impoverished)",1
7e8172bf-d47d-4c31-9262-e0ee49df9cd6,Religion-Islam WahabiMosque,1
065b3e15-9443-40e3-bed9-b5e42ccbe412,Communication-ModernMobile Tower,1
6d9296de-776e-4d58-ba08-9cab2d077ef4,Medical-PrivateHospitalGeneralGood (Clean + some staff and equipment),1
f51729dd-01c4-439c-b1b9-6067875639b4,Religion-Islam WahabiMosque,1
378202ed-61f0-4994-bcbf-ccf0918d775d,Medical-PublicHospitalGeneralGood (Clean + some staff and equipment),1
92218cc3-6715-40c2-963e-0930a930d2fd,Religion-Islam SufiMadrassa,1
388bf146-f7e0-43bb-b392-e31469a845a2,Religion-Islam WahabiMosque,1
48639995-dcdb-45e1-8adf-49ac82e0e0bd,Religion-Islam SunniMadrassa,1
7e1e8688-0da7-4c5d-bce4-636e018d34d7,Religion-Islam WahabiMosque,1
af05c003-3a18-4506-b837-6f88dcce782f,Communication-ModernMobile Tower,1
5340cdcd-5162-493a-b842-e47d3c855f9d,Key Groups-State ActorSomali PolicePhoto (If Possible)Entire District,1
46aa43b4-ee96-4a76-be63-4db6e3d4e82a,Religion-Islam WahabiMosque,1
fed98e7f-c8e8-487b-ba00-e5c4ea5d5434,Religion-Islam SufiMosque,1
184299db-f663-4d01-a793-3c86056ae94c,Religion-Islam SufiMadrassa,1
b0007c9e-0a4d-4d9e-a292-c500c6b2df4d,Religion-Islam SufiMadrassa,1
e62566fa-4858-4020-9e7a-7120ae70ebb5,Medical-PrivateClinicGeneralGood (Clean + some staff and equipment),1
8ce2f97c-7188-4b15-8a1c-13bf95afe8b5,Religion-Islam SufiMosque,1
25af9911-4da5-4a84-a873-785f68cdfeec,Communication-ModernMobile Tower,1
8e6c5660-55b6-4214-ba65-5537cdf3172f,Medical-PrivateHospitalGeneralGood (Clean + some staff and equipment),1
bfcac7a3-bcdb-409c-b606-674f38a1eef7,Medical-PrivateClinicGeneralGood (Clean + some staff and equipment),1
16d80d51-1991-4035-b8ba-a9ec76ae9b2b,Religion-Islam SufiMadrassa,1
234cd360-ddd2-4d13-b616-5c1337e48eed,Religion-Islam WahabiMosque,1
13aa4299-77c4-47e7-99e9-98dd7673c3d5,Religion-Islam SufiMadrassa,1
27842cbd-359e-4edf-a494-1c4a88c922ea,Religion-Islam SunniMosque,1
1412b547-6cbb-4b6c-9432-5bfa17190518,Religion-Islam SunniMosque,1
31d1efec-e1a5-4338-9355-e1c7a942db9f,Religion-Islam SunniMosque,1
38ef0429-5eee-4889-bab6-e1c0bd574345,Communication-ModernMobile Tower,1
b662e407-2d39-4d9d-b064-ffd75d1ddb57,Communication-ModernMobile Tower,1
03545de5-fd5a-4cf0-a0b4-df7ba7916d1e,Religion-Islam SufiMosque,1
a5ee5c40-976a-41f2-900d-fe63da7eab7a,Medical-PrivateClinic,1
c56d477a-f15d-445a-b097-1eded18aaeaa,Religion-Islam SufiMadrassa,1
ee4fd0b1-7fbf-44b5-ba52-70e867630fe1,Religion-Islam SunniMosque,1
265bd2be-4f2f-4d1c-9468-5ed222919191,Religion-Islam SufiMadrassa,1
52105995-a4ac-4e93-aeae-f18c9374d953,Communication-ModernMobile Tower,1
6745beb0-6cc8-4aa7-9063-0d26e3ae5f15,Religion-Islam WahabiMadrassa,1
66b7181c-db7c-4b41-96ad-2dcee1aaa317,"Medical-PrivateHospitalMaternity + ChildGeneralPoor (Overcrowded, dirty, impoverished)",1
387b01bf-bfe0-4e28-936c-7fc55f27be73,Religion-Islam SunniMosque,1
5fdba340-b79a-4600-95ff-6183b63ffe12,Communication-ModernTV Station,1
e9889df0-3529-44cd-831d-0d5e944c4531,Communication-ModernMobile Tower,1
178e8011-3317-4cb0-9397-d4896c2b9ba5,Religion-Islam SufiMadrassa,1
990f1b71-bd0b-4202-8fa7-a7c1b954aabd,Medical-PrivateHealth CenterGeneralPharmacy + ClinicGood (Clean + some staff and equipment),1
