EVENT_DATE,EventTag,LOCATION,Latitude,Longitude,Tags
25/01/2016,Battle-NoTerritoryChange,6th October City,29.94644,30.91687,Battle-NoTerritoryChange
25/01/2016,RiotsOrProtests,6th October City,29.94644,30.91687,RiotsOrProtests
3/2/2016,ViolenceAgainstCivilians,6th October City,29.94644,30.91687,ViolenceAgainstCivilians
18/01/2016,ViolenceAgainstCivilians,Aba,5.10658,7.36667,ViolenceAgainstCivilians
31/12/2015,RiotsOrProtests,Aba,5.10658,7.36667,RiotsOrProtests
1/1/2016,RiotsOrProtests,Aba,5.10658,7.36667,RiotsOrProtests
2/1/2016,RiotsOrProtests,Aba,5.10658,7.36667,RiotsOrProtests
3/1/2016,RiotsOrProtests,Aba,5.10658,7.36667,RiotsOrProtests
4/1/2016,RiotsOrProtests,Aba,5.10658,7.36667,RiotsOrProtests
9/2/2016,ViolenceAgainstCivilians,Aba,5.10658,7.36667,ViolenceAgainstCivilians
6/1/2016,Battle-NoTerritoryChange,Abadam,13.62649,13.25159,Battle-NoTerritoryChange
11/3/2016,Battle-NoTerritoryChange,Abaji,8.46667,6.95,Battle-NoTerritoryChange
11/3/2016,ViolenceAgainstCivilians,Abaji,8.46667,6.95,ViolenceAgainstCivilians
8/2/2016,RiotsOrProtests,Abakaliki,6.31625,8.11691,RiotsOrProtests
19/03/2016,ViolenceAgainstCivilians,Abalama,4.76492,6.84138,ViolenceAgainstCivilians
1/3/2016,Battle-NoTerritoryChange,Abaq Beeday,4.1209,44.03645,Battle-NoTerritoryChange
20/01/2016,Battle-NoTerritoryChange,Abba,8.57286,36.12075,Battle-NoTerritoryChange
29/02/2016,Battle-NoTerritoryChange,Abdale Birole,-0.49056,42.19694,Battle-NoTerritoryChange
1/3/2016,Battle-NoTerritoryChange,Abdale Birole,-0.49056,42.19694,Battle-NoTerritoryChange
26/01/2016,ViolenceAgainstCivilians,Abdel Shakur,14.43805,24.53052,ViolenceAgainstCivilians
28/01/2016,RiotsOrProtests,Abdul-Aziz,2.04045,45.36,RiotsOrProtests
24/02/2016,RiotsOrProtests,Abeche,13.8167,20.8167,RiotsOrProtests
8/2/2016,RiotsOrProtests,Abeokuta,7.15,3.35,RiotsOrProtests
14/03/2016,RiotsOrProtests,Abeokuta,7.15,3.35,RiotsOrProtests
11/2/2016,ViolenceAgainstCivilians,Abi,6.8362,7.2349,ViolenceAgainstCivilians
19/02/2016,StrategicDevelopment,Abidjan,5.34111,-4.02809,StrategicDevelopment
15/02/2016,RiotsOrProtests,Abidjan,5.34111,-4.02809,RiotsOrProtests
20/02/2016,RiotsOrProtests,Abidjan,5.34111,-4.02809,RiotsOrProtests
18/03/2016,RemoteViolence,Abiikarow,1.72452,44.65065,RemoteViolence
28/01/2016,Battle-NoTerritoryChange,Abiikarow,1.72452,44.65065,Battle-NoTerritoryChange
4/1/2016,RiotsOrProtests,Abole,9.8667,38.45,RiotsOrProtests
6/1/2016,RiotsOrProtests,Abole,9.8667,38.45,RiotsOrProtests
15/02/2016,Battle-NoTerritoryChange,Abri,11.67952,30.4519,Battle-NoTerritoryChange
