EventTag,Latitude,Longitude,Tags
Battle-NoTerritoryChange,29.94644,30.91687,Battle-NoTerritoryChange
RiotsOrProtests,29.94644,30.91687,RiotsOrProtests
ViolenceAgainstCivilians,29.94644,30.91687,ViolenceAgainstCivilians
ViolenceAgainstCivilians,5.10658,7.36667,ViolenceAgainstCivilians
RiotsOrProtests,5.10658,7.36667,RiotsOrProtests
RiotsOrProtests,5.10658,7.36667,RiotsOrProtests
RiotsOrProtests,5.10658,7.36667,RiotsOrProtests
RiotsOrProtests,5.10658,7.36667,RiotsOrProtests
RiotsOrProtests,5.10658,7.36667,RiotsOrProtests
ViolenceAgainstCivilians,5.10658,7.36667,ViolenceAgainstCivilians
Battle-NoTerritoryChange,13.62649,13.25159,Battle-NoTerritoryChange
Battle-NoTerritoryChange,8.46667,6.95,Battle-NoTerritoryChange
ViolenceAgainstCivilians,8.46667,6.95,ViolenceAgainstCivilians
RiotsOrProtests,6.31625,8.11691,RiotsOrProtests
ViolenceAgainstCivilians,4.76492,6.84138,ViolenceAgainstCivilians
Battle-NoTerritoryChange,4.1209,44.03645,Battle-NoTerritoryChange
Battle-NoTerritoryChange,8.57286,36.12075,Battle-NoTerritoryChange
Battle-NoTerritoryChange,-0.49056,42.19694,Battle-NoTerritoryChange
Battle-NoTerritoryChange,-0.49056,42.19694,Battle-NoTerritoryChange
ViolenceAgainstCivilians,14.43805,24.53052,ViolenceAgainstCivilians
RiotsOrProtests,2.04045,45.36,RiotsOrProtests
RiotsOrProtests,13.8167,20.8167,RiotsOrProtests
RiotsOrProtests,7.15,3.35,RiotsOrProtests
RiotsOrProtests,7.15,3.35,RiotsOrProtests
ViolenceAgainstCivilians,6.8362,7.2349,ViolenceAgainstCivilians
StrategicDevelopment,5.34111,-4.02809,StrategicDevelopment
RiotsOrProtests,5.34111,-4.02809,RiotsOrProtests
RiotsOrProtests,5.34111,-4.02809,RiotsOrProtests
RemoteViolence,1.72452,44.65065,RemoteViolence
Battle-NoTerritoryChange,1.72452,44.65065,Battle-NoTerritoryChange
RiotsOrProtests,9.8667,38.45,RiotsOrProtests
RiotsOrProtests,9.8667,38.45,RiotsOrProtests
Battle-NoTerritoryChange,11.67952,30.4519,Battle-NoTerritoryChange
RemoteViolence,11.67952,30.4519,RemoteViolence
Battle-NoTerritoryChange,31.45162,15.24744,Battle-NoTerritoryChange
ViolenceAgainstCivilians,30.53766,31.67875,ViolenceAgainstCivilians
ViolenceAgainstCivilians,30.53766,31.67875,ViolenceAgainstCivilians
Battle-NoTerritoryChange,30.72508,31.67148,Battle-NoTerritoryChange
RemoteViolence,12.148154,30.794822,RemoteViolence
Battle-NoTerritoryChange,12.14815,30.79482,Battle-NoTerritoryChange
Battle-NoTerritoryChange,12.14815,30.79482,Battle-NoTerritoryChange
Battle-NoTerritoryChange,7.71667,27.85,Battle-NoTerritoryChange
RiotsOrProtests,22.3457,31.61624,RiotsOrProtests
ViolenceAgainstCivilians,4.85678,6.64417,ViolenceAgainstCivilians
ViolenceAgainstCivilians,7.0613,9.02815,ViolenceAgainstCivilians
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
