City,Agency,Address,Suite,Telephone,Tags Available?,Mail-in Forms Available?,Notes
Auburn,Auburn Valley Animal Clinic,"1306 Harvey Rd NE
Auburn 98002
(47.32001562415261, -122.21989119474374)",,253-939-0630,N,Y,
Auburn,Green River Veterinary Hospital,"4212 Auburn Way N
Auburn 98002
(47.345093150655046, -122.22226344694398)",,253-854-4414,N,Y,
Auburn,Forest Hill Veterinary Hospital,"3240 Auburn Way S
Auburn 98092
(47.28823703733925, -122.18582468427819)",,253-833-9100,N,Y,
Auburn,"Parks, Arts and Recreation         ","909 Ninth St
Auburn 98002
(47.31605268697006, -122.21817349098583)",,253-931-3043,Y,Y,
Auburn,Auburn Permitting Center,"1 E Main St
Auburn 98002
(47.307435371729554, -122.22978248378658)",,253-931-3090,Y,Y,
Auburn,A Valley Animal Hospital,"3615 W Valley Hwy
Auburn 98001
(47.34070294003322, -122.24978826166249)",Ste 102,253-833-6701,N,Y,
Auburn,Auburn License Agency,"124 Auburn Way N
Auburn 98002
(47.3081842842036, -122.22813274319803)",,253-833-9696,Y,Y,
Auburn,Auburn City Hall,"25 W Main St
Auburn 98001
(47.27933766430116, -122.251074993016)",,253-931-3039,Y,Y,
Bellevue,Aerowood Animal Hospital,"2975 156th Ave SE
Bellevue 98002
(47.308173014473084, -122.2147771322588)",,425-746-6557,Y,Y,
Bellevue,QFC #874,"1510 145th Pl SE
Bellevue 98007
(47.59699277811517, -122.15048485817266)",,425-653-2162,Y,Y,
Bellevue,QFC #859,"2636 Bellevue Way NE
Bellevue 98004
(47.63431450341366, -122.2016152955139)",,425-822-4154,Y,Y,
Bellevue,QFC #826,"15600 NE Eighth St
Bellevue 98008
(47.61700856214611, -122.12962876653597)",,425-865-0282,Y,Y,
Bellevue,QFC #822,"3550 Factoria Blvd SE
Bellevue 98004
(47.61999475055734, -122.20692972182917)",,425-643-7110,Y,Y,
Bellevue,QFC #808,"10116 NE Eighth St
Bellevue 98004
(47.617503620991585, -122.20424348684129)",,425-455-0870,Y,Y,
Bellevue,Crossroads Veterinary Clinic,"15600 NE Eighth St
Bellevue 98008
(47.61700856214611, -122.12962876653597)",Ste O-6,425-746-7387,N,Y,
Bellevue,Companion Animal Hospital,"1827 156th Ave NE
Bellevue 98007
(47.62598075363926, -122.13244082385444)",,425-746-1800,N,Y,
Bellevue,Bellevue City Hall,"450 110th Ave NE
Bellevue 98004
(47.61420630587043, -122.19354596310725)",,425-452-6800,Y,Y,
Bellevue,Bellevue Mini City Hall,"15600 NE Eighth St
Bellevue 98009
(47.620622999851605, -122.2016869998551)",Ste H-9,425-452-2800,Y,Y,Check or Money Order Only
Bellevue,Cat Care Clinic Bellevue,"1105 Bellevue Way NE
Bellevue 98004
(47.61544624424536, -122.2053965235944)",,425-455-2273,N,Y,
Bellevue,Banfield Veterinary Hospital,"100 108th Ave NE
Bellevue 98004
(47.610211309838036, -122.19612894339015)",,425-454-7023,N,Y,
Bellevue,Animal Wellness Center,"2115 112th Ave NE
Bellevue 98007
(47.614075939852796, -122.14409694941463)",Ste 100,425-455-8900,N,Y,
Black Diamond,Black Diamond City Hall,"24301 Roberts Dr
Black, Diamond 98010
(47.312201346755444, -122.01869739422182)",,360-886-2560,Y,Y,
