FID,the_geom,NAME,LATITUDE,LAT_DD,LONGITUDE,LONG_DD,STATUS,STRUCTURES,YR_CONFIRM,APROX_STR1,APROX_STR2,YR_RANGE1,YR_RANGE2,SEC_TOWN
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.1,POINT (24.828333333333333 13.315833333333334),,131857,13.315833,0244942,24.828333,DAMAGED,~25 of ~50,,25,50,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.2,POINT (24.90111111111111 13.318055555555556),DOLA,131905,13.318056,0245404,24.901111,DESTROYED,~200 of ~200,2008/2009,200,200,2008,2009,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.3,POINT (24.80611111111111 13.270277777777778),LABABIS,131613,13.270278,0244822,24.806111,DESTROYED,~100 of ~100,,100,100,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.4,POINT (24.836944444444445 13.294444444444444),SURRI,131740,13.294444,0245013,24.836944,DESTROYED,~250 of ~300,2004,250,300,2004,2004,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.5,POINT (24.868333333333332 13.303611111111111),NANOREE,131813,13.303611,0245206,24.868333,DESTROYED,~75 of ~100,2003/2004,75,100,2003,2004,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.6,POINT (24.8 13.342222222222222),NIJOU,132032,13.342222,0244800,24.8,DAMAGED,~50 of ~200,2004,50,200,2004,2004,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.7,POINT (24.82027777777778 13.329166666666667),HUJAJ,131945,13.329167,0244913,24.820278,DAMAGED,~200 of ~500,2004,200,500,2004,2004,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.8,POINT (24.860555555555557 13.321111111111112),TARNY,131916,13.321111,0245138,24.860556,DESTROYED,~200 of ~300,2004,200,300,2004,2004,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.9,POINT (24.85333333333333 13.327222222222222),TARNY NORTH,131938,13.327222,0245112,24.853333,DESTROYED,~250 of ~350,2004,250,350,2004,2004,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.10,POINT (24.852777777777778 13.354444444444445),DELMUJO,132116,13.354444,0245110,24.852778,DESTROYED,,2004,0,0,2004,2004,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.11,POINT (24.889166666666668 13.331388888888888),,131953,13.331389,0245321,24.889167,DESTROYED,~100 of ~100,2004,100,100,2004,2004,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.12,POINT (24.885277777777777 13.3375),,132015,13.3375,0245307,24.885278,DESTROYED,~300 of ~300,2004,300,300,2004,2004,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.13,POINT (24.9 13.333055555555555),KHAZAN TUNGUR,131959,13.333056,0245400,24.9,DESTROYED,~600 of ~600,2004,600,600,2004,2004,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.14,POINT (22.524166666666666 12.69),KAJAN GESE,124124,12.69,0223127,22.524167,NO DAMAGE,~200,,0,200,0,0,
Sudan_Darfur_DamagedDestroyedVillages_2010Dec.15,POINT (22.6975 12.350833333333334),WEIGO,122103,12.350833,0224151,22.6975,DESTROYED,,2003,0,0,2003,2003,
