FID,the_geom,Country,Designatio,Administra,Name,Lat,Long,fips,iso_alpha2,iso_alpha3,iso_num,stanag,tld,GENC2
Syria_RefugeeSites_2016Jan21_HIU_DoS0.1,POINT (41.221 34.418),Iraq,Official Camp Open,Al Anbar,Al Obaidy,34.418,41.221,IZ,IQ,IRQ,368,IRQ,.iq,IQ
Syria_RefugeeSites_2016Jan21_HIU_DoS0.2,POINT (45.610139 35.375216),Iraq,Official Camp Open,As Sulaymaniyah,Arbat Camp,35.375216,45.610139,IZ,IQ,IRQ,368,IRQ,.iq,IQ
Syria_RefugeeSites_2016Jan21_HIU_DoS0.3,POINT (44.34 36.498),Iraq,Official Camp Open,Erbil,Basirma,36.498,44.34,IZ,IQ,IRQ,368,IRQ,.iq,IQ
Syria_RefugeeSites_2016Jan21_HIU_DoS0.4,POINT (43.889 36.47),Iraq,Official Camp Open,Erbil,Darashakran,36.47,43.889,IZ,IQ,IRQ,368,IRQ,.iq,IQ
Syria_RefugeeSites_2016Jan21_HIU_DoS0.5,POINT (42.88 36.78),Iraq,Official Camp Open,Dahuk,Domiz 1,36.78,42.88,IZ,IQ,IRQ,368,IRQ,.iq,IQ
Syria_RefugeeSites_2016Jan21_HIU_DoS0.6,POINT (42.895752 36.763926),Iraq,Official Camp Open,Dahuk,Domiz 2,36.763926,42.895752,IZ,IQ,IRQ,368,IRQ,.iq,IQ
Syria_RefugeeSites_2016Jan21_HIU_DoS0.7,POINT (43.608 36.343),Iraq,Official Camp Open,Ninawa,Gawilan,36.343,43.608,IZ,IQ,IRQ,368,IRQ,.iq,IQ
Syria_RefugeeSites_2016Jan21_HIU_DoS0.8,POINT (43.814 36.344),Iraq,Official Camp Open,Erbil,Kawergosk,36.344,43.814,IZ,IQ,IRQ,368,IRQ,.iq,IQ
Syria_RefugeeSites_2016Jan21_HIU_DoS0.9,POINT (44.038 35.983),Iraq,Official Camp Open,Erbil,Qushtapa,35.983,44.038,IZ,IQ,IRQ,368,IRQ,.iq,IQ
Syria_RefugeeSites_2016Jan21_HIU_DoS0.10,POINT (43.879 36.736),Iraq,Transitional Facility Open,Ninawa,Akre,36.736,43.879,IZ,IQ,IRQ,368,IRQ,.iq,IQ
Syria_RefugeeSites_2016Jan21_HIU_DoS0.11,POINT (36.588 31.911),Jordan,Official Camp Open,Zarqa,Azraq,31.911,36.588,JO,JO,JOR,400,JOR,.jo,JO
Syria_RefugeeSites_2016Jan21_HIU_DoS0.12,POINT (36.448 32.032),Jordan,Official Camp Open,Zarqa,Mrajeeb al-Fhood,32.032,36.448,JO,JO,JOR,400,JOR,.jo,JO
Syria_RefugeeSites_2016Jan21_HIU_DoS0.13,POINT (36.317 32.3),Jordan,Official Camp Open,Al Mafraq,Za'atri,32.3,36.317,JO,JO,JOR,400,JOR,.jo,JO
Syria_RefugeeSites_2016Jan21_HIU_DoS0.14,POINT (36.024 32.527),Jordan,Other Site Open,Irbid,King Abdullah Park,32.527,36.024,JO,JO,JOR,400,JOR,.jo,JO
Syria_RefugeeSites_2016Jan21_HIU_DoS0.15,POINT (35.969 32.456),Jordan,Other Site Open,Irbid,Cyber City,32.456,35.969,JO,JO,JOR,400,JOR,.jo,JO
Syria_RefugeeSites_2016Jan21_HIU_DoS0.16,POINT (36.233 32.414),Jordan,Reception Center Open,Al Mafraq,Rabaa' al-Sarhan,32.414,36.233,JO,JO,JOR,400,JOR,.jo,JO
Syria_RefugeeSites_2016Jan21_HIU_DoS0.17,POINT (35.49 37.043),Turkey,Official Camp Open,Adana,Adana,37.043,35.49,TU,TR,TUR,792,TUR,.tr,TR
Syria_RefugeeSites_2016Jan21_HIU_DoS0.18,POINT (38.229 37.546),Turkey,Official Camp Open,Adiyaman,Adiyaman,37.546,38.229,TU,TR,TUR,792,TUR,.tr,TR
Syria_RefugeeSites_2016Jan21_HIU_DoS0.19,POINT (36.239 36.13),Turkey,Official Camp Open,Hatay,Altinozu 1,36.13,36.239,TU,TR,TUR,792,TUR,.tr,TR
Syria_RefugeeSites_2016Jan21_HIU_DoS0.20,POINT (36.364 36.183),Turkey,Official Camp Open,Hatay,Altinozu 2,36.183,36.364,TU,TR,TUR,792,TUR,.tr,TR
