Report 4
ID,Geo Response,Is the bakery functional?,What is the price of a bag of bread (7-8 loaves)?,How would you describe the traffic at this bakery?,Does it look like the bakery has been damaged in the past 2 weeks?,Have you seen people being turned away from the bakery/has the bakery run out of bread in the past 2 weeks?
555,POINT (37.1657609939575 36.2158174496133),Yes   ,15.0,Somewhat busy   ,No   ,No   
556,POINT (37.172691822052 36.1991182531197),Yes   ,65.0,Works with the Council   ,No   ,Yes   
557,POINT (37.1751165390015 36.2041309833791),Yes   ,65.0,Works with the Council   ,No   ,No   
558,POINT (37.1703636646271 36.2030661297101),"No, it appears closed   ",0.0,Closed   ,No   ,No   
559,POINT (37.1699130535126 36.1982438061527),"No, it appears closed   ",0.0,Closed   ,No   ,No   
560,POINT (37.1666407585144 36.1956983306737),Yes   ,65.0,Works with the Council   ,No   ,Yes   
561,POINT (37.1669840812683 36.1943303198673),Yes   ,65.0,Works with the Council   ,No   ,No   
562,POINT (37.1603751182556 36.1923042346352),Yes   ,65.0,Works with the Council   ,No   ,Yes   
563,POINT (37.1596884727478 36.1933778931681),Yes   ,65.0,Works with the Council   ,No   ,Yes   
564,POINT (37.1543025970459 36.2000619522544),"No, it appears closed   ",0.0,Closed   ,No   ,No   
565,POINT (37.1515130996704 36.2019146862712),"No, it appears closed   ",0.0,Closed   ,No   ,No   
566,POINT (37.1593129634857 36.190269438159),Yes   ,65.0,Works with the Council   ,No   ,No   
567,POINT (37.1637761592865 36.1949104286343),Yes   ,65.0,Works with the Council   ,No   ,No   
568,POINT (37.1654391288757 36.204485931383),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
569,POINT (37.1626603603363 36.2049793930066),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
570,POINT (37.1796333789825 36.2332573358066),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
571,POINT (37.1753633022308 36.2327207819103),Yes   ,50.0,Works with the Council   ,No   ,Yes   
572,POINT (37.1736145019531 36.229977376225),Yes   ,65.0,Works with the Council   ,No   ,Yes   
573,POINT (37.1707874536514 36.2280430875503),"No, it appears closed   ",0.0,Closed   ,Yes   ,Yes   
574,POINT (37.1717691421509 36.2296744706435),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
575,POINT (37.175567150116 36.2284974549611),Yes   ,65.0,Works with the Council   ,No   ,Yes   
576,POINT (37.1986931562424 36.2230491993998),Yes   ,65.0,Works with the Council   ,No   ,Yes   
577,POINT (37.205114364624 36.2284714911802),Yes   ,65.0,Works with the Council   ,No   ,Yes   
578,POINT (37.177187204361 36.2323573078241),Yes   ,50.0,Works with the Council   ,No   ,Yes   
579,POINT (37.1718013286591 36.230098538129),Yes   ,65.0,Works with the Council   ,No   ,Yes   
580,POINT (37.1721982955933 36.2313966896058),Yes   ,65.0,Works with the Council   ,No   ,Yes   
581,POINT (37.1722036600113 36.2316736257983),Yes   ,50.0,Works with the Council   ,No   ,Yes   
