Date,Latitude,Longitude,Summary,Category
2011-04-08T02:30:00,18.41667,57.45,Reference Alert #150,Pirated
2011-04-10T17:15:00,14.266667,56.533333,Pirate Attack Group has been reported,Suspicious Activity
2011-04-12T12:00:00,13.666667,49.933333,Preference alert #153,Attacked
2011-04-12T12:10:00,13.666667,49.933333,A merchant vessel is currently under attack by pirates,Attacked
2011-05-07T09:15:00,10.26,58.383,MOTHER SHIP REPORT - JELBUT 33,Suspicious Activity
2011-05-08T08:45:00,12.1,59.47,PIRATE ATTACK,Attacked
2011-05-09T09:15:00,9,55.95,MOTHER SHIP REPORT - JIN CHUN TSAI 68,Suspicious Activity
2011-05-10T11:15:00,17.5833,57.9333,PIRATE ATTACK,Attacked
2011-05-11T09:25:00,18.75,59.5,PIRATE ATTACK,Attacked
2011-05-12T09:45:00,9.9,60.9,PIRATE ATTACK GROUP REPORT,Suspicious Activity
2011-05-14T04:30:00,8.533333,67.883333,PIRATE ATTACK,Attacked
2011-05-14T06:40:00,19.216667,60.316667,PIRATE ATTACK,Attacked
2011-05-15T11:10:00,14.216667,58.316667,PIRATE ATTACK GROUP,Suspicious Activity
2011-05-15T16:40:00,14.15,55.416667,PIRATE ATTACK,Attacked
2011-05-16T10:35:00,24.183333,61.183333,PIRATE ATTACK,Attacked
2011-05-16T13:10:00,7.283333,53.433333,UPDATE,Suspicious Activity
2011-05-17T05:30:00,6.85,51.366667,PIRATE ATTACK,Attacked
2011-05-17T07:30:00,-9,40.93333,PIRATE ATTACK,Attacked
2011-05-17T11:55:00,-9.4,40.7333,PIRATE ATTACK,Attacked
2011-05-20T06:30:00,13.25,43.16667,PIRATE ATTACK,Attacked
2011-05-20T06:35:00,-13.25,43.16667,CANCELLED,Miscellaneous
2011-05-22T03:45:00,15.73333,61.45,PIRATE ATTACK,Attacked
2011-05-22T10:00:00,14.5,42.216667,PIRATE ATTACK,Attacked
2011-05-26T09:10:00,6.15,50.55,Possible mothership,Suspicious Activity
2011-05-27T08:30:00,7.15,53.333,UPDATE,Suspicious Activity
2011-05-28T01:50:00,7.95,55.2667,UPDATE,Suspicious Activity
2011-05-29T11:55:00,14.7333,42.1,ATTACK,Attacked
2011-05-29T22:55:00,9.5333,58.1167,UPDATE,Pirated
2011-05-30T00:30:00,11,61.2333,UPDATE,Suspicious Activity
2011-05-30T14:50:00,11.6833,62.4667,UPDATE,Suspicious Activity
