Latitude,Longitude,Political Assoc,Object_ID
34.5308134,69.10245895,Afghan Nationalism,1
34.52388361,69.11151409,Afghan Nationalism,1
34.50477952,69.1148293,Afghan Nationalism,1
34.50477952,69.1149205,Afghan Nationalism,1
34.52685359,69.11499023,Afghan Nationalism,1
34.5198,69.1215,Afghan Nationalism,1
34.5194,69.1219,Afghan Nationalism,1
34.53116694,69.12228584,Afghan Nationalism,1
34.5195,69.1226,Afghan Nationalism,1
34.5195,69.1236,Afghan Nationalism,1
"34.4717503188006,",69.12391663,Afghan Nationalism,1
34.47267018,69.1246891,Afghan Nationalism,1
34.47651317,69.12605166,Afghan Nationalism,1
34.47608863,69.12691534,Afghan Nationalism,1
34.5129751,69.13273573,Afghan Nationalism,1
34.49828083,69.1344738,Afghan Nationalism,1
34.50146392,69.13653374,Afghan Nationalism,1
34.50121635,69.13803577,Afghan Nationalism,1
34.50088921,69.14200008,Afghan Nationalism,1
34.50088921,69.14200008,Afghan Nationalism,1
34.4989,69.1444,Afghan Nationalism,1
34.4990943,69.14464474,Afghan Nationalism,1
34.47142306,69.146474,Afghan Nationalism,1
34.50210053,69.14797068,Afghan Nationalism,1
34.5068749,69.15297031,Afghan Nationalism,1
34.53480837,69.16172504,Afghan Nationalism,1
34.53892688,69.16736841,Afghan Nationalism,1
34.52287591,69.17344093,Afghan Nationalism,1
34.52078977,69.17907357,Afghan Nationalism,1
34.51906601,69.17909503,Afghan Nationalism,1
34.5194638,69.17942762,Afghan Nationalism,1
34.52051132,69.17946517,Afghan Nationalism,1
34.52968204,69.19326782,Afghan Nationalism,1
34.53954552,69.19743061,Afghan Nationalism,1
34.52946991,69.20253754,Afghan Nationalism,1
34.55011476,69.20279503,Afghan Nationalism,1
34.54265634,69.20575619,Afghan Nationalism,1
34.55520448,69.20700073,Afghan Nationalism,1
34.50558408,69.22124863,Afghan Nationalism,1
34.50860776,69.22240734,Afghan Nationalism,1
34.58707003,68.95872474,Afghan Nationalism,1
34.54742839,69.02207851,Afghan Nationalism,1
34.5532782,69.03462052,Afghan Nationalism,1
34.53357101,69.07550812,Afghan Nationalism,1
34.51411552,69.11783338,Afghan Nationalism,1
34.51419951,69.11783874,Afghan Nationalism,1
34.52264609,69.11902428,Anti-Corruption,2
34.52854625,69.11930859,Anti-Corruption,2
34.52558075,69.11953926,Anti-Corruption,2
34.51338176,69.13267136,Anti-Corruption,2
34.51884501,69.13286448,Anti-Corruption,2
34.49021645,69.14365768,Anti-Corruption,2
34.53237782,69.16472912,Anti-Corruption,2
34.51896877,69.19502735,Anti-Corruption,2
34.55084819,69.20358896,Anti-Corruption,2
34.55428553,69.20614243,Anti-Corruption,2
34.53074269,69.10237312,Anti-Government,3
34.50966867,69.11327362,Anti-Government,3
34.53231595,69.11440551,Anti-Government,3
34.50476626,69.11510289,Anti-Government,3
34.50666272,69.11904573,Anti-Government,3
34.53880315,69.12151337,Anti-Government,3
34.5196,69.1243,Anti-Government,3
34.47182108,69.12451744,Anti-Government,3
34.58004776,69.12627697,Anti-Government,3
