County,Main Sewer,Septic Tank,Cess Pool,Bucket,Bush,Other Waste Disposal,Housholds,No of households with Main Sewer,No of households with Septic Tank,No of households with Cess Pool,No of households with Bucket,No of households with Bush,No of households with Other,Geolocation,Pit Latrine (Covered/Uncovered),No of households with VIP Pit Latrine,No of households with Pit Latrine (Covered/Uncovered)
Baringo,0.3%,1.0%,0.1%,0.0%,42.937577384341473%,0.053321765221556%,110649,296,1111,80,40,47510,59,"(0.512912, 35.952537)",50.805700910085037,5337,56216
Bomet,0.3%,0.3%,0.1%,0.1%,4.938998593594566%,0.064603176418125%,174914,565,546,144,96,8639,113,"(-0.690131, 35.278005)",91.814834718776083,4214,160597
Bungoma,0.7%,0.8%,0.1%,0.1%,2.976102561072874%,0.27434791598972%,270824,1936,2086,282,303,8060,743,"(0.737046, 34.672536)",90.670693882373783,11856,245558
Busia,0.4%,0.5%,0.1%,0.1%,7.802236991408656%,0.144593937429081%,154225,545,808,178,135,12033,223,"(0.428414, 34.210571)",86.443832063543525,6985,133318
Elgeyo Marakwet,0.4%,0.4%,0.0%,0.1%,18.651279736960866%,0.043839855586358%,77555,295,333,33,51,14465,34,"(0.806011, 35.564093)",78.22706466378699,1675,60669
Embu,2.5%,3.1%,0.4%,0.1%,1.661566033580645%,0.063030155752831%,131683,3264,4076,469,78,2188,83,"(-0.5982, 37.653906)",82.99097074033854,12240,109285
Garissa,1.1%,0.9%,0.2%,0.3%,47.605233796531088%,0.564966020894614%,98590,1121,851,150,308,46934,557,"(-0.564679, 40.408457)",46.761334820975762,2567,46102
Homa Bay,0.9%,0.2%,0.1%,0.1%,38.548883663426345%,0.233206467721995%,206255,1869,354,111,171,79509,481,"(-0.640985, 34.411083)",57.477879324137589,5209,118551
Isiolo,5.0%,2.0%,0.1%,0.1%,43.858137010789761%,0.341569303454%,31326,1557,622,17,36,13739,107,"(0.949302, 38.614718)",45.993743216497478,840,14408
Kajiado,1.4%,9.9%,0.3%,0.1%,25.479061937923721%,0.182170363879537%,173464,2407,17157,478,232,44197,316,"(-2.221971, 36.980268)",58.281257206106162,7580,101097
Kakamega,1.5%,0.8%,0.1%,0.1%,1.389173946170564%,0.160256860821134%,355679,5272,2879,466,336,4941,570,"(0.308499, 34.654844)",90.081224924721454,20815,320400
